f	OL
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (-2.638563449482459466e-01-3.871642709741803662e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.448665038818847728e-01-3.423697039123913682e-02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (-2.279092479059125209e-01-3.043190773960431986e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (-2.126939896360220961e-01-2.718264788084267039e-02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.989533911386412446e-01-2.437243811114148118e-02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.865699612720118084e-01-2.191735979655529826e-02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (-1.753002624159657186e-01-1.974818659949334129e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.650502317727939594e-01-1.790107408379484552e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.471120034123277742e-01-1.477296586932686645e-02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.392424113162033239e-01-1.348470331729900197e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.319944068832931694e-01-1.232707398812826066e-02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (-1.253078281404797767e-01-1.128174042615862245e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.191430782196009897e-01-1.035257693390943465e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.080834280044909307e-01-8.786609701349212126e-03j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (-1.031243164116380645e-01-8.093455918870947480e-03j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-9.850746855647396494e-02-7.492370840740567375e-03j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (-9.420840972243478550e-02-6.932268809522738884e-03j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (-8.639388608417088167e-02-5.958396014091493949e-03j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (-8.285449699383644340e-02-5.533281920297439954e-03j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (-7.953139782170150218e-02-5.138644013090159536e-03j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (-7.641581788464882341e-02-4.781060404639667430e-03j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (-7.069436830275942218e-02-4.160316786166177137e-03j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (-6.807170954642420557e-02-3.876451180480753548e-03j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (-6.559587042218138764e-02-3.625868627968746420e-03j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (-6.103505489561825148e-02-3.166003947433008048e-03j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (-5.893341522780610325e-02-2.964289413636888790e-03j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (-5.693861768929206479e-02-2.774832691947160673e-03j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (-5.324932588999747862e-02-2.434346628767818620e-03j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (-5.153287427325750625e-02-2.285241620457205500e-03j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (-4.834370144557944421e-02-2.006178319070028599e-03j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (-4.686755838997631179e-02-1.886143698396280108e-03j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (-4.544928291104032708e-02-1.764487977908861223e-03j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (-4.280902281413817567e-02-1.556483322816698068e-03j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (-4.157176354038212562e-02-1.459724058171407712e-03j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (-3.925500412966946573e-02-1.292927448941887927e-03j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (-3.816682225499105907e-02-1.212566702640730529e-03j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (-3.613305913726203716e-02-1.067804060681077456e-03j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (-3.517370808684919248e-02-1.000194065236657045e-03j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-3.336738679336065383e-02-8.785467708865102397e-04j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (-3.251241391539642228e-02-8.237297971919563689e-04j)
 (4.050000000000000000e+01+0.000000000000000000e+00j)	 (-3.090740643450264405e-02-7.207843550925180278e-04j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-3.014725719009389224e-02-6.746929419865098018e-04j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.871454363671507165e-02-5.910740727565097193e-04j)
 (4.250000000000000000e+01+0.000000000000000000e+00j)	 (-2.803338961319997921e-02-5.527466791769612090e-04j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (-2.674554934978754656e-02-4.763673201680382416e-04j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.613274876200488706e-02-4.448041398815489223e-04j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.497208037635910427e-02-3.823825998110643820e-04j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (-2.442060499183221212e-02-3.521460489788660604e-04j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (-2.337127007289526229e-02-2.994570312330120426e-04j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)	 (-2.287160710533128055e-02-2.742392809741175767e-04j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-2.191838479815145027e-02-2.292708760322546911e-04j)
 (4.850000000000000000e+01+0.000000000000000000e+00j)	 (-2.146419946751003047e-02-2.073501777421107688e-04j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (-2.059892433427960162e-02-1.683365172963333957e-04j)
 (5.000000000000000000e+01+0.000000000000000000e+00j)	 (-2.018632861562763905e-02-1.500458469931727191e-04j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.939590180225764585e-02-1.150762743105645456e-04j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.865081889127225348e-02-8.436844714364151964e-05j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (-1.829373235179259510e-02-6.804453767276297585e-05j)
 (5.350000000000000000e+01+0.000000000000000000e+00j)	 (-1.761107066133529506e-02-4.333400413513997297e-05j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.728372225558565123e-02-3.084311864211376839e-05j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.665513286726297282e-02-4.709150581332126636e-06j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.606052712310378563e-02+1.451431757143418697e-05j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.577641007407692628e-02+2.518297979285726731e-05j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (-1.522870821170332553e-02+4.392098382157093555e-05j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.496560469074793842e-02+5.312470963414161860e-05j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.445923754294280335e-02+6.923043514266110688e-05j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.397772168194455836e-02+8.408899874514072005e-05j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (-1.374610196161057951e-02+9.111781220625094694e-05j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (-1.330028939868253997e-02+1.044942976916727511e-04j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (-1.287504496715303863e-02+1.165284602317574958e-04j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (-1.267152948109189631e-02+1.220127218795277220e-04j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.227616361140307713e-02+1.329894616610739495e-04j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (-1.208352619611783273e-02+1.378510944454124337e-04j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (-1.171617690683057246e-02+1.476306134004219488e-04j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.136548284596949725e-02+1.546522530513984891e-04j)
 (6.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.119547039150923205e-02+1.584292001683158661e-04j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.086517070110351070e-02+1.669782510264375104e-04j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.055120663857547943e-02+1.720060217510504435e-04j)
 (6.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.039928910724227662e-02+1.765534433392059789e-04j)
 (7.050000000000000000e+01+0.000000000000000000e+00j)	 (-1.010463245347617729e-02+1.823042829880313048e-04j)
 (7.150000000000000000e+01+0.000000000000000000e+00j)	 (-9.822613993030403570e-03+1.877408252147419595e-04j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (-9.685727188178051145e-03+1.896967281445742796e-04j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)	 (-9.421270507619584206e-03+1.949405998828782354e-04j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)	 (-9.167278450724871547e-03+1.983391464951510925e-04j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)	 (-8.923007262447654048e-03+2.030282092474391270e-04j)
 (7.550000000000000000e+01+0.000000000000000000e+00j)	 (-8.805121025354526593e-03+2.043741313045098864e-04j)
 (7.650000000000000000e+01+0.000000000000000000e+00j)	 (-8.574824633929046397e-03+2.075543885485491957e-04j)
 (7.750000000000000000e+01+0.000000000000000000e+00j)	 (-8.353996145547316204e-03+2.105591792820409286e-04j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)	 (-8.246855942000400411e-03+2.122511779803424843e-04j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)	 (-8.038447634202347536e-03+2.146508668023690714e-04j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)	 (-7.837536474880286985e-03+2.169187887443201003e-04j)
 (8.050000000000000000e+01+0.000000000000000000e+00j)	 (-7.740007347699078000e-03+2.180109649429450545e-04j)
 (8.150000000000000000e+01+0.000000000000000000e+00j)	 (-7.550664880324181941e-03+2.201491816562261086e-04j)
 (8.250000000000000000e+01+0.000000000000000000e+00j)	 (-7.367618074560400646e-03+2.219616065012722575e-04j)
 (8.350000000000000000e+01+0.000000000000000000e+00j)	 (-7.190540561312158685e-03+2.228308716873469574e-04j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)	 (-7.106861846890410138e-03+2.245060685569101708e-04j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (-6.939970167375479962e-03+2.254306058613768978e-04j)
 (8.650000000000000000e+01+0.000000000000000000e+00j)	 (-6.698222974637526271e-03+2.274826995764378643e-04j)
 (8.950000000000000000e+01+0.000000000000000000e+00j)	 (-6.254697562952213526e-03+2.290969329474745676e-04j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)	 (-5.792685794876325026e-03+2.311859598718181950e-04j)
 (9.650000000000000000e+01+0.000000000000000000e+00j)	 (-5.376627801117173609e-03+2.304910795630179437e-04j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (-5.006884024732986133e-03+2.293372264613315699e-04j)
