f	OL
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.068310396505958160e+00-1.739328360005833740e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (2.160496326856109928e+00-2.867686447059069055e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.296854998268440973e+00-4.412829089283353823e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.487834739203803380e+00-6.679048315873968855e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.737159745568236158e+00-1.032219767032643176e+00j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.008819260622705549e+00-1.660630096855055804e+00j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.095023158101966043e+00-2.766720938770176108e+00j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.280058284138554381e+00-4.353299625866076106e+00j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.495065323283327127e-02-4.999739526009043367e+00j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (-1.781626812249539338e+00-3.695552212537996706e+00j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.083592389226425645e+00-2.255425651438838219e+00j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (-1.854219800142691943e+00-1.385854975515904863e+00j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.558689845363632864e+00-9.001005388112029992e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (-1.303514016931699659e+00-6.181957840310916552e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.099451720665533871e+00-4.446630868635203515e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (-9.386026712922769244e-01-3.315846175622199632e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.107920217572374133e-01-2.553986507326208577e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (-7.076640302699139795e-01-2.011751188230905263e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (-6.234249353627028256e-01-1.619118824897305964e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (-5.539207285116063417e-01-1.324428147271231038e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (-4.957162644042541477e-01-1.098376658782026505e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (-4.464672596976176355e-01-9.223399110741087314e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.043789926360514819e-01-7.828868911236978867e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (-3.681236688974333093e-01-6.698035697338317052e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (-3.367968626080011796e-01-5.783455196599985443e-02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (-3.092938206539482260e-01-5.026839272813725390e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.851881741110812163e-01-4.402088554840533768e-02j)
