f	CL
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (-4.028222471442537839e-02-4.505020819800227365e-04j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (-3.900431802576653784e-02-4.142351356296716043e-04j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (-3.778011450054350601e-02-3.538206649772590996e-04j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (-3.550487646366407013e-02-2.779468820257109305e-04j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (-3.444162996664788812e-02-2.366601453926814292e-04j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (-3.244935750180092532e-02-1.809336284686395807e-04j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (-3.151871443518861754e-02-1.461195019105469796e-04j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (-2.979235158514336249e-02-9.687085189161553076e-05j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (-2.897564353044929097e-02-7.051391109001639969e-05j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-2.744609155379867937e-02-2.604750499004085214e-05j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (-2.672359996789299211e-02-1.679798825843521221e-06j)
 (4.050000000000000000e+01+0.000000000000000000e+00j)	 (-2.537050550175267913e-02+3.193275368981262594e-05j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.473001246331216901e-02+4.900613186122667470e-05j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.352196489901137166e-02+7.240947776661549925e-05j)
 (4.250000000000000000e+01+0.000000000000000000e+00j)	 (-2.294944893342299591e-02+8.649966483567839886e-05j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (-2.187446614965871464e-02+1.107666766785834903e-04j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.136047348596015194e-02+1.196096533606703211e-04j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.039246686357574362e-02+1.391292952180116465e-04j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (-1.993356389120233899e-02+1.529249032066961494e-04j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.906064255854184389e-02+1.660749899620818425e-04j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.864506775196532809e-02+1.749910067363424600e-04j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.785021054760682277e-02+1.848627243479372283e-04j)
 (4.850000000000000000e+01+0.000000000000000000e+00j)	 (-1.747279999235587869e-02+1.930358708230923038e-04j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.675876583802778444e-02+2.012556633137222372e-04j)
 (5.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.641677654331110889e-02+2.064908946918641436e-04j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.576389806402749699e-02+2.161572866190513526e-04j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.514834617440318984e-02+2.233127115375014508e-04j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (-1.485465186486152264e-02+2.297306410038679704e-04j)
 (5.350000000000000000e+01+0.000000000000000000e+00j)	 (-1.429060631943989378e-02+2.325762561662689059e-04j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.402087838067755075e-02+2.353369271343186159e-04j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.350474761652505594e-02+2.446419846380617634e-04j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.301422319835372592e-02+2.462894468436173509e-04j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.278183577508171416e-02+2.495031146023411663e-04j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (-1.233196547461080407e-02+2.527211721595779025e-04j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.211649721994556908e-02+2.529971646017325571e-04j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.170085802576037622e-02+2.561441240429045076e-04j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.130755874181563550e-02+2.592716980085516118e-04j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (-1.111813623180117616e-02+2.602017397727423025e-04j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (-1.075270143185811690e-02+2.605371104673320348e-04j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (-1.040647483082139668e-02+2.623775742264080127e-04j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (-1.023971647073144281e-02+2.623123824629337787e-04j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)	 (-9.917147281671917849e-03+2.637654560663469662e-04j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (-9.759393840600521369e-03+2.651486265792854622e-04j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (-9.460339130043864467e-03+2.656902821772932628e-04j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (-9.173947695783082196e-03+2.638620946774098623e-04j)
