f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (1.870000000000000000e+02+0.000000000000000000e+00j)	 (-6.420443451922014901e+02-1.687326840078043588e+01j)	 (-2.111264658064108630e+02-3.807125871343650658e+00j)	 (-3.125419123239134844e+00-3.716818076915659574e+00j)	 (3.464881953655580271e-01-4.363817581109789012e-01j)	 (-1.479981685093384902e+00-5.234280889395716008e-01j)	 (9.174395030211726976e+00-6.932862531901635705e-01j)	 (4.154079010655059023e-01-2.242020582950458030e-01j)	 (1.825619697313330889e-02+2.306909105331293383e-02j)	 (-7.137996540813471014e-02+2.523489989944942974e-02j)	 (-1.577496210812990435e-02+1.691978177712350970e-02j)	 (5.400656460687610627e-01+2.011874678227421942e+00j)	 (3.738100594560564253e-03-1.054293692989791619e-03j)	 (-3.926545914464577881e-03+7.954976845421099984e-04j)	 (2.227778696766947952e+00-4.156597237464631611e+00j)	 (-2.297658016730967038e-03-4.885403355450731533e-04j)
 (1.880000000000000000e+02+0.000000000000000000e+00j)	 (-6.327084482358179685e+02-1.652246802853380458e+01j)	 (-2.093199781833610871e+02-3.766672976348796276e+00j)	 (-2.934330639007700636e+00-3.721722712094647001e+00j)	 (3.415853886694454888e-01-4.344660386556177811e-01j)	 (-1.453673504889759771e+00-5.190416812361490217e-01j)	 (9.229817017277847313e+00-6.955341289383225600e-01j)	 (4.135148251797335361e-01-2.225761696429268410e-01j)	 (1.825912740258948952e-02+2.314413994944371569e-02j)	 (-7.133133829454119113e-02+2.555896779936414967e-02j)	 (-1.567808221254182385e-02+1.700648013126117297e-02j)	 (6.201105213677835515e-01+2.028811784291205456e+00j)	 (3.720712730041920730e-03-1.060593572063851017e-03j)	 (-3.945739466102493598e-03+8.133401430711021275e-04j)	 (2.193841076536031665e+00-4.178404565919685787e+00j)	 (-2.327733014772485984e-03-4.194102643295668045e-04j)
 (1.900000000000000000e+02+0.000000000000000000e+00j)	 (-6.146332006130928676e+02-1.585071846539480234e+01j)	 (-2.057744093745899363e+02-3.687571576241221116e+00j)	 (-2.574010567314506392e+00-3.720759819918167732e+00j)	 (3.321217899926144357e-01-4.306340923777978724e-01j)	 (-1.402587061931939827e+00-5.106659955740155965e-01j)	 (9.338501375517724412e+00-6.999634070325964075e-01j)	 (4.098075447738644961e-01-2.195048079639296268e-01j)	 (1.826502233543945627e-02+2.329669476728292790e-02j)	 (-7.122338813636634736e-02+2.620300367800329489e-02j)	 (-1.548506878534362981e-02+1.717717746324002800e-02j)	 (7.832632709558354778e-01+2.051082826316298569e+00j)	 (3.685744683065317762e-03-1.072610608660085974e-03j)	 (-3.987588375402448086e-03+8.517263982333256800e-04j)	 (2.124032636333331947e+00-4.222143399263023511e+00j)	 (-2.378218886452475311e-03-2.818787306653512486e-04j)
 (1.910000000000000000e+02+0.000000000000000000e+00j)	 (-6.058826329751016146e+02-1.552904746728306229e+01j)	 (-2.040345832339712331e+02-3.648902228610972465e+00j)	 (-2.403920551917348991e+00-3.715024344171544701e+00j)	 (3.275552193470150919e-01-4.287224002329564909e-01j)	 (-1.377795117969980998e+00-5.066646746162022374e-01j)	 (9.391796025284136817e+00-7.021444718819394026e-01j)	 (4.079861314607242107e-01-2.180493660386803867e-01j)	 (1.826792501045830866e-02+2.337407874497744037e-02j)	 (-7.116413305998796346e-02+2.652268825275051756e-02j)	 (-1.538893308978760144e-02+1.726100011745373627e-02j)	 (8.659303386316228313e-01+2.056559212662199876e+00j)	 (3.668151380643509471e-03-1.078387559845225612e-03j)	 (-4.010094833156947584e-03+8.723364748085214162e-04j)	 (2.088138413266082960e+00-4.244020066422510951e+00j)	 (-2.398886579016881997e-03-2.139628035955056450e-04j)
 (1.920000000000000000e+02+0.000000000000000000e+00j)	 (-5.973162825942367817e+02-1.521638741774159875e+01j)	 (-2.023162460996151708e+02-3.610802677172731290e+00j)	 (-2.240068966542644091e+00-3.705901071199965813e+00j)	 (3.230954124138273875e-01-4.268050368740063938e-01j)	 (-1.353489641553541123e+00-5.027903701875985343e-01j)	 (9.444405305999914901e+00-7.042966160888255445e-01j)	 (4.061860041162878576e-01-2.166612888793078284e-01j)	 (1.827076637928763334e-02+2.345225517799251480e-02j)	 (-7.110153043489469971e-02+2.684034421494734327e-02j)	 (-1.529269977529475362e-02+1.734400538649897433e-02j)	 (9.490512069388173932e-01+2.058398818529616925e+00j)	 (3.650636194230657237e-03-1.083929324529351928e-03j)	 (-4.033162982401090023e-03+8.944036673527742736e-04j)	 (2.051563831965653950e+00-4.265851949718717506e+00j)	 (-2.416725454021910122e-03-1.471417082892723051e-04j)
 (1.940000000000000000e+02+0.000000000000000000e+00j)	 (-5.807158911436042672e+02-1.461683039358859304e+01j)	 (-1.989426369797698158e+02-3.536283179470623761e+00j)	 (-1.929673156353749919e+00-3.677855274564509447e+00j)	 (3.144556550204534728e-01-4.229854895473962317e-01j)	 (-1.306279251858626145e+00-4.953581326845845068e-01j)	 (9.547624310652752300e+00-7.085445053444754393e-01j)	 (4.026781374443564876e-01-2.140153530061016385e-01j)	 (1.827617025008706000e-02+2.361057456136466184e-02j)	 (-7.096628647270955548e-02+2.746947648801229686e-02j)	 (-1.510171624036363118e-02+1.750753501338551260e-02j)	 (1.116054344379211472e+00+2.051478819369525919e+00j)	 (3.615193405583354714e-03-1.094259056408049876e-03j)	 (-4.082493968990744820e-03+9.429937267476060396e-04j)	 (1.976294635937873467e+00-4.309262630350762180e+00j)	 (-2.443978263093002107e-03-1.706855928279227210e-05j)
 (1.950000000000000000e+02+0.000000000000000000e+00j)	 (-5.726721064865284916e+02-1.432932931410299204e+01j)	 (-1.972866777607648316e+02-3.499840602553437652e+00j)	 (-1.782559136873217875e+00-3.659131798808743952e+00j)	 (3.102804024712316755e-01-4.210759858055730942e-01j)	 (-1.283364993899352768e+00-4.918023229030445420e-01j)	 (9.598268665397180044e+00-7.106340558183443790e-01j)	 (4.009521712449116149e-01-2.127712768963490320e-01j)	 (1.827879500212317709e-02+2.369073050024772184e-02j)	 (-7.089403171786502755e-02+2.778059944393021508e-02j)	 (-1.500632585725486523e-02+1.758790246565352516e-02j)	 (1.199697656660836831e+00+2.042940136794328509e+00j)	 (3.597509431386781802e-03-1.099123708567269122e-03j)	 (-4.107649374193503983e-03+9.695727102847285280e-04j)	 (1.937588771913716812e+00-4.330763989083288301e+00j)	 (-2.454151110731624293e-03+4.570920886807764474e-05j)
 (1.970000000000000000e+02+0.000000000000000000e+00j)	 (-5.570742451794833414e+02-1.377746913322800459e+01j)	 (-1.940347946918747368e+02-3.428545333617467605e+00j)	 (-1.503262698628169636e+00-3.612786954788218541e+00j)	 (3.021872825309190880e-01-4.172718826699612915e-01j)	 (-1.238848004627036481e+00-4.849653999460734055e-01j)	 (9.697668414036851203e+00-7.147682950667144652e-01j)	 (3.975796342470025446e-01-2.104048256606907696e-01j)	 (1.828377318093819121e-02+2.385286697888104254e-02j)	 (-7.074063586818399307e-02+2.839536112071140359e-02j)	 (-1.481677366020469830e-02+1.774610831314571077e-02j)	 (1.366750313802445493e+00+2.016152338209515893e+00j)	 (3.561903129194886070e-03-1.108104593519563738e-03j)	 (-4.159393589090752685e-03+1.027790547569631995e-03j)	 (1.857941818964215619e+00-4.373167338264831727e+00j)	 (-2.468118316140402967e-03+1.663129783445563585e-04j)
 (1.980000000000000000e+02+0.000000000000000000e+00j)	 (-5.495113841943363013e+02-1.351258033863605590e+01j)	 (-1.924382271899609407e+02-3.393673234410443662e+00j)	 (-1.370637866147294215e+00-3.585340691494790732e+00j)	 (2.982617234647753079e-01-4.153741647943558490e-01j)	 (-1.217221331543592910e+00-4.816811421635114887e-01j)	 (9.746450835423800640e+00-7.168058358766167260e-01j)	 (3.959368621686793488e-01-2.092854950019410465e-01j)	 (1.828605798212682917e-02+2.393488223351819544e-02j)	 (-7.065971121420197565e-02+2.869872046693802345e-02j)	 (-1.472250842265678678e-02+1.782418830998008102e-02j)	 (1.450025240309981589e+00+1.998103656650303872e+00j)	 (3.544038462477487085e-03-1.112143829512497652e-03j)	 (-4.185502991768320045e-03+1.059728478265620048e-03j)	 (1.816979775838763578e+00-4.393977337304669994e+00j)	 (-2.472391492444623272e-03+2.238311620937561341e-04j)
 (1.990000000000000000e+02+0.000000000000000000e+00j)	 (-5.421002902077800627e+02-1.325471678368708872e+01j)	 (-1.908608224192959710e+02-3.359304878498644342e+00j)	 (-1.242444737560641999e+00-3.555182536325034004e+00j)	 (2.944199687268543864e-01-4.134805023046536632e-01j)	 (-1.196010084910709370e+00-4.784792488861469018e-01j)	 (9.794638282126532758e+00-7.188236140682233710e-01j)	 (3.943097169300535110e-01-2.082053880008150615e-01j)	 (1.828821505279170853e-02+2.401745861312025443e-02j)	 (-7.057624785603197615e-02+2.899937311495661210e-02j)	 (-1.462847111684328037e-02+1.790129586361002140e-02j)	 (1.533078916938207970e+00+1.977061365484156674e+00j)	 (3.526186555729216281e-03-1.116006682563904819e-03j)	 (-4.211341235292599162e-03+1.093075779237620603e-03j)	 (1.775255678971268569e+00-4.414465109894175399e+00j)	 (-2.475281711016259940e-03+2.795996382753134662e-04j)
 (2.010000000000000000e+02+0.000000000000000000e+00j)	 (-5.277174075359810104e+02-1.275913289229154657e+01j)	 (-1.877622881634200951e+02-3.292049916066416948e+00j)	 (-9.987068184016792971e-01-3.487075470933496568e+00j)	 (2.869616573077755639e-01-4.096991383008998233e-01j)	 (-1.154773329928170167e+00-4.723173049804342272e-01j)	 (9.889272651410831116e+00-7.228207266090089789e-01j)	 (3.911331698587769967e-01-2.061691854075639041e-01j)	 (1.829231526856663417e-02+2.418419233154346648e-02j)	 (-7.040192544413803599e-02+2.959229537463300627e-02j)	 (-1.444108970653828171e-02+1.805355015729659049e-02j)	 (1.698377150764823096e+00+1.926325256688592225e+00j)	 (3.490539778408476099e-03-1.122848742088864392e-03j)	 (-4.261842991242753738e-03+1.165019547701212068e-03j)	 (1.689441703111032478e+00-4.454246715805952661e+00j)	 (-2.477534120037034118e-03+3.855012502287141134e-04j)
 (2.020000000000000000e+02+0.000000000000000000e+00j)	 (-5.207379425276828897e+02-1.252096382587759749e+01j)	 (-1.862405633390062576e+02-3.259144326987363449e+00j)	 (-8.828745056188833651e-01-3.449291725966789457e+00j)	 (2.833438364879324323e-01-4.078128290334428474e-01j)	 (-1.134732955588217518e+00-4.693477058624474507e-01j)	 (9.935742641397098396e+00-7.247992486091145992e-01j)	 (3.895748919865875126e-01-2.052092106132216709e-01j)	 (1.829419937076091907e-02+2.426833787697491029e-02j)	 (-7.031142615173664734e-02+2.988440560767989876e-02j)	 (-1.434774425275795601e-02+1.812851060324678978e-02j)	 (1.780610207223356944e+00+1.896773831639927410e+00j)	 (3.472781313352085470e-03-1.125906431715964495e-03j)	 (-4.286165434597506187e-03+1.203178613877402964e-03j)	 (1.645324501787287064e+00-4.473430219596401969e+00j)	 (-2.477276644821456691e-03+4.358243002448342778e-04j)
 (2.040000000000000000e+02+0.000000000000000000e+00j)	 (-5.071847055389235379e+02-1.206282604817100435e+01j)	 (-1.832507598493371290e+02-3.194736317544991433e+00j)	 (-6.626536062745446154e-01-3.366645108797536423e+00j)	 (2.763126000683985284e-01-4.040464541121755460e-01j)	 (-1.095750807453570896e+00-4.636242768939326520e-01j)	 (1.002703349067251359e+01-7.287053551068023438e-01j)	 (3.865326835182346099e-01-2.034053524616730169e-01j)	 (1.829764027267235041e-02+2.443823249120156971e-02j)	 (-7.012428846371503155e-02+3.045979873521917347e-02j)	 (-1.416166871584618840e-02+1.827675623634480648e-02j)	 (1.944266410738790141e+00+1.829635652054631301e+00j)	 (3.437441119539504444e-03-1.131117843722566699e-03j)	 (-4.332364366940120656e-03+1.284015080932061513e-03j)	 (1.554574281178171757e+00-4.510074775256067703e+00j)	 (-2.474773174500821769e-03+5.311832783174169235e-04j)
 (2.050000000000000000e+02+0.000000000000000000e+00j)	 (-5.006039840378108465e+02-1.184246362499547445e+01j)	 (-1.817821232058911107e+02-3.163219307549894221e+00j)	 (-5.580466772959228328e-01-3.321902060198411277e+00j)	 (2.728973671959222247e-01-4.021713650408663132e-01j)	 (-1.076792564701476440e+00-4.608581583479064436e-01j)	 (1.007187071830495384e+01-7.306414585269003226e-01j)	 (3.850442288409684499e-01-2.025497644068799397e-01j)	 (1.829914899236823739e-02+2.452392847858770111e-02j)	 (-7.002781400232738207e-02+3.074303433092916843e-02j)	 (-1.406913131959913049e-02+1.834983937480146737e-02j)	 (2.025748543563072435e+00+1.792145488717969082e+00j)	 (3.419797600927525216e-03-1.133351914587279281e-03j)	 (-4.354463238992416392e-03+1.326209930937289564e-03j)	 (1.507892258174346578e+00-4.527435689971648358e+00j)	 (-2.472639674407504234e-03+5.765105203923957550e-04j)
 (2.070000000000000000e+02+0.000000000000000000e+00j)	 (-4.878177780389386271e+02-1.141822276021116522e+01j)	 (-1.788960186652502102e+02-3.101514241862224353e+00j)	 (-3.593323609647905426e-01-3.225857664051994256e+00j)	 (2.662553649055834359e-01-3.984280666412147176e-01j)	 (-1.039898117897696705e+00-4.555167457500366446e-01j)	 (1.015999677837128878e+01-7.344714552923035100e-01j)	 (3.821329950878284420e-01-2.009481140909432917e-01j)	 (1.830182312912872686e-02+2.469681443010288482e-02j)	 (-6.982985207635106217e-02+3.130034855290268758e-02j)	 (-1.388458913272738911e-02+1.849431980944054796e-02j)	 (2.188247027969305591e+00+1.709567759305392842e+00j)	 (3.384803471294287047e-03-1.136969011063334971e-03j)	 (-4.395553750987863870e-03+1.414143949893694602e-03j)	 (1.411719128637277665e+00-4.559940328676252541e+00j)	 (-2.467366063876446150e-03+6.625998956992950511e-04j)
 (2.080000000000000000e+02+0.000000000000000000e+00j)	 (-4.816059871351130823e+02-1.121399620393532004e+01j)	 (-1.774780245301106447e+02-3.071313321797570772e+00j)	 (-2.650862449580297930e-01-3.174606901377311718e+00j)	 (2.630281526652895052e-01-3.965641959269681771e-01j)	 (-1.021947006648374900e+00-4.529303283665346846e-01j)	 (1.020329744643817271e+01-7.363727678417850697e-01j)	 (3.807038694359431430e-01-2.001911468650736381e-01j)	 (1.830303275677412980e-02+2.478390300740193272e-02j)	 (-6.972855498317079292e-02+3.157454468632125283e-02j)	 (-1.379273374656469001e-02+1.856550808158112867e-02j)	 (2.269393267743640585e+00+1.664554826031805268e+00j)	 (3.367403908353381811e-03-1.138453338064876431e-03j)	 (-4.414818836987680593e-03+1.459333969399930712e-03j)	 (1.362159545403422323e+00-4.575015911815651037e+00j)	 (-2.464258846680434517e-03+7.036681278489466656e-04j)
 (2.090000000000000000e+02+0.000000000000000000e+00j)	 (-4.755110292357002777e+02-1.101480943071270069e+01j)	 (-1.760763932544713555e+02-3.041535635405908433e+00j)	 (-1.741452577417092751e-01-3.121189934241184183e+00j)	 (2.598560970267475567e-01-3.947068033378630658e-01j)	 (-1.004308968397332524e+00-4.503984206148862190e-01j)	 (1.024610161343819037e+01-7.382591805604041824e-01j)	 (3.793025310282195361e-01-1.994619497399255093e-01j)	 (1.830415067049222591e-02+2.487150355448899605e-02j)	 (-6.962592114307421254e-02+3.184562150893776450e-02j)	 (-1.370132305068915736e-02+1.863629229102417920e-02j)	 (2.350579718294466325e+00+1.617106090575047395e+00j)	 (3.350025641111559205e-03-1.139617457333914332e-03j)	 (-4.433371977730118409e-03+1.505744793430972665e-03j)	 (1.311541033772010811e+00-4.589285142929201200e+00j)	 (-2.460820357281754377e-03+7.433026904787730545e-04j)
 (2.110000000000000000e+02+0.000000000000000000e+00j)	 (-4.636600492802591589e+02-1.063092653813209054e+01j)	 (-1.733212192008146530e+02-2.983223463065831638e+00j)	 (-2.127153474354747439e-03-3.007858346308966979e+00j)	 (2.536873227538129494e-01-3.910035927083214125e-01j)	 (-9.699633697822912515e-01-4.454946784153677730e-01j)	 (1.033026098522805292e+01-7.419970606325492213e-01j)	 (3.765500701527933480e-01-1.980918372444840370e-01j)	 (1.830578902827449325e-02+2.504803277766768158e-02j)	 (-6.941665309703606845e-02+3.237859213928800245e-02j)	 (-1.351904452467346009e-02+1.877601303984540240e-02j)	 (2.513505391219137408e+00+1.515027934369349349e+00j)	 (3.315587583427372868e-03-1.141283585594206470e-03j)	 (-4.467492430963381292e-03+1.600332068359885344e-03j)	 (1.207112828766746304e+00-4.615380565768588461e+00j)	 (-2.453594438589140180e-03+8.190566032182896358e-04j)
 (2.120000000000000000e+02+0.000000000000000000e+00j)	 (-4.578984673330006103e+02-1.044593148361239443e+01j)	 (-1.719671886470908078e+02-2.954675507659635159e+00j)	 (7.893053434991438577e-02-2.947863509425196593e+00j)	 (2.506824059586501563e-01-3.891590203901331146e-01j)	 (-9.532333499539983324e-01-4.431199870171086963e-01j)	 (1.037163265769494203e+01-7.438553755965449099e-01j)	 (3.752082168998939760e-01-1.974495635346031619e-01j)	 (1.830641624031086045e-02+2.513688479578348595e-02j)	 (-6.931037834998833580e-02+3.264051031357550342e-02j)	 (-1.342832648849853067e-02+1.884525812336964104e-02j)	 (2.595485265237761574e+00+1.460455692097499369e+00j)	 (3.298495716305946228e-03-1.141681859467475564e-03j)	 (-4.483187295846776353e-03+1.648940371935183821e-03j)	 (1.153262058040209981e+00-4.627238792781101395e+00j)	 (-2.449800367721651113e-03+8.550889145078067717e-04j)
 (2.140000000000000000e+02+0.000000000000000000e+00j)	 (-4.466898414781031192e+02-1.008913581402380188e+01j)	 (-1.693050554856673955e+02-2.898761611144573536e+00j)	 (2.306386156570863488e-01-2.821064882736392665e+00j)	 (2.448338975626741520e-01-3.854827617957716779e-01j)	 (-9.206380028743459398e-01-4.385149732480511098e-01j)	 (1.045300404971721520e+01-7.475387408633524799e-01j)	 (3.725703748614174748e-01-1.962475494770775375e-01j)	 (1.830707023147155540e-02+2.531597530333295001e-02j)	 (-6.909521457777814679e-02+3.315525011214943973e-02j)	 (-1.324737760273994418e-02+1.898200837249839137e-02j)	 (2.761299869188786893e+00+1.344473611899286158e+00j)	 (3.264722621117215236e-03-1.141829848724887700e-03j)	 (-4.511712223877010867e-03+1.747342390817338597e-03j)	 (1.042507167096038856e+00-4.648662640768950638e+00j)	 (-2.442157042408969053e-03+9.241927373504164054e-04j)
 (2.150000000000000000e+02+0.000000000000000000e+00j)	 (-4.412377311029566158e+02-9.917075023544176915e+00j)	 (-1.679964918294905374e+02-2.871380123650242311e+00j)	 (3.010031597746784526e-01-2.754274074458536781e+00j)	 (2.419860212985418257e-01-3.836498650941788102e-01j)	 (-9.047579510166489092e-01-4.362839690323870867e-01j)	 (1.049301847416882083e+01-7.493639350273397781e-01j)	 (3.712766199789441779e-01-1.956909840953417468e-01j)	 (1.830720832961358138e-02+2.540633754926131457e-02j)	 (-6.898673751270018029e-02+3.340812899599716890e-02j)	 (-1.315711076413957764e-02+1.904965160144641428e-02j)	 (2.845495339405341273e+00+1.283168592441847888e+00j)	 (3.248098166807027436e-03-1.141543259404898458e-03j)	 (-4.524385154308119793e-03+1.797280248026967946e-03j)	 (9.857138885195085853e-01-4.658231203272368504e+00j)	 (-2.438392608108030241e-03+9.573008969643606548e-04j)
 (2.170000000000000000e+02+0.000000000000000000e+00j)	 (-4.306258356943552030e+02-9.585011955536552719e+00j)	 (-1.654232551966207154e+02-2.817743210424961564e+00j)	 (4.297043829175429264e-01-2.614084900553300006e+00j)	 (2.364321578070578411e-01-3.800046061139756848e-01j)	 (-8.737866179952582524e-01-4.319493251925518029e-01j)	 (1.057173514924412316e+01-7.529939537033323305e-01j)	 (3.687530786535556659e-01-1.946428910176641047e-01j)	 (1.830715343778452353e-02+2.558850634867829502e-02j)	 (-6.876782202332334948e-02+3.390564728705985909e-02j)	 (-1.297767724370909627e-02+1.918383227083877984e-02j)	 (3.017580837153254869e+00+1.154299232310391554e+00j)	 (3.215103839161626009e-03-1.140243718988293584e-03j)	 (-4.547761820782056895e-03+1.899051923904763149e-03j)	 (8.697359470801634407e-01-4.675023848674357829e+00j)	 (-2.430546898040504816e-03+1.020542186858334512e-03j)
 (2.180000000000000000e+02+0.000000000000000000e+00j)	 (-4.254614285809047374e+02-9.424769764885514434e+00j)	 (-1.641581450762513157e+02-2.791473719184712099e+00j)	 (4.875614987713664528e-01-2.540984774437246685e+00j)	 (2.337274342876128341e-01-3.781873189583381256e-01j)	 (-8.586909813461304219e-01-4.298467636708041550e-01j)	 (1.061046065121723458e+01-7.547931324814936005e-01j)	 (3.675119965481890016e-01-1.941584991792444925e-01j)	 (1.830699288044763604e-02+2.568025242472364231e-02j)	 (-6.865750506286455446e-02+3.415034929104365097e-02j)	 (-1.288811429373073851e-02+1.925021622667803106e-02j)	 (3.105993884978579089e+00+1.086995954865967118e+00j)	 (3.198874482059642192e-03-1.139317735548467771e-03j)	 (-4.557934806119955974e-03+1.950240160062959201e-03j)	 (8.107338367904471932e-01-4.682107724371872948e+00j)	 (-2.426724186366941306e-03+1.050948298325929181e-03j)
 (2.200000000000000000e+02+0.000000000000000000e+00j)	 (-4.154046515658365024e+02-9.115295460438348485e+00j)	 (-1.616698863919631890e+02-2.740002431709772424e+00j)	 (5.889852506698823875e-01-2.389783306857541589e+00j)	 (2.284537327726911815e-01-3.745742965644508482e-01j)	 (-8.292385742618719746e-01-4.257542422108505087e-01j)	 (1.068666539311516317e+01-7.583769972680114435e-01j)	 (3.650821671215441211e-01-1.932509215338303332e-01j)	 (1.830660327642972054e-02+2.586500471446452967e-02j)	 (-6.843564869875261303e-02+3.463151952889047952e-02j)	 (-1.271001857376538070e-02+1.938173734010672708e-02j)	 (3.288944864534727675e+00+9.475752686974711070e-01j)	 (3.166713934838760475e-03-1.136875117866014990e-03j)	 (-4.576469974062556852e-03+2.053838308701375764e-03j)	 (6.910545749590922826e-01-4.693352055637535436e+00j)	 (-2.418826911980243716e-03+1.109268666962836799e-03j)
 (2.210000000000000000e+02+0.000000000000000000e+00j)	 (-4.105080526381804589e+02-8.965849497415117497e+00j)	 (-1.604463264559214224e+02-2.714788923915585794e+00j)	 (6.320651047022340929e-01-2.312280764191653848e+00j)	 (2.258808665984496089e-01-3.727775482356073811e-01j)	 (-8.148689820796021221e-01-4.237657013418187346e-01j)	 (1.072416079422166924e+01-7.601554091134250513e-01j)	 (3.638958165131954692e-01-1.928298596556339561e-01j)	 (1.830627241343711631e-02+2.595800583401929040e-02j)	 (-6.832418066968937165e-02+3.486804413932111796e-02j)	 (-1.262138621979142124e-02+1.944706285671500209e-02j)	 (3.384074351882540022e+00+8.760182218171078672e-01j)	 (3.150805329843870978e-03-1.135314814599573240e-03j)	 (-4.584688724262287254e-03+2.106344307863308642e-03j)	 (6.304953843801943680e-01-4.697361038369896491e+00j)	 (-2.414852024789135906e-03+1.137141649805128909e-03j)
 (2.220000000000000000e+02+0.000000000000000000e+00j)	 (-4.056965961119213375e+02-8.819794346195820367e+00j)	 (-1.592362111345223923e+02-2.689914954109449141e+00j)	 (6.697663290390101221e-01-2.234068901988381040e+00j)	 (2.233530885766006890e-01-3.709860058718219000e-01j)	 (-8.007351182722582950e-01-4.218123880756378119e-01j)	 (1.076126167812438794e+01-7.619239645293980345e-01j)	 (3.627199640538545378e-01-1.924292664308269174e-01j)	 (1.830583201407222707e-02+2.605148059948049835e-02j)	 (-6.821249288825416424e-02+3.510186229583692891e-02j)	 (-1.253294277408719716e-02+1.951186737999920096e-02j)	 (3.482003031151188033e+00+8.037167191803562538e-01j)	 (3.135053634653712021e-03-1.133625125888031203e-03j)	 (-4.592238080627510100e-03+2.158772266340354927e-03j)	 (5.695364332970752619e-01-4.700183555652944989e+00j)	 (-2.410879661032649078e-03+1.164397665381699349e-03j)
 (2.240000000000000000e+02+0.000000000000000000e+00j)	 (-3.963213155165877311e+02-8.537475850476916150e+00j)	 (-1.568555330993702341e+02-2.641167812544594984e+00j)	 (7.285103328817156276e-01-2.077469487857127817e+00j)	 (2.184189225051520189e-01-3.674199667778870193e-01j)	 (-7.731405557402385442e-01-4.180149988252329085e-01j)	 (1.083430632946943106e+01-7.654477721590433603e-01j)	 (3.604176836247700022e-01-1.916943670467195493e-01j)	 (1.830479431086334124e-02+2.623945896219320728e-02j)	 (-6.798856248063281371e-02+3.556187793582284845e-02j)	 (-1.235661719103314272e-02+1.964063401042072041e-02j)	 (3.687029339845455667e+00+6.588006493013947029e-01j)	 (3.103992226582835690e-03-1.129630758178349704e-03j)	 (-4.605122547575583522e-03+2.264602545650294153e-03j)	 (4.465520929744531964e-01-4.702029531188115286e+00j)	 (-2.403045152120645862e-03+1.216658006925515735e-03j)
 (2.250000000000000000e+02+0.000000000000000000e+00j)	 (-3.917537303956226538e+02-8.401028170620326918e+00j)	 (-1.556845884068174826e+02-2.617283800258537685e+00j)	 (7.494937519586482022e-01-2.000248505559163892e+00j)	 (2.160127707538294362e-01-3.656450187666129281e-01j)	 (-7.596725972188382858e-01-4.161676865029106942e-01j)	 (1.087026420056682774e+01-7.672018938217792794e-01j)	 (3.592861514995970285e-01-1.913578502445679730e-01j)	 (1.830414651651979946e-02+2.633400728633621124e-02j)	 (-6.787640634201649870e-02+3.578814611632032822e-02j)	 (-1.226869074976711348e-02+1.970447802984445079e-02j)	 (3.794316469824445370e+00+5.873055206981537824e-01j)	 (3.088699494824198415e-03-1.127390107957563278e-03j)	 (-4.610565393036590749e-03+2.317640269802169473e-03j)	 (3.846215180314200288e-01-4.700936229207773209e+00j)	 (-2.399176891617742138e-03+1.241828683812138149e-03j)
 (2.270000000000000000e+02+0.000000000000000000e+00j)	 (-3.828496646648956698e+02-8.137114469281105045e+00j)	 (-1.533805571723290200e+02-2.570463462816371614e+00j)	 (7.754484216825929810e-01-1.850998197586472882e+00j)	 (2.113135018772570317e-01-3.621125641399979833e-01j)	 (-7.333667245023087755e-01-4.125752186985395253e-01j)	 (1.094107666759182074e+01-7.706838947109977411e-01j)	 (3.570684742264914058e-01-1.907511796671129967e-01j)	 (1.830267829661787887e-02+2.652434689088574785e-02j)	 (-6.765232718902187969e-02+3.623309983044997046e-02j)	 (-1.209332443421941294e-02+1.983143328768784824e-02j)	 (4.017995520713443902e+00+4.492616187409911865e-01j)	 (3.058617219683926452e-03-1.122323114211046594e-03j)	 (-4.619209957186396105e-03+2.424542713028388953e-03j)	 (2.600675319689570442e-01-4.694501278827863722e+00j)	 (-2.391635050727589258e-03+1.290137339365295208e-03j)
 (2.280000000000000000e+02+0.000000000000000000e+00j)	 (-3.785097352578720233e+02-8.009484015892709863e+00j)	 (-1.522471104542574665e+02-2.547519422847771331e+00j)	 (7.810857354449848300e-01-1.780114171153508451e+00j)	 (2.090211417872032129e-01-3.603565890985064302e-01j)	 (-7.205196957322028695e-01-4.108245945578825054e-01j)	 (1.097594006069249950e+01-7.724184580666122457e-01j)	 (3.559797583731067472e-01-1.904734000603129362e-01j)	 (1.830180670363356493e-02+2.662007822293226134e-02j)	 (-6.754035404384031716e-02+3.645198599886243646e-02j)	 (-1.200599714332124465e-02+1.989443805071240690e-02j)	 (4.133827896065719543e+00+3.838322109924802161e-01j)	 (3.043772035934402733e-03-1.119567520162316997e-03j)	 (-4.622883076059295521e-03+2.478160742642959366e-03j)	 (1.975624773062735484e-01-4.689085289533701406e+00j)	 (-2.387807286784619960e-03+1.313384879340088497e-03j)
