f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (-7.933309302302523065e+03+6.639127148947280830e+02j)	 (-3.246412977831634635e+03-1.673744311386994070e+02j)	 (-6.524262649388296040e+02+5.582847368418476464e+01j)	 (-1.035005769973829359e+02-5.796102368742769961e+00j)	 (1.280860921535146346e+01-4.655210144748104462e+00j)	 (-9.177576592235006658e-02-1.823558180474951773e-01j)	 (4.170046169282366766e-02+1.464053850667782763e-01j)	 (4.601903380565573048e-02-5.477323803089662047e-02j)	 (-6.807200778326802371e-02+3.764458725460397698e-02j)	 (1.334336713156932842e-02-1.804328693618992632e-02j)	 (-2.112850639684476714e-02-1.372709498261925724e-02j)	 (2.368281948125970648e-02-2.915567107539489668e-04j)	 (-6.995910025281943355e-03+1.500294155306492383e-03j)	 (-1.360565771610398322e-01+1.930477490496864679e-01j)	 (-3.622919737874646853e-03+1.360743412669498248e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (-8.355532950947683275e+03+7.200165970994999043e+02j)	 (-3.141343146197480110e+03-1.600163015112652545e+02j)	 (-7.795647075286968857e+02+6.928197697185235882e+01j)	 (-9.821388619426573996e+01-5.463102932217656971e+00j)	 (1.295817016964962143e+01-4.275590702604391780e+00j)	 (-1.045877874281196385e-01-1.821463754936616664e-01j)	 (4.189136277170306399e-02+1.402751900422813114e-01j)	 (4.023473245133706716e-02-5.384478507527368230e-02j)	 (-6.403209389004198282e-02+3.777699452626107762e-02j)	 (1.245878069195044575e-02-1.905523424791330522e-02j)	 (-2.249350169258762869e-02-1.161189743265370403e-02j)	 (2.233491672709185874e-02-1.933868068364878907e-03j)	 (-5.835848118307911461e-03+7.956495301160017124e-04j)	 (-1.508570341942142012e-01+2.213046887760911352e-01j)	 (-3.142658979257847117e-03+1.344434196565835044e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (-8.811456369272636948e+03+7.824283549053591287e+02j)	 (-3.041557698669720594e+03-1.532487802906528316e+02j)	 (-9.606361818317233201e+02+8.908015502266154328e+01j)	 (-9.328752973120377590e+01-5.162385315503559724e+00j)	 (1.311190303809639524e+01-3.953825143526584096e+00j)	 (-1.186934026072371529e-01-1.818775398533452325e-01j)	 (4.198421164854272691e-02+1.348966446554720755e-01j)	 (3.516502545561505516e-02-5.232166356490230985e-02j)	 (-6.029738667785011080e-02+3.738427447203493403e-02j)	 (1.158616910164871755e-02-2.012220482219455320e-02j)	 (-2.377321864128725468e-02-9.347308535205444552e-03j)	 (2.080105466552618909e-02-2.779712948473200742e-03j)	 (-4.732867451701707265e-03+2.385238569208257813e-04j)	 (-1.671284907064874981e-01+2.497139414021612713e-01j)	 (-2.623090941880688257e-03+1.318269702757816214e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (-9.304941811710239563e+03+8.518529115944184014e+02j)	 (-2.946679026809975767e+03-1.469284063100854496e+02j)	 (-1.238824241402068765e+03+1.208712631543288012e+02j)	 (-8.868912358104478244e+01-4.893678972530905114e+00j)	 (1.327420905631643677e+01-3.676753535518501703e+00j)	 (-1.337157275549950286e-01-1.808691503510899135e-01j)	 (4.153931061619817178e-02+1.301313435863698520e-01j)	 (3.079809739305264249e-02-5.043449666708479245e-02j)	 (-5.692826538222350158e-02+3.659772347112106444e-02j)	 (1.065625201014389067e-02-2.115285756775779624e-02j)	 (-2.491608613397469640e-02-7.100154004478746381e-03j)	 (1.937807842376017969e-02-3.058284709213675723e-03j)	 (-3.732943751077728075e-03-1.344635180494045115e-04j)	 (-1.848724523579174939e-01+2.786323107579891101e-01j)	 (-2.114898163169386461e-03+1.284771279917791380e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (-9.840417988983503164e+03+9.292091482594125864e+02j)	 (-2.856348272877432464e+03-1.409652528523531601e+02j)	 (-1.720522305157034907e+03+1.796802362486243680e+02j)	 (-8.439215267293806733e+01-4.655188718742064857e+00j)	 (1.344904536129761752e+01-3.434910651358850764e+00j)	 (-1.493063772441681203e-01-1.788651181761551079e-01j)	 (4.038960620104167093e-02+1.258346941218285719e-01j)	 (2.706793497543072066e-02-4.835436991553446889e-02j)	 (-5.393543280305183873e-02+3.553805771234366806e-02j)	 (9.646904525304025521e-03-2.206939031046862426e-02j)	 (-2.589561779534001185e-02-4.905603633976157729e-03j)	 (1.816826754046563588e-02-2.960974055012386471e-03j)	 (-2.868256178767713757e-03-3.535753701527618643e-04j)	 (-2.041910750494446425e-01+3.082054234745283394e-01j)	 (-1.635990894145066292e-03+1.246077153890740551e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.042294815637720603e+04+1.015641173910113139e+03j)	 (-2.770239015034539079e+03-1.353030682070447028e+02j)	 (-2.754689639171314866e+03+3.214749163544832982e+02j)	 (-8.037002371774323706e+01-4.442937283506591228e+00j)	 (1.364009322270784175e+01-3.221394136919402573e+00j)	 (-1.651568479906567743e-01-1.757131064944339460e-01j)	 (3.839491595797557555e-02+1.219845245267344447e-01j)	 (2.389267926557073554e-02-4.619999703064295998e-02j)	 (-5.130511456033035739e-02+3.429844105340355137e-02j)	 (8.572301619605392220e-03-2.281372172432656609e-02j)	 (-2.671072141507930403e-02-2.755954997107057207e-03j)	 (1.718619440110770100e-02-2.655060092912888206e-03j)	 (-2.143584971983001058e-03-4.640237401371256724e-04j)	 (-2.252952972259655018e-01+3.387494294589453725e-01j)	 (-1.201595814452386789e-03+1.204207772772072915e-02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.105833844174180194e+04+1.112547672210710289e+03j)	 (-2.688057563553427826e+03-1.299084846565727389e+02j)	 (-6.555487834493603259e+03+1.018213981334009418e+03j)	 (-7.660038972033315474e+01-4.254888147343748983e+00j)	 (1.385112549924004455e+01-3.031248881031048281e+00j)	 (-1.809811955539714357e-01-1.714013747276430799e-01j)	 (3.553804456944916618e-02+1.186097279086145290e-01j)	 (2.118766219046454291e-02-4.404840179982111303e-02j)	 (-4.900879408706615425e-02+3.295161953860926279e-02j)	 (7.466613734705969223e-03-2.337566372136982984e-02j)	 (-2.737766025908017209e-02-6.157605744731006270e-04j)	 (1.637913921349841082e-02-2.240789993655556249e-03j)	 (-1.545079783880279898e-03-5.044099670459481358e-04j)	 (-2.483933800581809292e-01+3.705790420701036703e-01j)	 (-8.138265409094200351e-04+1.161501988435208188e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.175327054633705666e+04+1.221620965911359235e+03j)	 (-2.609543025504402522e+03-1.247613808195636693e+02j)	 (1.884356915775384186e+04+1.436001392464420405e+03j)	 (-7.306277499006679932e+01-4.088026722297239068e+00j)	 (1.408612153762700636e+01-2.860562455700466078e+00j)	 (-1.966135411701019076e-01-1.659534196538941520e-01j)	 (3.180090920818248734e-02+1.156649719697007833e-01j)	 (1.887555754230088936e-02-4.194567794231830737e-02j)	 (-4.700715295019645967e-02+3.154888727585510033e-02j)	 (6.338810830356706415e-03-2.376071460402710833e-02j)	 (-2.789313763712522251e-02+1.570844433427955262e-03j)	 (1.571785597195617112e-02-1.768605819458535233e-03j)	 (-1.053648213527181741e-03-5.022272650257102004e-04j)	 (-2.736373190427995872e-01+4.039750382929549466e-01j)	 (-4.726820096026852227e-04+1.118684251892159559e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.251547909092396549e+04+1.344898655893283831e+03j)	 (-2.534460249845069484e+03-1.198475441678567393e+02j)	 (4.031601672807001250e+03-2.527662062378795724e+02j)	 (-6.973816731044864525e+01-3.938472408392282631e+00j)	 (1.434967707251371216e+01-2.706808175339362688e+00j)	 (-2.118837143541098256e-01-1.594248528713694268e-01j)	 (2.716272049365167640e-02+1.131524514381329061e-01j)	 (1.688978825285036497e-02-3.991881766893625588e-02j)	 (-4.526522186818565663e-02+3.012682691462915258e-02j)	 (5.208106463894358364e-03-2.398960218534284747e-02j)	 (-2.824570991768849196e-02+3.858084224570465862e-03j)	 (1.515679354100655032e-02-1.271583446711593672e-03j)	 (-6.504821198571656121e-04-4.746466993465733365e-04j)	 (-3.013174784940119699e-01+4.393162554060967562e-01j)	 (-1.749094937864750625e-04+1.077171889654150554e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.335396152703700136e+04+1.484841180535911235e+03j)	 (-2.462597358960155361e+03-1.151562693704747176e+02j)	 (2.287434314892634120e+03-1.868844209490039532e+02j)	 (-6.661046541303494450e+01-3.804440883884809388e+00j)	 (1.464719493711058895e+01-2.568280284289909954e+00j)	 (-2.266836404199728816e-01-1.518448346009371730e-01j)	 (2.152779416115986957e-02+1.110284113529252104e-01j)	 (1.517490514459272910e-02-3.798096361371504359e-02j)	 (-4.374997641220334382e-02+2.871005527990556222e-02j)	 (4.073049585416611482e-03-2.407650938746616273e-02j)	 (-2.839826236367550341e-02+6.311510008233730748e-03j)	 (1.467952243840594043e-02-7.702793166065154346e-04j)	 (-3.195206006642169368e-04-4.324178844771465156e-04j)	 (-3.317593683413821437e-01+4.770625685732866605e-01j)	 (7.855886173080096283e-05+1.037280909362135045e-02j)
