f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (9.300000000000000000e+01+0.000000000000000000e+00j)	 (7.783759983522610913e-03-4.594728098386606334e-03j)	 (-7.125343298862611870e-03+1.402592903157482730e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.125343298862518195e-03+1.402592903157095540e-02j)	 (3.886042008633236455e-02-4.814175129932996011e-02j)	 (-3.106996794745787993e-02+4.562191299301240205e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.106996794746002752e-02+4.562191299303298975e-02j)	 (3.107666008387313314e-02-4.354702320148644279e-02j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (7.730725012808618672e-03-4.457512695671198011e-03j)	 (-7.051497155297888585e-03+1.400666978453664335e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.051497155298780233e-03+1.400666978453971034e-02j)	 (3.853985016463737368e-02-4.773185638680740167e-02j)	 (-3.080222490527044152e-02+4.537181410433637624e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-3.080222490526884904e-02+4.537181410431678774e-02j)	 (3.080912517063310457e-02-4.327434369103559664e-02j)
 (9.500000000000000000e+01+0.000000000000000000e+00j)	 (7.679364614420139921e-03-4.320973073491168534e-03j)	 (-6.978576767989353759e-03+1.398857859867609806e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.978576767985900792e-03+1.398857859867212727e-02j)	 (3.822621495023085375e-02-4.732654218883133868e-02j)	 (-3.053968659663035615e-02+4.512563554502330848e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.053968659664815094e-02+4.512563554503586094e-02j)	 (3.054685032352291371e-02-4.300556912838550405e-02j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (7.629296274104152391e-03-4.185111471419591771e-03j)	 (-6.906584371448237086e-03+1.397153877672423911e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.906584371451613726e-03+1.397153877672113742e-02j)	 (3.791856036544621888e-02-4.692555879845761863e-02j)	 (-3.028185267908632336e-02+4.488308137749150162e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.028185267907824996e-02+4.488308137750519899e-02j)	 (3.028926407898199780e-02-4.274044731502656819e-02j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (7.580618957269747750e-03-4.049760607346491147e-03j)	 (-6.835506767827665038e-03+1.395559233362759707e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.835506767831431123e-03+1.395559233362739411e-02j)	 (3.761707543589280778e-02-4.652857022770890555e-02j)	 (-3.002880329219493119e-02+4.464402833556774253e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.002880329217700109e-02+4.464402833557064992e-02j)	 (3.003645647857365944e-02-4.247880960367102221e-02j)
 (9.800000000000000000e+01+0.000000000000000000e+00j)	 (7.533408416440213161e-03-3.914869299242149797e-03j)	 (-6.765297976460258114e-03+1.394076191932082723e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.765297976461470686e-03+1.394076191932062253e-02j)	 (3.732182837399088127e-02-4.613548434243003316e-02j)	 (-2.978051281150433799e-02+4.440845446495454707e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.978051281151978744e-02+4.440845446495089721e-02j)	 (2.978841995795071529e-02-4.222061504570280566e-02j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (7.442856130154078785e-03-3.646941274489600218e-03j)	 (-6.627274159887780805e-03+1.391418583384470588e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.627274159890383758e-03+1.391418583384387841e-02j)	 (3.674821279811022606e-02-4.536157479479928367e-02j)	 (-2.929693437612722676e-02+4.394765850905530541e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.929693437613852328e-02+4.394765850904296112e-02j)	 (2.930535666975806267e-02-4.171463352191894652e-02j)
 (1.010000000000000000e+02+0.000000000000000000e+00j)	 (7.399524772772645559e-03-3.513840323332557622e-03j)	 (-6.559389781055276550e-03+1.390243117309718744e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.559389781054855879e-03+1.390243117309519771e-02j)	 (3.646968422090083456e-02-4.498054868665079392e-02j)	 (-2.906146652739089939e-02+4.372231100313313940e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.906146652737717426e-02+4.372231100312140573e-02j)	 (2.907015944967315801e-02-4.146670836185094994e-02j)
 (1.020000000000000000e+02+0.000000000000000000e+00j)	 (7.357618482111267372e-03-3.381157537466748277e-03j)	 (-6.492211713371120324e-03+1.389174880692089532e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.492211713370952056e-03+1.389174880692229004e-02j)	 (3.619687551191473618e-02-4.460318100455668011e-02j)	 (-2.883026541695361822e-02+4.350024076950855662e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.883026541695518294e-02+4.350024076952333646e-02j)	 (2.883925702774961519e-02-4.122202346732085215e-02j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (7.316728839062982062e-03-3.248903122503219408e-03j)	 (-6.425784750272411396e-03+1.388202742908719971e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.425784750271871897e-03+1.388202742908519610e-02j)	 (3.592886072142222054e-02-4.422923835217059535e-02j)	 (-2.860289393447737472e-02+4.328115498030488117e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.860289393447665307e-02+4.328115498028556329e-02j)	 (2.861213188448031089e-02-4.098033522970401243e-02j)
 (1.040000000000000000e+02+0.000000000000000000e+00j)	 (7.277299075934209535e-03-3.117163755753936914e-03j)	 (-6.359951384556008537e-03+1.387334481617632717e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.359951384557954897e-03+1.387334481617784679e-02j)	 (3.566637907808131031e-02-4.385909872213578087e-02j)	 (-2.837953618283686405e-02+4.306537529153010163e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.837953618284681095e-02+4.306537529153994792e-02j)	 (2.838908000079707131e-02-4.074193496792172242e-02j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (7.238925515707950523e-03-2.985952877557658536e-03j)	 (-6.294759682154916353e-03+1.386558939181079322e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.294759682152805194e-03+1.386558939181252968e-02j)	 (3.540852377287397046e-02-4.349253552757765401e-02j)	 (-2.815976843825306400e-02+4.285261188677604721e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.815976843824152809e-02+4.285261188678717720e-02j)	 (2.816959825578471688e-02-4.050658264868257918e-02j)
 (1.060000000000000000e+02+0.000000000000000000e+00j)	 (7.201725645539542794e-03-2.855089808612278155e-03j)	 (-6.230189589513240866e-03+1.385882015870675520e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.230189589512370035e-03+1.385882015870723225e-02j)	 (3.515553346862861084e-02-4.312922068670770742e-02j)	 (-2.794370112234578415e-02+4.264276858808567494e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.794370112232677159e-02+4.264276858808943582e-02j)	 (2.795380782312580428e-02-4.027413087622003229e-02j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (7.165795636068355949e-03-2.724523853453331406e-03j)	 (-6.166191795957858338e-03+1.385306060285322778e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.166191795952235231e-03+1.385306060285333880e-02j)	 (3.490753285881441348e-02-4.276907041357226602e-02j)	 (-2.773134239738413512e-02+4.243583294909837600e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.773134239739942150e-02+4.243583294909900744e-02j)	 (2.774173721818745317e-02-4.004454656083086123e-02j)
 (1.080000000000000000e+02+0.000000000000000000e+00j)	 (7.130911637870352218e-03-2.594474761123249321e-03j)	 (-6.102733883096267929e-03+1.384820070878508939e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.102733883093248643e-03+1.384820070878997438e-02j)	 (3.466387501311981451e-02-4.241237351559566660e-02j)	 (-2.752228598121525885e-02+4.223179992749252071e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.752228598122605230e-02+4.223179992747955191e-02j)	 (2.753296337253884410e-02-3.981789875811778123e-02j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (7.064589643577464349e-03-2.335602640958756981e-03j)	 (-5.977305174348725159e-03+1.384127578559146872e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.977305174352805228e-03+1.384127578559530940e-02j)	 (3.419004281141331536e-02-4.170871950559351671e-02j)	 (-2.711417825989876837e-02+4.183224685594871123e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.711417825988689592e-02+4.183224685593797676e-02j)	 (2.712545317146682761e-02-3.937311686764991686e-02j)
 (1.110000000000000000e+02+0.000000000000000000e+00j)	 (7.033232794801845371e-03-2.206667312910067912e-03j)	 (-5.915271050459124449e-03+1.383923137791875750e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-5.915271050458168617e-03+1.383923137791344925e-02j)	 (3.395992429356224640e-02-4.136151403601853738e-02j)	 (-2.691508772082019593e-02+4.163662195061713922e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.691508772082128534e-02+4.163662195063181498e-02j)	 (2.692669149811665816e-02-3.915484671863596333e-02j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)	 (7.002716265069700539e-03-2.078009506961983263e-03j)	 (-5.853745534916226373e-03+1.383806094350263638e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.853745534917429404e-03+1.383806094350785269e-02j)	 (3.373354242196654335e-02-4.101705721576524855e-02j)	 (-2.671895039203476055e-02+4.144345579762111903e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.671895039203230765e-02+4.144345579761049558e-02j)	 (2.673082615748261295e-02-3.893904771318629221e-02j)
 (1.130000000000000000e+02+0.000000000000000000e+00j)	 (6.973517917872773704e-03-1.949737101656014333e-03j)	 (-5.792561033072087494e-03+1.383782166876186895e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.792561033069456786e-03+1.383782166875812368e-02j)	 (3.351171640310049438e-02-4.067576840602001031e-02j)	 (-2.652598913373991479e-02+4.125309300022800274e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.652598913374853290e-02+4.125309300023734943e-02j)	 (2.653819848156237227e-02-3.872603130195458737e-02j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)	 (6.945215982941841878e-03-1.821857644491838880e-03j)	 (-5.731789361425993455e-03+1.383841868776225850e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.731789361429256470e-03+1.383841868775944131e-02j)	 (3.329353701041118385e-02-4.033742257359300420e-02j)	 (-2.633580020266152594e-02+4.106524755089024925e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.633580020265255048e-02+4.106524755089863143e-02j)	 (2.634832102982626392e-02-3.851556492557108718e-02j)
 (1.150000000000000000e+02+0.000000000000000000e+00j)	 (6.917948432471686220e-03-1.694185427685918760e-03j)	 (-5.671403212049014840e-03+1.383991513696904152e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.671403212052831232e-03+1.383991513696799895e-02j)	 (3.307929835791428158e-02-4.000169265206309638e-02j)	 (-2.614852869654760159e-02+4.087983255496049906e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.614852869653587833e-02+4.087983255496582813e-02j)	 (2.616134992922953054e-02-3.830750722396267932e-02j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)	 (6.891826397866726746e-03-1.566670219186944027e-03j)	 (-5.611350946709739440e-03+1.384233698555180012e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.611350946707610067e-03+1.384233698555219563e-02j)	 (3.286916830132951411e-02-3.966850912685038200e-02j)	 (-2.596420987645868886e-02+4.069685148109055545e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.596420987647624773e-02+4.069685148108761336e-02j)	 (2.597734189109127123e-02-3.810183890879262347e-02j)
 (1.180000000000000000e+02+0.000000000000000000e+00j)	 (6.842468664930829135e-03-1.312687452354176568e-03j)	 (-5.492185765418285300e-03+1.384966063349960669e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.492185765417952233e-03+1.384966063350158427e-02j)	 (3.245963979170043978e-02-3.901051394251922599e-02j)	 (-2.560341743732107156e-02+4.033815339759712348e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.560341743732426692e-02+4.033815339758536900e-02j)	 (2.561717111894103172e-02-3.769782649954929454e-02j)
 (1.190000000000000000e+02+0.000000000000000000e+00j)	 (6.819283181283542633e-03-1.186161565517168930e-03j)	 (-5.433016995433297136e-03+1.385456401051640002e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.433016995434715272e-03+1.385456401051754147e-02j)	 (3.226024074377870088e-02-3.868555031356744889e-02j)	 (-2.542688190361070202e-02+4.016235831012446994e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.542688190360156697e-02+4.016235831011817636e-02j)	 (2.544095757176678685e-02-3.749938875594929777e-02j)
 (1.200000000000000000e+02+0.000000000000000000e+00j)	 (6.797272899488423885e-03-1.059777745746788786e-03j)	 (-5.374059575515225361e-03+1.386035828588354051e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.374059575515773533e-03+1.386035828588093842e-02j)	 (3.206474609601628334e-02-3.836299836047282058e-02j)	 (-2.525304598722320076e-02+3.998887864419762433e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.525304598722571958e-02+3.998887864420988536e-02j)	 (2.526747319544783363e-02-3.730322060274490065e-02j)
 (1.210000000000000000e+02+0.000000000000000000e+00j)	 (6.775977139733848492e-03-9.335417914082894597e-04j)	 (-5.315426703461067874e-03+1.386696377804461089e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.315426703461802529e-03+1.386696377804793982e-02j)	 (3.187223048184070068e-02-3.804264194282695744e-02j)	 (-2.508153817775430824e-02+3.981743359994540515e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.508153817775271924e-02+3.981743359992957060e-02j)	 (2.509625334323415877e-02-3.710910016332612943e-02j)
 (1.220000000000000000e+02+0.000000000000000000e+00j)	 (6.755928955745158816e-03-8.075779927095775960e-04j)	 (-5.256911363611568334e-03+1.387441051441389711e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.256911363610849292e-03+1.387441051441204269e-02j)	 (3.168357808234268519e-02-3.772491521449566898e-02j)	 (-2.491257892143843022e-02+3.964837047170891721e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.491257892144647240e-02+3.964837047172012352e-02j)	 (2.492764911742255743e-02-3.691733721430393717e-02j)
 (1.240000000000000000e+02+0.000000000000000000e+00j)	 (6.718418565482456306e-03-5.562987721450065627e-04j)	 (-5.140517798892069515e-03+1.389166993910868203e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-5.140517798894314247e-03+1.389166993910692649e-02j)	 (3.131555477475137655e-02-3.709642651087927123e-02j)	 (-2.458140653004671494e-02+3.931652150439381849e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.458140653003782969e-02+3.931652150440026472e-02j)	 (2.459713621670069419e-02-3.654012772968354139e-02j)
 (1.250000000000000000e+02+0.000000000000000000e+00j)	 (6.701066501090865296e-03-4.308661969324650907e-04j)	 (-5.082574810432195604e-03+1.390151627158125493e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-5.082574810433726498e-03+1.390151627158187075e-02j)	 (3.113633118563017416e-02-3.678544096080096915e-02j)	 (-2.441921606986431625e-02+3.915366416514072523e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.441921606985713103e-02+3.915366416514065584e-02j)	 (2.443526469603474888e-02-3.635457476275043287e-02j)
 (1.260000000000000000e+02+0.000000000000000000e+00j)	 (6.684785062930781625e-03-3.054738107602103319e-04j)	 (-5.024738769907860503e-03+1.391220468724259883e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.024738769901740398e-03+1.391220468724316608e-02j)	 (3.096052164344808427e-02-3.647645573014560161e-02j)	 (-2.425935796133358094e-02+3.899281199900925254e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.425935796134515848e-02+3.899281199900962031e-02j)	 (2.427573655869120009e-02-3.617098192148807817e-02j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)	 (6.669340362430211007e-03-1.803378706402170711e-04j)	 (-4.967029618659787871e-03+1.392363937144654520e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.967029618657279461e-03+1.392363937145094446e-02j)	 (3.078753738173114346e-02-3.616977498663721119e-02j)	 (-2.410149338160848601e-02+3.883397673289293306e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.410149338161544572e-02+3.883397673288568885e-02j)	 (2.411819700547630091e-02-3.598943713266385125e-02j)
 (1.280000000000000000e+02+0.000000000000000000e+00j)	 (6.654836602355699085e-03-5.541474280802705099e-05j)	 (-4.909407004907759275e-03+1.393583652099599467e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.909407004913051917e-03+1.393583652099883614e-02j)	 (3.061755966697601167e-02-3.586533662144399115e-02j)	 (-2.394568118531222034e-02+3.867716234370816714e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.394568118529983788e-02+3.867716234370284500e-02j)	 (2.396272308122794625e-02-3.580992189248586449e-02j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)	 (6.628837292336754033e-03+1.942041022253067914e-04j)	 (-4.794319709936188841e-03+1.396259502769230804e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-4.794319709935039586e-03+1.396259502768661641e-02j)	 (3.028695209985948419e-02-3.526231129951431370e-02j)	 (-2.364037049235387725e-02+3.836923123023711080e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.364037049235701363e-02+3.836923123024755383e-02j)	 (2.365811480533829350e-02-3.545651538060159980e-02j)
 (1.310000000000000000e+02+0.000000000000000000e+00j)	 (6.617074322325194012e-03+3.189310905402625157e-04j)	 (-4.736882473212144368e-03+1.397713123364549732e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.736882473212395903e-03+1.397713123365117681e-02j)	 (3.012569542061451291e-02-3.496352903158263248e-02j)	 (-2.349056369443589323e-02+3.821791510927489283e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.349056369443626099e-02+3.821791510926243751e-02j)	 (2.350862110043630201e-02-3.528246014308902140e-02j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)	 (6.606452948662886598e-03+4.434870758198267669e-04j)	 (-4.679402124702994499e-03+1.399241737976504064e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.679402124697493691e-03+1.399241737976264673e-02j)	 (2.996768499616027023e-02-3.466687608723482972e-02j)	 (-2.334280722319349508e-02+3.806857992501366111e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.334280722320605100e-02+3.806857992501916366e-02j)	 (2.336123203108919633e-02-3.511036315003621816e-02j)
 (1.330000000000000000e+02+0.000000000000000000e+00j)	 (6.596600228637654155e-03+5.679075182148459085e-04j)	 (-4.621957057514322620e-03+1.400843182479673092e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-4.621957057518356719e-03+1.400843182479229870e-02j)	 (2.981213298303638654e-02-3.437213738479575481e-02j)	 (-2.319676000450091036e-02+3.792099755204580980e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.319676000449452311e-02+3.792099755205496914e-02j)	 (2.321553276744673169e-02-3.494004488667402236e-02j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)	 (6.587668986744722038e-03+6.923414542583185326e-04j)	 (-4.564497305769147674e-03+1.402521447470246770e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-4.564497305775184512e-03+1.402521447470131584e-02j)	 (2.965935495528837854e-02-3.407903964301796373e-02j)	 (-2.305257553121617051e-02+3.777509240021808407e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.305257553120529379e-02+3.777509240022213638e-02j)	 (2.307168598903799536e-02-3.477138109504721020e-02j)
 (1.360000000000000000e+02+0.000000000000000000e+00j)	 (6.572731088657459038e-03+9.411404682364293709e-04j)	 (-4.449403774981504529e-03+1.406103863662535279e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-4.449403774971562829e-03+1.406103863662668506e-02j)	 (2.936223314495830725e-02-3.349796647075010958e-02j)	 (-2.276969370326227191e-02+3.748840006909971712e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.276969370327319719e-02+3.748840006909646971e-02j)	 (2.278950191451364210e-02-3.443910693166932213e-02j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)	 (6.566556601862878415e-03+1.065427218327562927e-03j)	 (-4.391782051048573679e-03+1.408003143545593326e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-4.391782051042503882e-03+1.408003143546426167e-02j)	 (2.921746479416994710e-02-3.321004639944902248e-02j)	 (-2.263075755253324967e-02+3.734754790264332991e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.263075755254121552e-02+3.734754790263187380e-02j)	 (2.265090818199377160e-02-3.427547373788777940e-02j)
 (1.380000000000000000e+02+0.000000000000000000e+00j)	 (6.561305174963467240e-03+1.189593205848591285e-03j)	 (-4.334064831564659465e-03+1.409971759995237717e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.334064831572433628e-03+1.409971759995992148e-02j)	 (2.907527240364200100e-02-3.292393780251859359e-02j)	 (-2.249345909818053352e-02+3.720837716217335889e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.249345909817250175e-02+3.720837716216573998e-02j)	 (2.251396725270254570e-02-3.411353104290425903e-02j)
 (1.390000000000000000e+02+0.000000000000000000e+00j)	 (6.557154519252697197e-03+1.313806083124798973e-03j)	 (-4.276175022684691913e-03+1.412015497399942386e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.276175022682787187e-03+1.412015497399042932e-02j)	 (2.893598666778385634e-02-3.263936485399493437e-02j)	 (-2.235793916359316014e-02+3.707083487404366773e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.235793916359425301e-02+3.707083487405173766e-02j)	 (2.237883213721386308e-02-3.395317082881738058e-02j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)	 (6.551241082456632850e-03+1.562316635613658720e-03j)	 (-4.160138301919139719e-03+1.416320293421150303e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.160138301919841415e-03+1.416320293422181596e-02j)	 (2.866431647455749618e-02-3.207458698368782779e-02j)	 (-2.209149413178413540e-02+3.680019591295396325e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.209149413178385438e-02+3.680019591294472758e-02j)	 (2.211307539179666742e-02-3.363690369520170448e-02j)
 (1.420000000000000000e+02+0.000000000000000000e+00j)	 (6.549861306679838346e-03+1.686525874915471152e-03j)	 (-4.101812892148479911e-03+1.418577593631577434e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.101812892141010192e-03+1.418577593631058231e-02j)	 (2.853252463517998855e-02-3.179460593713716310e-02j)	 (-2.196069120222599036e-02+3.666726746565253381e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.196069120223389029e-02+3.666726746565762002e-02j)	 (2.198266325602561688e-02-3.348113177775250554e-02j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)	 (6.549230237996733067e-03+1.810681213766627412e-03j)	 (-4.043372854698976462e-03+1.420902096879971856e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-4.043372854705698516e-03+1.420902096879143005e-02j)	 (2.840283231858653501e-02-3.151616091883922138e-02j)	 (-2.183126102923944531e-02+3.653579151576474143e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.183126102923027903e-02+3.653579151577314443e-02j)	 (2.185360214603854559e-02-3.332684205098625230e-02j)
 (1.450000000000000000e+02+0.000000000000000000e+00j)	 (6.550809473623397765e-03+2.059256213552205193e-03j)	 (-3.925869330311783367e-03+1.425767239754601942e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.925869330321255825e-03+1.425767239754606105e-02j)	 (2.815079089505362342e-02-3.096319995212440043e-02j)	 (-2.157691214374723304e-02+3.627710047266713422e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.157691214373785860e-02+3.627710047266662768e-02j)	 (2.159998151752617890e-02-3.302245611828489441e-02j)
 (1.460000000000000000e+02+0.000000000000000000e+00j)	 (6.553109411027708067e-03+2.183712512169603149e-03j)	 (-3.866735384408531533e-03+1.428307445468908303e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.866735384402406658e-03+1.428307445468866323e-02j)	 (2.802854092764544419e-02-3.068859274510823965e-02j)	 (-2.145199219068209123e-02+3.614984611993148078e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.145199219069715557e-02+3.614984611993250774e-02j)	 (2.147544525409624677e-02-3.287230364215326661e-02j)
 (1.470000000000000000e+02+0.000000000000000000e+00j)	 (6.556221582309565248e-03+2.308116568134061745e-03j)	 (-3.807398161084139115e-03+1.430913050568780910e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-3.807398161079402453e-03+1.430913050569371410e-02j)	 (2.790836508737689139e-02-3.041547333665066757e-02j)	 (-2.132833904544459772e-02+3.602399803957805069e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.132833904545547096e-02+3.602399803956325697e-02j)	 (2.135215198142371637e-02-3.272357906851593168e-02j)
 (1.480000000000000000e+02+0.000000000000000000e+00j)	 (6.560269035842404214e-03+2.432488054087311898e-03j)	 (-3.747802685222240658e-03+1.433583785340030239e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.747802685228595818e-03+1.433583785340476237e-02j)	 (2.779047154842357453e-02-3.014381618906106577e-02j)	 (-2.120601760127422200e-02+3.589957214862300044e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.120601760126006319e-02+3.589957214861391743e-02j)	 (2.123019177883737896e-02-3.257629556878388621e-02j)
 (1.500000000000000000e+02+0.000000000000000000e+00j)	 (6.571466558836548850e-03+2.681547771221641507e-03j)	 (-3.627642089711385388e-03+1.439130436164118461e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.627642089710383586e-03+1.439130436163410347e-02j)	 (2.756202514045748980e-02-2.960407702368958449e-02j)	 (-2.096558265810064339e-02+3.565469952019657829e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.096558265810206240e-02+3.565469952021457084e-02j)	 (2.099056019729538675e-02-3.228563788569688980e-02j)
