f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.488560284598028555e-02-2.278824962408959598e-02j)	 (-2.487024833888551792e-02+2.389659730548139571e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.487024833888019579e-02+2.389659730540318744e-02j)	 (1.285397629661796659e-01-1.213539437646101310e-01j)	 (-1.036524512810514109e-01+9.882987834560844065e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.036524512810557408e-01+9.882987834559968376e-02j)	 (1.036541601206161789e-01-9.856569413501520271e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.438431134494283004e-02-2.183139080488481071e-02j)	 (-2.436910445853434151e-02+2.303148119144194164e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.436910445854571089e-02+2.303148119153742776e-02j)	 (1.256499219632648268e-01-1.165355891627292417e-01j)	 (-1.012644976998113844e-01+9.499076096177927475e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.012644976997905261e-01+9.499076096172916206e-02j)	 (1.012656106164309122e-01-9.470419836371905820e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.390506680465860970e-02-2.103731110922385170e-02j)	 (-2.388990973162786677e-02+2.232958170010920437e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.388990973156952108e-02+2.232958170006016027e-02j)	 (1.229521050849468611e-01-1.124912813463274652e-01j)	 (-9.904636227803814696e-02+9.176305485258415273e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.904636227804251847e-02+9.176305485260495554e-02j)	 (9.904703827689070872e-02-9.145397023290996463e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (2.344458403238304511e-02-2.037670227999029138e-02j)	 (-2.342962173634451431e-02+2.176142296420823657e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.342962173639026591e-02+2.176142296414549510e-02j)	 (1.204389408632687564e-01-1.091306844883023902e-01j)	 (-9.699402346206505154e-02+8.908564750970174306e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.699402346206172087e-02+8.908564750972898516e-02j)	 (9.699435683456145152e-02-8.875398220575075880e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.299063793243039805e-02-1.981749091454201861e-02j)	 (-2.297587938637794813e-02+2.129513043426513666e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.297587938644413130e-02+2.129513043427137819e-02j)	 (1.180154153407464573e-01-1.062974325101266188e-01j)	 (-9.502467229760752643e-02+8.683425696907594304e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.502467229759463396e-02+8.683425696907429159e-02j)	 (9.502477741239065412e-02-8.647994159650825019e-02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.253959150881195209e-02-1.933400882693092973e-02j)	 (-2.252489284696315708e-02+2.090509318802491467e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.252489284693363555e-02+2.090509318802707614e-02j)	 (1.156497890986026705e-01-1.038625894665064914e-01j)	 (-9.311018902477381787e-02+8.490559939862359073e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.311018902488105153e-02+8.490559939861097583e-02j)	 (9.311019758457264595e-02-8.452858063861222460e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.209547766619189557e-02-1.890987454172081070e-02j)	 (-2.208073108593852640e-02+2.057461804315830270e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.208073108591183595e-02+2.057461804318607562e-02j)	 (1.133694175915898883e-01-1.017535675217921126e-01j)	 (-9.127392725757148273e-02+8.324337366854457632e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.127392725764604808e-02+8.324337366844375419e-02j)	 (9.127393992091738240e-02-8.284369298243539348e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.165620780530545797e-02-1.853092634241285813e-02j)	 (-2.164118036000992756e-02+2.028958640738183841e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.164118036002055101e-02+2.028958640740768926e-02j)	 (1.111468107357799773e-01-9.989908658585666679e-02j)	 (-8.949047883865129949e-02+8.179045831113909704e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.949047883860535013e-02+8.179045831107144282e-02j)	 (8.949060293205680916e-02-8.136816024713994233e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.122066499743049603e-02-1.818622511468089009e-02j)	 (-2.120503254922127129e-02+2.003922985753701577e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.120503254922325928e-02+2.003922985750660607e-02j)	 (1.089615853195186751e-01-9.824394184502005523e-02j)	 (-8.774057900431836421e-02+8.050261958934749884e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.774057900431804502e-02+8.050261958943373541e-02j)	 (8.774092032263011709e-02-8.005771672637460035e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.079082539340974117e-02-1.787027549705018023e-02j)	 (-2.077458489639091507e-02+1.981784910166402985e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.077458489638867034e-02+1.981784910168499919e-02j)	 (1.068227474325568888e-01-9.676795988435683837e-02j)	 (-8.603135221842810043e-02+7.936512780424706537e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.603135221843138947e-02+7.936512780416127288e-02j)	 (8.603192203777414171e-02-7.889768439104390130e-02j)
