f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (-7.933238629711424437e+03+6.642178327439495433e+02j)	 (-3.246386388853396966e+03-1.676096056465908930e+02j)	 (-6.518958094240988430e+02+5.279420129474948453e+01j)	 (-1.036753843640519506e+02-4.856825974614595864e+00j)	 (1.280679156071157010e+01-4.654341386915954892e+00j)	 (-6.176215253770606095e-02-3.468221384052067036e-01j)	 (1.267295408861156963e-02+2.045701175164728325e-01j)	 (4.601518673363087786e-02-5.476912728008627440e-02j)	 (-6.807191403524709417e-02+3.763508773503564109e-02j)	 (1.346846141655168305e-02-1.630641980048637765e-02j)	 (-2.137220343694130886e-02+8.055431466823945869e-03j)	 (1.684075185637375766e-02+8.835962972141609556e-03j)	 (-5.285507538006185661e-03-1.609805950811640752e-03j)	 (-1.266321102966799228e-01+1.887328033750736433e-01j)	 (-1.180995508022643706e-02+2.686167507598871337e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (-8.355551630119167385e+03+7.205818500092760814e+02j)	 (-3.141287615374849338e+03-1.603041451163293516e+02j)	 (-7.791771711904522135e+02+6.581327230898888558e+01j)	 (-9.833762808980530679e+01-4.537996065983674221e+00j)	 (1.295725127378813291e+01-4.272833127626487482e+00j)	 (-8.138359132998806977e-02-3.547698034071980477e-01j)	 (1.807699460418143306e-02+1.986826035502358700e-01j)	 (4.023130932568597107e-02-5.384092345143574876e-02j)	 (-6.403521919221608072e-02+3.776859143197176805e-02j)	 (1.225342867995053014e-02-1.671990345127944907e-02j)	 (-2.071187943061466100e-02+1.049508483795519830e-02j)	 (1.642810375710471518e-02+7.234372332802815886e-03j)	 (-4.292065628530024324e-03-1.236147832584614473e-03j)	 (-1.426033195873621373e-01+2.168692411178927415e-01j)	 (-1.430309598400305963e-02+2.778515355616766741e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (-8.811512500868848292e+03+7.827022439432963665e+02j)	 (-3.041506715313326822e+03-1.534669585315935194e+02j)	 (-9.604061206086302036e+02+8.479316889340782382e+01j)	 (-9.336803238455782150e+01-4.248437415400537098e+00j)	 (1.311163655267411343e+01-3.952243813769738434e+00j)	 (-1.026702365480963719e-01-3.617058151209663341e-01j)	 (2.449847669405224443e-02+1.932853428943220320e-01j)	 (3.516280212782986470e-02-5.231810744436038441e-02j)	 (-6.029896498345147654e-02+3.737549675202268135e-02j)	 (1.105588655918134100e-02-1.705038290087084948e-02j)	 (-1.870754765937365435e-02+1.273782361263562507e-02j)	 (1.562933257553780764e-02+6.019963280298011067e-03j)	 (-3.456599350782483659e-03-9.988371690707424644e-04j)	 (-1.604218051121762412e-01+2.451314915652219872e-01j)	 (-1.802717760649051246e-02+2.902233272864898281e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (-9.305114015239680157e+03+8.524287632972500433e+02j)	 (-2.946602821893010969e+03-1.471947376779264403e+02j)	 (-1.238908021028106077e+03+1.157149629867679437e+02j)	 (-8.872997484117804845e+01-3.999958767350336952e+00j)	 (1.327489033204538593e+01-3.673828086297502349e+00j)	 (-1.252505040901334410e-01-3.669237041799509602e-01j)	 (3.097003621230079787e-02+1.879472633917300406e-01j)	 (3.079593584217213756e-02-5.043127424943216058e-02j)	 (-5.693325666383707712e-02+3.658904828599532366e-02j)	 (9.878602185223846893e-03-1.728652372732848025e-02j)	 (-1.595809141098015679e-02+1.349692346429524382e-02j)	 (1.470424079524673688e-02+5.168166590177489424e-03j)	 (-2.758250863274481698e-03-8.375788130730803900e-04j)	 (-1.797556079020647402e-01+2.738325374379364519e-01j)	 (-2.245274142564929187e-02+3.181141968141251719e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (-9.840354939443361218e+03+9.297900285110401910e+02j)	 (-2.856314503341244290e+03-1.412298419421837252e+02j)	 (-1.720789356769130336e+03+1.728664276554020773e+02j)	 (-8.440163029588575228e+01-3.780566342445691230e+00j)	 (1.345172172122507526e+01-3.432269459873421358e+00j)	 (-1.485681994472008161e-01-3.701129034981512356e-01j)	 (3.699373435501231155e-02+1.823917816253820545e-01j)	 (2.706630867418764047e-02-4.835123677418765031e-02j)	 (-5.394160757937090100e-02+3.553077982505799953e-02j)	 (8.729953858402826616e-03-1.742867706756159873e-02j)	 (-1.383560851279728478e-02+1.323524596696008457e-02j)	 (1.377997751191926100e-02+4.600044901710518934e-03j)	 (-2.171567362255659179e-03-7.198631275038228777e-04j)	 (-2.005668217685458721e-01+3.031830881447882819e-01j)	 (-2.627536865073907754e-02+3.566029578367124059e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.042284658351537291e+04+1.016099289299395764e+03j)	 (-2.770214146967168745e+03-1.355439165013725642e+02j)	 (-2.755682737351769447e+03+3.109455278383318841e+02j)	 (-8.035029083540068484e+01-3.587295989360516746e+00j)	 (1.364398117808616995e+01-3.219375543844964049e+00j)	 (-1.721580196411308106e-01-3.712020344397534144e-01j)	 (4.223091094202256757e-02+1.764842301785001233e-01j)	 (2.389144136052074804e-02-4.619728982847336879e-02j)	 (-5.131356694224151888e-02+3.429180670685750415e-02j)	 (7.623233330782248907e-03-1.748212169476591471e-02j)	 (-1.228054372091372075e-02+1.272249200130385303e-02j)	 (1.292241112211423362e-02+4.234860448405225290e-03j)	 (-1.674456711041620496e-03-6.287341274023444671e-04j)	 (-2.230509583763591319e-01+3.335577924893841639e-01j)	 (-2.963410457700746056e-02+3.984236791236726166e-02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.105868621750671446e+04+1.113058261996469128e+03j)	 (-2.687978802422396257e+03-1.301419095621189399e+02j)	 (-6.566748669922430054e+03+9.968539928940888331e+02j)	 (-7.655161035699160266e+01-3.419596181321709505e+00j)	 (1.385510889544884883e+01-3.029278022853723940e+00j)	 (-1.956107566357762340e-01-3.702937183603302040e-01j)	 (4.648400897087955064e-02+1.702634265528596980e-01j)	 (2.118647372721887967e-02-4.404612732752149346e-02j)	 (-4.902191183190313800e-02+3.294602633177040607e-02j)	 (6.569872477747951481e-03-1.746203378910544599e-02j)	 (-1.107418801535407608e-02+1.215301965441192324e-02j)	 (1.214928911165269985e-02+4.003287030576303113e-03j)	 (-1.249633967128273293e-03-5.550158473090266095e-04j)	 (-2.474109818186537857e-01+3.653134203609254560e-01j)	 (-3.280627887673676080e-02+4.423452208062788465e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.175361433881031917e+04+1.221975707578612855e+03j)	 (-2.609474411801766109e+03-1.249742177279886732e+02j)	 (1.877829204666729856e+04+1.491330878542962409e+03j)	 (-7.299164201130385266e+01-3.272786614964696028e+00j)	 (1.409146915280446244e+01-2.859427032355285281e+00j)	 (-2.186346394210232635e-01-3.674837864266588539e-01j)	 (4.971008147233137858e-02+1.637524438384860836e-01j)	 (1.887436429957032105e-02-4.194362776234793894e-02j)	 (-4.701929781274051534e-02+3.154832753767887465e-02j)	 (5.571061961940343768e-03-1.738170962385646515e-02j)	 (-1.009628705956183703e-02+1.157351504673725245e-02j)	 (1.145984780811063267e-02+3.862452175405648065e-03j)	 (-8.843262790591576751e-04-4.936922249313694310e-04j)	 (-2.738092023217875148e-01+3.987473964311438746e-01j)	 (-3.595530803719237944e-02+4.887527680206733838e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.251550310037914096e+04+1.345223865278761423e+03j)	 (-2.534426779863991669e+03-1.200603607667140693e+02j)	 (4.031510568022547886e+03-2.383193480951211427e+02j)	 (-6.964875033609278887e+01-3.144572922436324358e+00j)	 (1.435707681829613058e+01-2.706358154776525193e+00j)	 (-2.410098551305786263e-01-3.629755128013324450e-01j)	 (5.187657832194683682e-02+1.570185232034185530e-01j)	 (1.688852112296395855e-02-3.991705062967676465e-02j)	 (-4.527366777060989889e-02+3.013150396949268797e-02j)	 (4.627016398025433214e-03-1.725705318019716758e-02j)	 (-9.284084521995399769e-03+1.100128791353408193e-02j)	 (1.084768808254305862e-02+3.778999867403964093e-03j)	 (-5.684414114145867935e-04-4.418073306564776828e-04j)	 (-3.025278413867605876e-01+4.342471270745998368e-01j)	 (-3.920543841017890691e-02+5.386593418967380170e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.335417023398510537e+04+1.485685299127096641e+03j)	 (-2.462544249740850773e+03-1.154047847199828709e+02j)	 (2.287762210422923090e+03-1.785658834050865948e+02j)	 (-6.650215414469022335e+01-3.033299633306354437e+00j)	 (1.465577007069290794e+01-2.567627927923802122e+00j)	 (-2.625984672836109701e-01-3.569875111817610858e-01j)	 (5.299962142800800080e-02+1.500497358037745643e-01j)	 (1.517372091134667859e-02-3.797938175476727601e-02j)	 (-4.375844361741443311e-02+2.871652434232883563e-02j)	 (3.731613809097953944e-03-1.709849909179784327e-02j)	 (-8.597163897401380317e-03+1.044009715290825958e-02j)	 (1.030931594532283856e-02+3.734717937841269299e-03j)	 (-2.942817095317363401e-04-3.974619191458282370e-04j)	 (-3.338933752036351010e-01+4.722726374982867403e-01j)	 (-4.268460158745366467e-02+5.935170961373746612e-02j)
