f	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15
 (1.200000000000000000e+02+0.000000000000000000e+00j)	 (-2.467535162715363185e+03-1.226887517921070270e+02j)	 (-4.143583186680555173e+02-9.003184993701559335e+00j)	 (-6.637767301607402715e+01-5.402950091353154960e+00j)	 (1.956584062823405024e+00-2.455956604617030248e+00j)	 (-6.669263978074931210e+00-1.405067050013750762e+00j)	 (2.108645140841159726e+00+1.304725781265825724e+00j)	 (-3.001526569117102805e-01+1.917427367284048056e-01j)	 (1.257659723614855049e-02+2.055327087113867704e-02j)	 (-6.759013360376987800e-02+2.259148785190443799e-03j)	 (-2.034358602775605124e-02+7.218144142413679930e-03j)	 (6.172797919968858087e-04-1.110361695669567474e-04j)	 (5.106557679873666329e-03+1.996558672355003367e-05j)	 (-7.427240133699008345e-03+1.978576781695887826e-03j)	 (4.600670558450104863e+00-3.831060400365517538e+00j)	 (6.174475396327762100e-01-4.695127473498479920e-01j)
 (1.210000000000000000e+02+0.000000000000000000e+00j)	 (-2.398605636094842339e+03-1.176337344951874826e+02j)	 (-4.094748134226315415e+02-8.863390910233867714e+00j)	 (-6.347341713905253613e+01-5.210660594464719964e+00j)	 (2.035404371706204696e+00-2.367395031010273598e+00j)	 (-6.445829187654677384e+00-1.360271315315828788e+00j)	 (2.169643610972475045e+00+1.217200777271482570e+00j)	 (-3.068465046138282859e-01+1.977869572725485248e-01j)	 (1.281989419298533613e-02+2.068486201364722402e-02j)	 (-6.768315445136161013e-02+2.683058877226935941e-03j)	 (-2.035355257045428842e-02+7.426386504863377765e-03j)	 (6.657161774175637207e-04-1.214926438262671965e-04j)	 (5.070919113503064707e-03-2.702031824968718842e-05j)	 (-7.504870088412296004e-03+2.009221357756562493e-03j)	 (4.513983622563216613e+00-3.797699636145674518e+00j)	 (6.058329795403465390e-01-4.622053847171980201e-01j)
 (1.220000000000000000e+02+0.000000000000000000e+00j)	 (-2.332485967426148818e+03-1.129353121932614386e+02j)	 (-4.046739194316583053e+02-8.733087086733045012e+00j)	 (-6.072813208212016178e+01-5.035150391708875794e+00j)	 (2.113709708750247440e+00-2.273091195589188818e+00j)	 (-6.234444900707578618e+00-1.319140996816019040e+00j)	 (2.228981389683104997e+00+1.123632140417249348e+00j)	 (-3.136891354399410359e-01+2.040615548429403625e-01j)	 (1.306288423660730523e-02+2.080742350372174684e-02j)	 (-6.776212317563097554e-02+3.094581726529918586e-03j)	 (-2.035733145379871323e-02+7.633934634927832738e-03j)	 (7.143626154430587818e-04-1.362180674740274394e-04j)	 (5.034190053256172061e-03-7.030268467754821041e-05j)	 (-7.581554912798222322e-03+2.040473791472744661e-03j)	 (4.431999400421998025e+00-3.766822251201713101e+00j)	 (5.948780440864605001e-01-4.552133602945983015e-01j)
 (1.230000000000000000e+02+0.000000000000000000e+00j)	 (-2.269116036311876542e+03-1.084554160585659304e+02j)	 (-3.999603519514549248e+02-8.603338287525945205e+00j)	 (-5.813364409163921209e+01-4.870396210891660083e+00j)	 (2.190943261775568640e+00-2.171726538302484855e+00j)	 (-6.034303435387458059e+00-1.281048621782237662e+00j)	 (2.286746112488605487e+00+1.023547907383108635e+00j)	 (-3.206788713422927262e-01+2.105708567942650156e-01j)	 (1.330507793572626406e-02+2.092073368236525149e-02j)	 (-6.782810494803544199e-02+3.491781099377820868e-03j)	 (-2.035714244007090501e-02+7.839908894023495459e-03j)	 (7.629513385178944822e-04-1.554737214624363900e-04j)	 (4.996413981394115175e-03-1.101326993046907148e-04j)	 (-7.657326669016626709e-03+2.072399958443195411e-03j)	 (4.354455693623550339e+00-3.738445843987406647e+00j)	 (5.845684368942067888e-01-4.485410795466903688e-01j)
 (1.250000000000000000e+02+0.000000000000000000e+00j)	 (-2.149823810131370010e+03-1.001516579869682744e+02j)	 (-3.907704841706553793e+02-8.350333586056681412e+00j)	 (-5.334325463780446341e+01-4.572578321512247967e+00j)	 (2.343996755697727696e+00-1.941772213129785651e+00j)	 (-5.664176607285019038e+00-1.212994813041124109e+00j)	 (2.397124178412425977e+00+7.974655037539031266e-01j)	 (-3.351284465469166474e-01+2.243760996919424988e-01j)	 (1.378540195951417219e-02+2.111779768407687566e-02j)	 (-6.793076592998845142e-02+4.239319004229850051e-03j)	 (-2.034354923262869305e-02+8.248943994439246127e-03j)	 (8.586245711832623606e-04-2.085750850981055789e-04j)	 (4.919608271944432044e-03-1.784531744515322339e-04j)	 (-7.805552662870422938e-03+2.138648762731249191e-03j)	 (4.211391586246939767e+00-3.689092193697710798e+00j)	 (5.656016978803718454e-01-4.360875895072499620e-01j)
 (1.260000000000000000e+02+0.000000000000000000e+00j)	 (-2.093627940254105852e+03-9.631197717092423716e+01j)	 (-3.862893720786111658e+02-8.227995389459618281e+00j)	 (-5.112824606944203509e+01-4.438272276217094969e+00j)	 (2.420525182134122044e+00-1.808478787858183834e+00j)	 (-5.492738991939001281e+00-1.182482739869687771e+00j)	 (2.448983347207484673e+00+6.667807504285570008e-01j)	 (-3.425873270394575454e-01+2.316913578505057358e-01j)	 (1.402188986070233324e-02+2.120178250973596065e-02j)	 (-6.797077949800935104e-02+4.587427286680010284e-03j)	 (-2.033017319614267501e-02+8.451146554561691365e-03j)	 (9.049275453256386270e-04-2.428163507887704279e-04j)	 (4.881447345966591009e-03-2.071035968978112199e-04j)	 (-7.878355494951690824e-03+2.172783982914707705e-03j)	 (4.145391285354869559e+00-3.668065016749027407e+00j)	 (5.568517093256711847e-01-4.302724796100064197e-01j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)	 (-2.039645004895807460e+03-9.266058438120290930e+01j)	 (-3.818876280618429178e+02-8.107953077969673572e+00j)	 (-4.902455659485683270e+01-4.312903384529180428e+00j)	 (2.497639111832230530e+00-1.658083403861655869e+00j)	 (-5.329676756821041472e+00-1.154002312548099596e+00j)	 (2.497547040352557257e+00+5.194891326914580221e-01j)	 (-3.502167664586096629e-01+2.393087146449871527e-01j)	 (1.425552133315641581e-02+2.127567224177556379e-02j)	 (-6.800666202434801910e-02+4.917317978633546638e-03j)	 (-2.031278742479581192e-02+8.652101304784696328e-03j)	 (9.495722149593959676e-04-2.824657510464940124e-04j)	 (4.843892080192637936e-03-2.320945558281038029e-04j)	 (-7.950047248749800288e-03+2.207724423103279293e-03j)	 (4.082946505444135177e+00-3.649273786451771251e+00j)	 (5.485404580237647210e-01-4.247127778433761325e-01j)
 (1.280000000000000000e+02+0.000000000000000000e+00j)	 (-1.987733531640505817e+03-8.920234630563138012e+01j)	 (-3.775612417372245773e+02-7.991647377683993803e+00j)	 (-4.702348488879097488e+01-4.195842311561332139e+00j)	 (2.577287236903321510e+00-1.482745063730515289e+00j)	 (-5.174379699245866604e+00-1.127359379478949819e+00j)	 (2.540906001170662343e+00+3.475567035274032546e-01j)	 (-3.580097594049014287e-01+2.472445195417005415e-01j)	 (1.448518281101101798e-02+2.133967634820597287e-02j)	 (-6.804068760043599506e-02+5.228600753558057881e-03j)	 (-2.029062375905521173e-02+8.850463824514417932e-03j)	 (9.920510195185038710e-04-3.276131135944958250e-04j)	 (4.807678730319690265e-03-2.537232857717959533e-04j)	 (-8.021004118383089770e-03+2.243352818848933210e-03j)	 (4.023916226266412544e+00-3.632611386824835975e+00j)	 (5.406242454546550391e-01-4.193727766320822226e-01j)
 (1.290000000000000000e+02+0.000000000000000000e+00j)	 (-1.937737940629760260e+03-8.592990278921168112e+01j)	 (-3.733041563544356904e+02-7.879554461336898186e+00j)	 (-4.511702445149231977e+01-4.087099748395508492e+00j)	 (2.665853404618204525e+00-1.265091650145890201e+00j)	 (-5.026259712215914277e+00-1.102415868702233182e+00j)	 (2.572975095930562617e+00+1.334172924125962834e-01j)	 (-3.659760285544187974e-01+2.555163396666494391e-01j)	 (1.471011934502096559e-02+2.139402175026609149e-02j)	 (-6.807588914734336027e-02+5.521160362007130652e-03j)	 (-2.026357380166891528e-02+9.047549270858245771e-03j)	 (1.031794080111525860e-03-3.783539284711806908e-04j)	 (4.773120132390779383e-03-2.719118080896488045e-04j)	 (-8.091023281988320853e-03+2.279654344565721757e-03j)	 (3.968103863505197282e+00-3.617925340176308957e+00j)	 (5.330458503843831242e-01-4.142546960505578135e-01j)
 (1.310000000000000000e+02+0.000000000000000000e+00j)	 (-1.843262792649003359e+03-7.977194878490257679e+01j)	 (-3.650039813078954580e+02-7.655950639941583979e+00j)	 (-4.156663466017470654e+01-3.887598039857287802e+00j)	 (3.219309628909280629e+00-6.875667488645306191e-01j)	 (-4.749888658121968810e+00-1.056730906868134534e+00j)	 (2.252715191751669455e+00-4.361773274458462524e-01j)	 (-3.824202966625750988e-01+2.731178243082509338e-01j)	 (1.514254891314469574e-02+2.147382293262526873e-02j)	 (-6.816172048233384850e-02+6.051795632110929142e-03j)	 (-2.020132461282920719e-02+9.435261498861261670e-03j)	 (1.100547757063478427e-03-4.967154853494602784e-04j)	 (4.709406761291175247e-03-3.003631290198589755e-04j)	 (-8.228234806555422345e-03+2.355174983612709320e-03j)	 (3.865842934000308873e+00-3.593827219796704497e+00j)	 (5.189130149939624737e-01-4.046486674494559344e-01j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)	 (-1.798569864351773731e+03-7.694041400710186451e+01j)	 (-3.609548311551090478e+02-7.550781311483783398e+00j)	 (-3.991053528623016433e+01-3.798390825977230545e+00j)	 (3.554190084213823209e+00-6.573076626426620495e-01j)	 (-4.620803039774933119e+00-1.035833827328559220e+00j)	 (2.030703913740693700e+00-4.629161226116900729e-01j)	 (-3.909031654381776577e-01+2.824987936874660543e-01j)	 (1.534822858397749852e-02+2.150032921060262767e-02j)	 (-6.821825200696794711e-02+6.292229893242125977e-03j)	 (-2.016386962646905812e-02+9.625760460381403705e-03j)	 (1.128169257900535393e-03-5.641701100832942741e-04j)	 (4.681344075287293370e-03-3.110977391566119819e-04j)	 (-8.295455373011314734e-03+2.394094260813541594e-03j)	 (3.818925597140881312e+00-3.583931484245678867e+00j)	 (5.122621407795961979e-01-4.001021438138590014e-01j)
 (1.330000000000000000e+02+0.000000000000000000e+00j)	 (-1.755508008801378764e+03-7.422299520078212254e+01j)	 (-3.569749265777234086e+02-7.446223607161443603e+00j)	 (-3.832909832017016782e+01-3.714434444378647004e+00j)	 (3.812708414803470891e+00-6.480625252280015625e-01j)	 (-4.497318385151327647e+00-1.015983565735506078e+00j)	 (1.882366694184278488e+00-4.687538661167802156e-01j)	 (-3.995574344293202906e-01+2.922836013086364537e-01j)	 (1.554595489123502920e-02+2.151850538401304386e-02j)	 (-6.828794769132703890e-02+6.518008558320959392e-03j)	 (-2.012430377296088244e-02+9.813016182339231314e-03j)	 (1.150354137854543669e-03-6.369011131717179208e-04j)	 (4.655737496055903889e-03-3.204209335794003894e-04j)	 (-8.361874232332918572e-03+2.434204162392980715e-03j)	 (3.774597310167607134e+00-3.575269392133134438e+00j)	 (5.058962405619461533e-01-3.957107843182622320e-01j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)	 (-1.713955765446473379e+03-7.161708593031661962e+01j)	 (-3.530586614609759408e+02-7.342706243214352391e+00j)	 (-3.681582523964191012e+01-3.635244857333225443e+00j)	 (4.034654539198931467e+00-6.438481658191160806e-01j)	 (-4.379032719571742227e+00-9.971045091886172607e-01j)	 (1.768430577039405094e+00-4.697940342209444564e-01j)	 (-4.083949171124397481e-01+3.024927600704660491e-01j)	 (1.573487074204905564e-02+2.152934857361229679e-02j)	 (-6.837359195035049020e-02+6.731520199132806116e-03j)	 (-2.008254464969761593e-02+9.998469667696009006e-03j)	 (1.166312038034988648e-03-7.146284793874493630e-04j)	 (4.632575078415444164e-03-3.283872214729273713e-04j)	 (-8.427254730000487484e-03+2.475481550774007427e-03j)	 (3.732530225666935042e+00-3.567755806893788240e+00j)	 (4.997757530264538839e-01-3.914807533006362528e-01j)
 (1.360000000000000000e+02+0.000000000000000000e+00j)	 (-1.635104178478321046e+03-6.676103463087540035e+01j)	 (-3.454118917076128241e+02-7.143033051520575327e+00j)	 (-3.397818483063154105e+01-3.492488098639089600e+00j)	 (4.416774821470720980e+00-6.409951864497649421e-01j)	 (-4.156851704800998526e+00-9.619477378989248484e-01j)	 (1.596173528521438456e+00-4.677141360303915252e-01j)	 (-4.265982617408723976e-01+3.243013818031920681e-01j)	 (1.608342039734849890e-02+2.153204908542229179e-02j)	 (-6.860226591650768480e-02+7.135710956391132925e-03j)	 (-1.999098199477023635e-02+1.036132878192269624e-02j)	 (1.176271747894640533e-03-8.832777639030531388e-04j)	 (4.594610340116868537e-03-3.424687620249554127e-04j)	 (-8.554895385436073543e-03+2.561292271030179805e-03j)	 (3.654284055193788294e+00-3.555746674215157554e+00j)	 (4.882026833917200159e-01-3.833705794293189029e-01j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)	 (-1.597707757454735656e+03-6.448901259902042682e+01j)	 (-3.416819559911684792e+02-7.045677702451285107e+00j)	 (-3.264751593391229534e+01-3.428021167771925892e+00j)	 (4.587320032015688831e+00-6.408270521749240833e-01j)	 (-4.052433345850809943e+00-9.454748118679019431e-01j)	 (1.527538514265905256e+00-4.659952407860077361e-01j)	 (-4.359769760797869154e-01+3.359474288272667475e-01j)	 (1.624240919802886693e-02+2.152607536705420863e-02j)	 (-6.874874550407475415e-02+7.333717547223632741e-03j)	 (-1.994235596026883856e-02+1.053951149858577477e-02j)	 (1.168598967535431623e-03-9.729658177559164824e-04j)	 (4.579434648440660824e-03-3.492115899012513693e-04j)	 (-8.616824107385769038e-03+2.606060386631194829e-03j)	 (3.617674170570700731e+00-3.551140221230920879e+00j)	 (4.827371894236003325e-01-3.794785326219708432e-01j)
 (1.380000000000000000e+02+0.000000000000000000e+00j)	 (-1.561581822132356820e+03-6.232670410028233476e+01j)	 (-3.380125554496481186e+02-6.951212304553501475e+00j)	 (-3.137102689115631904e+01-3.367988126993062714e+00j)	 (4.747970870151344336e+00-6.412405288156839411e-01j)	 (-3.952110729815077050e+00-9.296486688171206048e-01j)	 (1.466889792647351420e+00-4.641820395144081735e-01j)	 (-4.455378215757928584e-01+3.481276066719488638e-01j)	 (1.639073658857842508e-02+2.151686951597228670e-02j)	 (-6.891754883772148454e-02+7.534856679502797278e-03j)	 (-1.989127273664384118e-02+1.071464622928881665e-02j)	 (1.151468159243654614e-03-1.064992436500415522e-03j)	 (4.566941121431671718e-03-3.564351449732503624e-04j)	 (-8.677634306830862843e-03+2.651918252025268780e-03j)	 (3.582469635194350133e+00-3.547408438361502547e+00j)	 (4.774674189275390779e-01-3.756574052111043005e-01j)
 (1.390000000000000000e+02+0.000000000000000000e+00j)	 (-1.526634606934998828e+03-6.027171006041719181e+01j)	 (-3.343987635847204274e+02-6.860001459776925437e+00j)	 (-3.014496336871934901e+01-3.312525985802359241e+00j)	 (4.900752499199839463e+00-6.422600214890668013e-01j)	 (-3.855589161934493969e+00-9.144429863849372619e-01j)	 (1.412581327281130728e+00-4.622777808723347315e-01j)	 (-4.552906306586132490e-01+3.608727840745497017e-01j)	 (1.652847885630046032e-02+2.150574525190763683e-02j)	 (-6.910866990655048503e-02+7.743934452262599827e-03j)	 (-1.983764774980421169e-02+1.088822767012717109e-02j)	 (1.124181843700988552e-03-1.158203359599956593e-03j)	 (4.556989603388591700e-03-3.641913934917505595e-04j)	 (-8.736936048587034404e-03+2.698862182838432551e-03j)	 (3.548421842113349989e+00-3.544574921058834427e+00j)	 (4.723681619389150654e-01-3.719147407311955145e-01j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)	 (-1.460171014064545489e+03-5.637726258349461261e+01j)	 (-3.273435825632876117e+02-6.677431173876780868e+00j)	 (-2.783511842438813844e+01-3.211676073965921141e+00j)	 (5.186737718783350992e+00-6.445358963385225959e-01j)	 (-3.673144093704864055e+00-8.855216095848609248e-01j)	 (1.318422410035056780e+00-4.586770695872312009e-01j)	 (-4.753586044350626150e-01+3.881716322957423082e-01j)	 (1.677329679699781848e-02+2.148168368252138111e-02j)	 (-6.955218066191774795e-02+8.204912331335967313e-03j)	 (-1.972877208382304431e-02+1.122942800744074036e-02j)	 (1.037285356608942883e-03-1.342726323422094694e-03j)	 (4.542689583543852057e-03-3.835378333666369672e-04j)	 (-8.850816976559134838e-03+2.796790715450154802e-03j)	 (3.483534111771018793e+00-3.541674530144162336e+00j)	 (4.628024106674746285e-01-3.646435990124052839e-01j)
 (1.420000000000000000e+02+0.000000000000000000e+00j)	 (-1.428532003111296490e+03-5.457900084282893971e+01j)	 (-3.238972857440564326e+02-6.591326051049270163e+00j)	 (-2.674557231566862470e+01-3.167493910979716443e+00j)	 (5.321650623617013132e+00-6.462200054112696712e-01j)	 (-3.586803315219980970e+00-8.718173777858911899e-01j)	 (1.277142615062635933e+00-4.569618418534714399e-01j)	 (-4.856768806711910802e-01+4.028167730225839516e-01j)	 (1.688136972195761198e-02+2.147110605136341374e-02j)	 (-6.979885861443092809e-02+8.465917305457173331e-03j)	 (-1.967127016646730980e-02+1.139749624127984508e-02j)	 (9.775268998680709462e-04-1.430678244836473476e-03j)	 (4.538348047696104219e-03-3.957181229781915220e-04j)	 (-8.905094374650838682e-03+2.847191206102168103e-03j)	 (3.452340916695307627e+00-3.541509018384068508e+00j)	 (4.582905489854597336e-01-3.610808363444569236e-01j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)	 (-1.397925183304166922e+03-5.284767188203068855e+01j)	 (-3.205069715535555588e+02-6.505546934668386960e+00j)	 (-2.569770491538154644e+01-3.126543387492860759e+00j)	 (5.451740015533123263e+00-6.478465347036000965e-01j)	 (-3.503483881452349902e+00-8.585230314948032460e-01j)	 (1.238938724776659894e+00-4.553810386194759308e-01j)	 (-4.961761886393309395e-01+4.181710338311399600e-01j)	 (1.698104848262754069e-02+2.146250456277685320e-02j)	 (-7.005718636565179402e-02+8.752005418591226119e-03j)	 (-1.961350987083479089e-02+1.156336774078290178e-02j)	 (9.073913306075571863e-04-1.513539351567038446e-03j)	 (4.534995260410281878e-03-4.101648028978625870e-04j)	 (-8.957701836525031741e-03+2.898825899867567019e-03j)	 (3.421930784809045001e+00-3.542195260151690839e+00j)	 (4.539982917291821019e-01-3.575639243556972269e-01j)
 (1.440000000000000000e+02+0.000000000000000000e+00j)	 (-1.368276791600410888e+03-5.118253978334176679e+01j)	 (-3.171680484820201968e+02-6.420410591336964679e+00j)	 (-2.468816845988988717e+01-3.088627147866126244e+00j)	 (5.577789658034481235e+00-6.494868259697884616e-01j)	 (-3.422976548194758717e+00-8.456456819779086809e-01j)	 (1.203376240106536876e+00-4.538520875502812801e-01j)	 (-5.068642716200219001e-01+4.342810880896914028e-01j)	 (1.707317493226039387e-02+2.145674889593953902e-02j)	 (-7.032220444952534677e-02+9.065848451088565421e-03j)	 (-1.955517329961142109e-02+1.172863489364366942e-02j)	 (8.276921629320710362e-04-1.589587092857479029e-03j)	 (4.532192364813573439e-03-4.267372298150389105e-04j)	 (-9.008274306644718440e-03+2.951574181684904312e-03j)	 (3.392139884599250976e+00-3.543758255570172100e+00j)	 (4.499094469654265072e-01-3.541169352047641716e-01j)
 (1.460000000000000000e+02+0.000000000000000000e+00j)	 (-1.311700208658760403e+03-4.807007941595038858e+01j)	 (-3.106402284237810818e+02-6.255626719662322088e+00j)	 (-2.277671713103180906e+01-3.023120947222714516e+00j)	 (5.819047538790305119e+00-6.530142512947352262e-01j)	 (-3.269800030476153641e+00-8.211610595050158334e-01j)	 (1.138888709935292010e+00-4.510659184058266047e-01j)	 (-5.287423912721759267e-01+4.690094255008135371e-01j)	 (1.723817901372388939e-02+2.145458223018819818e-02j)	 (-7.084965882403378157e-02+9.783250813331744247e-03j)	 (-1.943405573557837815e-02+1.205580440011872270e-02j)	 (6.450743074665312229e-04-1.715706962187612140e-03j)	 (4.526883127270921008e-03-4.672770951852786504e-04j)	 (-9.103145108656250650e-03+3.059230292230856289e-03j)	 (3.334164196932141166e+00-3.549300987211546854e+00j)	 (4.423312127164235052e-01-3.473750586845381627e-01j)
 (1.470000000000000000e+02+0.000000000000000000e+00j)	 (-1.284648935227434322e+03-4.667298953554655583e+01j)	 (-3.074530793741235470e+02-6.174391552325735333e+00j)	 (-2.188722327210789231e+01-2.990033485967293903e+00j)	 (5.935013883953208946e+00-6.541420382232657760e-01j)	 (-3.201437132610352787e+00-8.127578827008863360e-01j)	 (1.109433845972293664e+00-4.486947596930230819e-01j)	 (-5.333187165995206813e-01+4.833716415416455248e-01j)	 (1.715655762060699571e-02+2.146104501083831440e-02j)	 (-7.199784306095212416e-02+1.090430390593693892e-02j)	 (-1.950513580458178992e-02+1.229056293844533153e-02j)	 (5.982151322792568070e-04-1.891513035467551904e-03j)	 (4.633067838270083817e-03-5.329490704592109579e-04j)	 (-9.163836659003610219e-03+3.094987190480215367e-03j)	 (3.313741462472119537e+00-3.556059445250765005e+00j)	 (4.385812131004332426e-01-3.451923831604130632e-01j)
 (1.480000000000000000e+02+0.000000000000000000e+00j)	 (-1.258640253883567311e+03-4.514422187694137278e+01j)	 (-3.043124724103599306e+02-6.097441623293236468e+00j)	 (-2.098408843232004983e+01-2.977451169556140531e+00j)	 (6.046754469786680630e+00-6.569824002988472467e-01j)	 (-3.121485103832109420e+00-7.956300648295020483e-01j)	 (1.081551764035738383e+00-4.496480599066602912e-01j)	 (-5.575676931432886896e-01+5.128287243247479088e-01j)	 (1.756327558744854439e-02+2.145815243142698212e-02j)	 (-7.053662847169354932e-02+9.753026668412503875e-03j)	 (-1.918183163446110506e-02+1.228174158409568208e-02j)	 (4.130598996380697324e-04-1.650710503870645839e-03j)	 (4.413656200745846338e-03-4.575065995375237867e-04j)	 (-9.171016572308137230e-03+3.185551376494543448e-03j)	 (3.270485160995980412e+00-3.554038095688959231e+00j)	 (4.359844517774595918e-01-3.399196195577391943e-01j)
 (1.490000000000000000e+02+0.000000000000000000e+00j)	 (-1.233112615778024974e+03-4.383759960557751612e+01j)	 (-3.012200872626823411e+02-6.021764337910019194e+00j)	 (-2.016476172392047417e+01-2.963142389940227162e+00j)	 (6.156523210474977859e+00-6.580312902345907267e-01j)	 (-3.055910515916437920e+00-7.924834334821367898e-01j)	 (1.054392207948690485e+00-4.470962181982675587e-01j)	 (-5.562575164746488277e-01+5.340510278343988393e-01j)	 (1.743856234914964443e-02+2.127964456288925985e-02j)	 (-7.254178591687197863e-02+1.040372452350652073e-02j)	 (-1.936008123463781039e-02+1.243070565811959030e-02j)	 (5.060138495201004600e-04-1.826550564343020801e-03j)	 (4.588383853825584585e-03-4.456517835260099484e-04j)	 (-9.214044820319578985e-03+3.205809998940084300e-03j)	 (3.255066150195691232e+00-3.556033772711222785e+00j)	 (4.333200045841074655e-01-3.383102150775531003e-01j)
 (1.510000000000000000e+02+0.000000000000000000e+00j)	 (-1.184602027695101697e+03-4.133349618332562159e+01j)	 (-2.951725508166700251e+02-5.869097719962058868e+00j)	 (-1.856702102001240107e+01-2.925860661081644221e+00j)	 (6.368597873749235028e+00-6.612902868301809844e-01j)	 (-2.926581226363148769e+00-7.720107322300485686e-01j)	 (1.005602972487569025e+00-4.445988277750846374e-01j)	 (-5.775149701799299207e-01+5.775501419888979804e-01j)	 (1.753967416191981946e-02+2.126524073595249115e-02j)	 (-7.307364108162815730e-02+1.168498654263049226e-02j)	 (-1.925900345937596458e-02+1.279014054051906719e-02j)	 (3.203427257837699335e-04-1.918304147017373552e-03j)	 (4.600048507161904297e-03-5.269024466830341934e-04j)	 (-9.290603233880596890e-03+3.315936404713570613e-03j)	 (3.202401384449603761e+00-3.569950195512740621e+00j)	 (4.274218509253319143e-01-3.325402856442810640e-01j)
 (1.520000000000000000e+02+0.000000000000000000e+00j)	 (-1.161513884836559100e+03-4.010655107057499436e+01j)	 (-2.922133692566166587e+02-5.798258696691236835e+00j)	 (-1.778279364547205432e+01-2.915869217767688149e+00j)	 (6.471264704270441648e+00-6.636309067879158086e-01j)	 (-2.859817754037113691e+00-7.572128453668515169e-01j)	 (9.827760461416745752e-01-4.447130438452528423e-01j)	 (-6.008411115555055693e-01+6.066186526480659147e-01j)	 (1.789649247644943542e-02+2.145451010951978515e-02j)	 (-7.186790842942236690e-02+1.130187083226846800e-02j)	 (-1.897760198240803359e-02+1.284673871062313837e-02j)	 (1.390537663512034282e-04-1.672129025593486812e-03j)	 (4.418987155612794440e-03-5.108461156067480458e-04j)	 (-9.315073804740878205e-03+3.397346424268892461e-03j)	 (3.164624003918634187e+00-3.576166018847456662e+00j)	 (4.249052226380622410e-01-3.286004113389737746e-01j)
 (1.530000000000000000e+02+0.000000000000000000e+00j)	 (-1.138977413932592754e+03-3.915524932563887717e+01j)	 (-2.893014009785792382e+02-5.724234225897640194e+00j)	 (-1.706609055476790004e+01-2.875833304650405431e+00j)	 (6.571776712326895975e+00-6.645063656317922174e-01j)	 (-2.809091062899393698e+00-7.473640018104431570e-01j)	 (9.623317152334026625e-01-4.426368975302289455e-01j)	 (-6.066802261094116355e-01+6.134817307351145832e-01j)	 (1.741994317252652108e-02+2.161298432131558700e-02j)	 (-7.211090267229845752e-02+1.425715821207343935e-02j)	 (-1.897124254555499975e-02+1.336478293440966116e-02j)	 (-1.868226069571826827e-04-2.030012534135593703e-03j)	 (4.502332043837977901e-03-7.952485144241505481e-04j)	 (-9.384045156989172243e-03+3.437536400795038367e-03j)	 (3.147251869365759180e+00-3.597709515322488727e+00j)	 (4.211062100748225179e-01-3.267419604252327359e-01j)
 (1.550000000000000000e+02+0.000000000000000000e+00j)	 (-1.095871700773728207e+03-3.692022400004545091e+01j)	 (-2.836025696504588609e+02-5.584666354346253136e+00j)	 (-1.565652931928177516e+01-2.880422621468410771e+00j)	 (6.765943079136153671e+00-6.678098651927276697e-01j)	 (-2.688610546113723743e+00-7.303655738951750909e-01j)	 (9.202799392930479661e-01-4.408754295261495537e-01j)	 (-6.320611747545901160e-01+6.791238247970305952e-01j)	 (1.780192038192097981e-02+2.156855318848669573e-02j)	 (-7.225537259053002592e-02+1.401053126765092541e-02j)	 (-1.878651982876665058e-02+1.348970938505285148e-02j)	 (-2.272890730554752014e-04-1.829733476452664485e-03j)	 (4.422652314773035769e-03-7.188362223761370767e-04j)	 (-9.421468342439632757e-03+3.551336996673877099e-03j)	 (3.091036744947541770e+00-3.607817651243800494e+00j)	 (4.173619850323699310e-01-3.213341816201082390e-01j)
 (1.560000000000000000e+02+0.000000000000000000e+00j)	 (-1.075209129338524917e+03-3.590652337848769093e+01j)	 (-2.808130349706353286e+02-5.516013183538316156e+00j)	 (-1.498899461894262330e+01-2.879248620708859896e+00j)	 (6.860390047582145989e+00-6.692803714228834355e-01j)	 (-2.633305396702465551e+00-7.220942787855083589e-01j)	 (9.007577699682237649e-01-4.397358710247613045e-01j)	 (-6.433761332264357202e-01+7.095174399518224817e-01j)	 (1.785096144715108551e-02+2.158699461796746710e-02j)	 (-7.227806579541980192e-02+1.449120017655995511e-02j)	 (-1.870177852955218559e-02+1.364145111394271699e-02j)	 (-3.074122141080717842e-04-1.814546981249230738e-03j)	 (4.400035017501131678e-03-7.457099238933374841e-04j)	 (-9.447394905336544899e-03+3.603852337207605425e-03j)	 (3.065243184040811197e+00-3.617283237791860451e+00j)	 (4.153209230335206947e-01-3.189813683801480670e-01j)
