Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.536112895158100650e-12-2.734390337138286012e-12j)	 (3.292628748476476253e-12-4.694663143847382855e-12j)	 (-1.568644027836313230e-03+2.438895616632864947e-03j)	 (9.211041447991584474e-03-6.735979711677692050e-03j)	 (-6.350385174791752202e-06+9.557603238114864311e-06j)	 (3.901049809415406465e-05-2.451783856374374526e-05j)	 (3.404545901155871523e-01+7.665934980210135398e-03j)	 (-5.870848221763288069e-10-1.399387020896220027e-09j)	 (-1.546347613836409546e-09-1.845659075641854031e-09j)	 (3.215916194574302001e-01+3.317570828983402043e-03j)	 (-1.422318330759980275e-03+2.279873483256242284e-03j)	 (9.137096825372920117e-03-6.558917854806589273e-03j)	 (3.140456562053380307e-01+2.139870767697626269e-03j)	 (-8.843302662413602419e-04+1.575749355529490817e-03j)	 (9.402630582802050038e-03-6.108033978024697379e-03j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (6.092256610690680257e-11-4.143816199928928378e-11j)	 (5.808923547243113446e-11-8.199135226119189716e-13j)	 (-2.143096585181428638e-03+9.667757730303053621e-04j)	 (7.222541079060220900e-03-5.647263455835042911e-03j)	 (-8.106866451659218428e-06+4.354828900408934397e-06j)	 (3.185792161235768125e-05-2.072612384590434114e-05j)	 (3.448307857314663050e-01+1.798944731578157666e-02j)	 (-1.244679169952404887e-08-3.126042115363245410e-10j)	 (-1.313516776685780145e-08+8.878843963308979062e-09j)	 (3.235541845163582564e-01+8.001835284563537558e-04j)	 (-1.979460547764566938e-03+8.868799951156505030e-04j)	 (7.191460256469907157e-03-5.528686492501844532e-03j)	 (3.147611408355645568e-01-5.125546743421229012e-03j)	 (-1.268112132397714812e-03+6.535789058458510567e-04j)	 (7.806831254211442014e-03-4.979006055507803445e-03j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.970794345611392708e-10-1.996010057054219458e-10j)	 (4.186938143846559116e-10-4.506231457777381436e-11j)	 (-2.325904383079527467e-03+4.256391788394189770e-04j)	 (6.287965349928575226e-03-5.651651128422198814e-03j)	 (-8.684005703557142096e-06+2.588221148820305358e-06j)	 (2.846517165298896845e-05-2.093891939824935107e-05j)	 (3.492096238652191431e-01+2.601207108141263130e-02j)	 (-3.659317187530069367e-08+3.420681118299193829e-08j)	 (1.332949584037225114e-08+6.957121311641671101e-08j)	 (3.238582290866112712e-01-9.214093259266189053e-04j)	 (-2.152989845126347928e-03+3.663003447797293565e-04j)	 (6.271863269921611889e-03-5.556366024685276475e-03j)	 (3.131619533860545146e-01-1.003048244023685594e-02j)	 (-1.390926504873082154e-03+3.201511131540198097e-04j)	 (7.060427257297157734e-03-4.946005634026400671e-03j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.866262815573796862e-10-5.878624770612652627e-10j)	 (1.361383512561525270e-09-5.191583635212058437e-10j)	 (-2.410109842422311285e-03+9.197415997723833582e-05j)	 (5.649581614785880931e-03-5.995754843969459263e-03j)	 (-9.020815296708488529e-06+1.612223461309472250e-06j)	 (2.611736235388746621e-05-2.235228921839561004e-05j)	 (3.541129763287415022e-01+3.271359667254866710e-02j)	 (-4.374650532150235890e-08+1.277533904263335243e-07j)	 (1.769336983724103480e-07+1.454828811511864326e-07j)	 (3.235501879459258823e-01-2.172242978222454438e-03j)	 (-2.231434563899864325e-03+3.808498719388530955e-05j)	 (5.638098722848525202e-03-5.910163905883209119e-03j)	 (3.105761646053016301e-01-1.363544788940619298e-02j)	 (-1.458318921232710022e-03+1.212900561316094373e-04j)	 (6.555622627691653527e-03-5.230868321863722803e-03j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.564436299509446749e-10-1.118165413336367552e-09j)	 (2.920789591459198957e-09-1.947305895696688305e-09j)	 (-2.458470749595618142e-03-2.150615770534571351e-04j)	 (5.069747567439098629e-03-6.591980830468422217e-03j)	 (-9.302880588379204582e-06+8.439735630589454600e-07j)	 (2.398355501135330652e-05-2.466206426856785611e-05j)	 (3.591236819778700351e-01+3.861317668140185067e-02j)	 (-4.936489935539156241e-08+3.198142759157194305e-07j)	 (5.342543607753881970e-07+1.389503010256284279e-07j)	 (3.230091232775825771e-01-2.981644820537518881e-03j)	 (-2.275501853240558155e-03-2.686155954055021258e-04j)	 (5.059320143135834745e-03-6.507145293185596230e-03j)	 (3.078561775215627461e-01-1.623815988823845008e-02j)	 (-1.508013761930289149e-03-4.826176170465370797e-05j)	 (6.108767036058613750e-03-5.738944523208376093e-03j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.425010435940044504e-10-1.396873021522656046e-09j)	 (4.953102252513474402e-09-4.612932232520851860e-09j)	 (-2.580578029437416085e-03-6.058944894555648875e-04j)	 (4.492191642193766460e-03-7.504970800543837514e-03j)	 (-9.932534843832392467e-06-3.358140207212689744e-08j)	 (2.183034095025439419e-05-2.807610023168498209e-05j)	 (3.638894702618624133e-01+4.397692630552140630e-02j)	 (-1.032269683936548348e-07+6.825602518304870613e-07j)	 (1.086282244185438221e-06-2.980434130251769757e-08j)	 (3.226191439972935227e-01-3.157036603344890759e-03j)	 (-2.388156778002358937e-03-6.612131723962343458e-04j)	 (4.481194961803144049e-03-7.409476437557760767e-03j)	 (3.053975246158032730e-01-1.784345005848280569e-02j)	 (-1.611953492274311329e-03-2.550386746835864716e-04j)	 (5.688277248774601010e-03-6.512383133528230200e-03j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.589653821631861235e-10-5.072331173876532557e-10j)	 (6.984135742429110460e-09-8.819501737850360962e-09j)	 (-2.776097728862378378e-03-1.164102608619691946e-03j)	 (3.853601734347959946e-03-8.537094091824610695e-03j)	 (-1.086978489449403465e-05-1.338520956860512813e-06j)	 (1.938156331688189977e-05-3.186625398947657547e-05j)	 (3.692125160469804102e-01+4.759630629056343237e-02j)	 (2.038475743826408373e-08+1.414054417422242822e-06j)	 (1.788613284645988646e-06-4.438129491374554532e-07j)	 (3.221339654564102095e-01-2.547121254212934404e-03j)	 (-2.568576131330403949e-03-1.220085287021272294e-03j)	 (3.839328275993820604e-03-8.422483353200260411e-03j)	 (3.028242451938695234e-01-1.773951201380212506e-02j)	 (-1.759569894262616755e-03-5.591663957116616186e-04j)	 (5.230259945218352496e-03-7.374497425957940618e-03j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.843686099343450854e-10+2.983746486879495920e-09j)	 (9.618046487029265793e-09-1.462336917360216018e-08j)	 (-3.230679631082194071e-03-1.840118161124772774e-03j)	 (2.853226029563829622e-03-1.000490976987133268e-02j)	 (-1.270734727844151683e-05-2.655316384618409803e-06j)	 (1.561589505252237550e-05-3.708426886491271413e-05j)	 (3.738288815333543069e-01+5.207533285083766617e-02j)	 (2.764882094514591089e-07+2.851523379237206847e-06j)	 (2.720646634519965805e-06-1.104906389878185750e-06j)	 (3.225944259111149792e-01-1.464199026734187359e-03j)	 (-2.998291400723820596e-03-1.908459901567626914e-03j)	 (2.845233883713525497e-03-9.856570633432521975e-03j)	 (3.016500184510970128e-01-1.744154014196512212e-02j)	 (-2.071781416376186971e-03-9.102498752408741530e-04j)	 (4.523052123042528919e-03-8.611280733018379305e-03j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.076347379270157021e-10+7.707567845762733012e-10j)	 (4.801953395166273978e-11+4.962160750644275042e-10j)	 (2.018534655002491573e-01-3.348822065859780300e-04j)	 (1.715261123355713568e-01+8.074663649190770088e-04j)	 (6.291705863703581612e-04+8.542278013628000846e-05j)	 (5.431172967462484210e-04+7.688072529482845106e-05j)	 (2.164129881374403461e-03-1.900688450892879010e-03j)	 (7.223412572736045347e-08+1.672732658610537779e-07j)	 (3.800072624925296015e-08+1.042631675524614198e-07j)	 (1.642939100952733314e-03+4.166170261537052179e-04j)	 (1.955045659488333920e-01-5.362299482683132237e-03j)	 (1.670534097218801528e-01+1.851273912581404392e-03j)	 (7.189591865761082133e-04+8.693869224639899466e-04j)	 (1.388634456187674282e-01+2.985403940030155901e-03j)	 (1.195005743321725655e-01+5.051456651762759606e-04j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (5.369857647154716634e-10+8.292624645983773515e-10j)	 (2.032581026313423528e-10+5.607415456984668896e-10j)	 (2.010670910332976735e-01-7.467995407513501951e-04j)	 (1.726903017573786780e-01+1.361248366625038503e-03j)	 (6.286384734931822109e-04+8.212141973748689596e-05j)	 (5.462397099644541012e-04+7.674124738326975562e-05j)	 (1.674578629814739775e-03-1.940146080798776321e-03j)	 (1.475178954635327990e-07+1.722976936951077647e-07j)	 (7.413796185324964235e-08+1.092718609336244992e-07j)	 (1.469177032435178571e-03+3.413844057261775046e-04j)	 (1.943849660999744378e-01-5.570342145747975149e-03j)	 (1.680822403254344788e-01+2.327619859074646878e-03j)	 (5.552396159001591214e-04+8.311908524800344688e-04j)	 (1.387287683375845737e-01+2.519284586777820883e-03j)	 (1.201725365886209956e-01+7.174140699349898596e-04j)
