f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.488559807904896018e-02-2.278825350950942907e-02j)	 (-2.487024379877832495e-02+2.389660137347468516e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.487024379879696975e-02+2.389660137358006267e-02j)	 (1.285397159234315800e-01-1.213539647860186477e-01j)	 (-1.036524090589137359e-01+9.882989552508354703e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.036524090595635772e-01+9.882989552465923366e-02j)	 (1.036541178460223395e-01-9.856571127049744419e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.438431619123128391e-02-2.183138707857833552e-02j)	 (-2.436910907779575239e-02+2.303147726755957678e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.436910907778181215e-02+2.303147726750180702e-02j)	 (1.256499694504666365e-01-1.165355689303984865e-01j)	 (-1.012645402868903172e-01+9.499074440856933310e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.012645402873877110e-01+9.499074440802736385e-02j)	 (1.012656532584610275e-01-9.470418185708491532e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.390506587337305408e-02-2.103731713940081363e-02j)	 (-2.388990911173236725e-02+2.232958771950051963e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.388990911177632168e-02+2.232958771958280797e-02j)	 (1.229520850989803127e-01-1.124913291379352476e-01j)	 (-9.904634329746817012e-02+9.176309661175648114e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.904634329826959849e-02+9.176309661128209672e-02j)	 (9.904701922311641427e-02-9.145401199416748617e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (2.344457802073915756e-02-2.037670121814983554e-02j)	 (-2.342961572494706851e-02+2.176142222502635074e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.342961572490713865e-02+2.176142222507526300e-02j)	 (1.204388931295140991e-01-1.091306638166971849e-01j)	 (-9.699398173974954629e-02+8.908562797687089030e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-9.699398174027640263e-02+8.908562797667146649e-02j)	 (9.699431511309825060e-02-8.875396259577096603e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.299063452607797570e-02-1.981748584156215257e-02j)	 (-2.297587573684652801e-02+2.129512558982279979e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.297587573677947054e-02+2.129512558984236748e-02j)	 (1.180153966727554293e-01-1.062973837784397663e-01j)	 (-9.502465697767521757e-02+8.683421336469954177e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-9.502465697799086786e-02+8.683421336433032323e-02j)	 (9.502476215133054405e-02-8.647989793758817378e-02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.253959471946106324e-02-1.933400830930364148e-02j)	 (-2.252489631172851711e-02+2.090509228433529848e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.252489631185308067e-02+2.090509228432989655e-02j)	 (1.156498065277738047e-01-1.038625945868649064e-01j)	 (-9.311020330450814342e-02+8.490560494405255398e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.311020330466347750e-02+8.490560494394124025e-02j)	 (9.311021180411063747e-02-8.452858627639259215e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.209547957087489370e-02-1.890987200947579286e-02j)	 (-2.208073290802423788e-02+2.057461504760243684e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-2.208073290809452888e-02+2.057461504749540440e-02j)	 (1.133694335400026454e-01-1.017535593396711041e-01j)	 (-9.127394128171460730e-02+8.324336790730488267e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.127394128175848886e-02+8.324336790719780166e-02j)	 (9.127395396551839235e-02-8.284368733219352188e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.165620536686541434e-02-1.853092442939667864e-02j)	 (-2.164117744683375158e-02+2.028958456636184224e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.164117744675051261e-02+2.028958456629100654e-02j)	 (1.111468030236960752e-01-9.989907058418329155e-02j)	 (-8.949047345100710760e-02+8.179044423947429143e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.949047345113786411e-02+8.179044423946910114e-02j)	 (8.949059765890132745e-02-8.136814615823860508e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.122066530405600573e-02-1.818622813625547785e-02j)	 (-2.120503324365206541e-02+2.003923317870329179e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.120503324365283562e-02+2.003923317881369653e-02j)	 (1.089615791306809411e-01-9.824395836597535348e-02j)	 (-8.774057260177944850e-02+8.050263316084214915e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-8.774057260213415088e-02+8.050263316075126352e-02j)	 (8.774091382779990178e-02-8.005773022605403022e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.079082515695028846e-02-1.787027253048359063e-02j)	 (-2.077458427208677544e-02+1.981784582047118465e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.077458427209576478e-02+1.981784582037590670e-02j)	 (1.068227539608411353e-01-9.676794361951099321e-02j)	 (-8.603135889030008587e-02+7.936511443027446933e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.603135889052980489e-02+7.936511443015453748e-02j)	 (8.603192880315164992e-02-7.889767109253972843e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.036711495757223891e-02-1.757356070201168338e-02j)	 (-2.034979108940138462e-02+1.961598443568876929e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.034979108947407994e-02+1.961598443576968026e-02j)	 (1.047220306435502346e-01-9.540952618855602640e-02j)	 (-8.435401502598967316e-02+7.832590072873073239e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.435401502638892324e-02+7.832590072857756325e-02j)	 (8.435491568445238619e-02-7.783596548357997469e-02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (1.995140711605494083e-02-1.729378995850616371e-02j)	 (-1.993285741808284439e-02+1.943114675158648039e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.993285741800919844e-02+1.943114675163785249e-02j)	 (1.026697019948579342e-01-9.416265659733634441e-02j)	 (-8.271705323587774661e-02+7.738120105125864678e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-8.271705323622281780e-02+7.738120105121733261e-02j)	 (8.271829488185082624e-02-7.686886663723770108e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (1.954320062345397610e-02-1.702679509293639898e-02j)	 (-1.952322124718128618e-02+1.925934710730935542e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.952322124709649984e-02+1.925934710731085422e-02j)	 (1.006541640582931663e-01-9.300276484407542232e-02j)	 (-8.110937046952522433e-02+7.651065767958048491e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-8.110937046972177544e-02+7.651065767950572527e-02j)	 (8.111096343809033604e-02-7.597596975199154279e-02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (1.914310167161741016e-02-1.676919751565069880e-02j)	 (-1.912140508123028743e-02+1.909726087653638993e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.912140508131298863e-02+1.909726087653743770e-02j)	 (9.867444965149874125e-02-9.190820139936890787e-02j)	 (-7.952938538647823241e-02+7.569601904044603868e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-7.952938538647727484e-02+7.569601904020575867e-02j)	 (7.953134797612819440e-02-7.513900388350097659e-02j)
