f	pp	pn	np	nn
 (-1.250000000000000000e+01+0.000000000000000000e+00j)	 (5.728064801857927005e-03+1.432015021751748343e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.728045007894996474e-03+1.432012943385254852e-02j)
 (-1.150000000000000000e+01+0.000000000000000000e+00j)	 (6.602301521009070612e-03+1.518527925000469694e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.602277327699397277e-03+1.518525668710894033e-02j)
 (-1.050000000000000000e+01+0.000000000000000000e+00j)	 (7.676244630422268678e-03+1.612009651177073732e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.676214770168967444e-03+1.612007226808398475e-02j)
 (-8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.067570625682907198e-02+1.814867535821532152e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.067565950286986434e-02+1.814864936850658916e-02j)
 (-8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.166530918815942772e-02+1.866446680518386858e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.166525664832634632e-02+1.866444119201077223e-02j)
 (-6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.543810771256237321e-02+2.006950226845673202e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.543803294598673076e-02+2.006948242655055836e-02j)
 (-5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.879118270377690830e-02+2.067025455346197665e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.879108897416011809e-02+2.067024560654094623e-02j)
 (-5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.076425732925100964e-02+2.076420584099132605e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.076415328724488807e-02+2.076420584098731537e-02j)
 (-4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.532226387242327015e-02+2.025774796439162168e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.532214008657864002e-02+2.025777581620560180e-02j)
 (-2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.322279597453968447e-02+1.661131481589006587e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.322266280078077505e-02+1.661141469620724953e-02j)
 (-2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.580041685421050945e-02+1.432007706628855501e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.580029314196253587e-02+1.432020696414358987e-02j)
 (-5.000000000000000000e-01+0.000000000000000000e+00j)	 (4.111725984016888213e-02+4.111622958706833211e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.111721904338781763e-02+4.111824902782527588e-03j)
 (5.000000000000000000e-01+0.000000000000000000e+00j)	 (4.111721904338781763e-02-4.111824902782527588e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.111725984016888213e-02-4.111622958706833211e-03j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.580029314196253587e-02-1.432020696414358987e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.580041685421050945e-02-1.432007706628855501e-02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.322266280078077505e-02-1.661141469620724953e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.322279597453968447e-02-1.661131481589006587e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.532214008657864002e-02-2.025777581620560180e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.532226387242327015e-02-2.025774796439162168e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.076415328724488807e-02-2.076420584098731537e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.076425732925100964e-02-2.076420584099132605e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.879108897416011809e-02-2.067024560654094623e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.879118270377690830e-02-2.067025455346197665e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.543803294598673076e-02-2.006948242655055836e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.543810771256237321e-02-2.006950226845673202e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.166525664832634632e-02-1.866444119201077223e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.166530918815942772e-02-1.866446680518386858e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.067565950286986434e-02-1.814864936850658916e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.067570625682907198e-02-1.814867535821532152e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (7.676214770168967444e-03-1.612007226808398475e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.676244630422268678e-03-1.612009651177073732e-02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (6.602277327699397277e-03-1.518525668710894033e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.602301521009070612e-03-1.518527925000469694e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (5.728045007894996474e-03-1.432012943385254852e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.728064801857927005e-03-1.432015021751748343e-02j)
