f	pp	pn	np	nn
 (-4.850000000000000000e+01+0.000000000000000000e+00j)	 (6.459880636299113535e-04-1.052852878548807660e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.656762784563972808e-03+1.377643020077235349e-04j)
 (-4.700000000000000000e+01+0.000000000000000000e+00j)	 (6.287822781978512961e-04-1.052639097903882229e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.446404707494738793e-04-9.885140175613137473e-04j)
 (-4.600000000000000000e+01+0.000000000000000000e+00j)	 (6.173837705310211438e-04-1.052535290866744161e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.028124158478569316e-04-1.232576498980815852e-03j)
 (-4.550000000000000000e+01+0.000000000000000000e+00j)	 (6.117092750874924927e-04-1.052398929421127696e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.075516508021730142e-05-1.256860328988335107e-03j)
 (-4.400000000000000000e+01+0.000000000000000000e+00j)	 (5.946627849258965572e-04-1.052099812493552606e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.173360764321253989e-04-1.165314297333258252e-03j)
 (-4.250000000000000000e+01+0.000000000000000000e+00j)	 (5.776760365245664150e-04-1.051754300731678939e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-9.935353146277193116e-04-9.434986767093461908e-04j)
 (-4.200000000000000000e+01+0.000000000000000000e+00j)	 (5.720040184581873244e-04-1.051620801795915107e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.083645389055329887e-03-8.576010805910326985e-04j)
 (-4.100000000000000000e+01+0.000000000000000000e+00j)	 (5.607448477681247542e-04-1.051339145702384712e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.221882586686619298e-03-6.805587810998403511e-04j)
 (-3.950000000000000000e+01+0.000000000000000000e+00j)	 (5.437589344017563619e-04-1.050847184598296437e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.345250841464059330e-03-4.202600019744648537e-04j)
 (-3.850000000000000000e+01+0.000000000000000000e+00j)	 (5.325642117773110931e-04-1.050504408103374292e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.386059127593800792e-03-2.576770411794088883e-04j)
 (-3.800000000000000000e+01+0.000000000000000000e+00j)	 (5.269217346977807682e-04-1.050305893097848789e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.396595590707720410e-03-1.806306713782164595e-04j)
 (-3.650000000000000000e+01+0.000000000000000000e+00j)	 (5.100853224651279161e-04-1.049871995117750969e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.399043032117207970e-03+3.256794859826141197e-05j)
 (-3.500000000000000000e+01+0.000000000000000000e+00j)	 (4.932172242570181248e-04-1.049393460973195406e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.368067274605775339e-03+2.184806833628240730e-04j)
 (-3.450000000000000000e+01+0.000000000000000000e+00j)	 (4.876128876914846157e-04-1.049228065952855947e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.352565680627048229e-03+2.744304762415316571e-04j)
 (-3.350000000000000000e+01+0.000000000000000000e+00j)	 (4.764210715765733201e-04-1.048929383890810944e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.315093820856304187e-03+3.782618681169344198e-04j)
 (-3.250000000000000000e+01+0.000000000000000000e+00j)	 (4.651353297337155763e-04-1.048738353127450906e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.271540235464360073e-03+4.716635600739704781e-04j)
