f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
3.400000000000000000e+01	4.052621583213905865e+02	2.418897572190466597e-03	7.002062259577687131e-01
3.450000000000000000e+01	4.076659863071982954e+02	2.401699673155975167e-03	6.988313533649066489e-01
3.500000000000000000e+01	4.100698647254003504e+02	2.384787268001611112e-03	6.975445933107955465e-01
3.550000000000000000e+01	4.124737927121135499e+02	2.368143005726139685e-03	6.964007306699135924e-01
3.600000000000000000e+01	4.148777694253066102e+02	2.351781986673722596e-03	6.953281057014220057e-01
3.650000000000000000e+01	4.172817940413172551e+02	2.335693753317173195e-03	6.942780148160799802e-01
3.700000000000000000e+01	4.196858657558524328e+02	2.319952739352380659e-03	6.932908924295392294e-01
3.750000000000000000e+01	4.220899837831630066e+02	2.304401127754972158e-03	6.925103302176587317e-01
3.850000000000000000e+01	4.268983557201213443e+02	2.274240778780311795e-03	6.910314449064037801e-01
3.900000000000000000e+01	4.293026081457984446e+02	2.259602123343524508e-03	6.905215790581276103e-01
3.950000000000000000e+01	4.317069039143364080e+02	2.245248004798912171e-03	6.900132767714465265e-01
4.000000000000000000e+01	4.341112423243176863e+02	2.231139436022329392e-03	6.896116751150063173e-01
4.100000000000000000e+01	4.389200443404412795e+02	2.203810120607422110e-03	6.891282731842650611e-01
4.150000000000000000e+01	4.413245066202730413e+02	2.190624181372471686e-03	6.889044747547933278e-01
4.200000000000000000e+01	4.437290088872587148e+02	2.177691448335826625e-03	6.887835287196635292e-01
4.300000000000000000e+01	4.485381308869547752e+02	2.152566151964584000e-03	6.889960195337794246e-01
4.350000000000000000e+01	4.509427494038180271e+02	2.140424773457833951e-03	6.891710134321039627e-01
4.450000000000000000e+01	4.557520985314150721e+02	2.116944304613142380e-03	6.898123517790297754e-01
4.500000000000000000e+01	4.581568280030672327e+02	2.105567174072014210e-03	6.903279143826887010e-01
