Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.514000340282296406e+02+4.679073463205435246e+01j)	 (2.349199329849567697e+00-9.353209831501857252e+01j)	 (4.715147916487937962e+00+8.194389263165037107e+01j)	 (3.211579245669833327e+00+2.398842863521504754e+01j)	 (3.296316976212214200e+00-2.354277289715124155e+01j)	 (3.557852523386601629e+00+2.484814833175210680e+00j)	 (7.872230150773755764e-01+4.019691542615563939e+00j)	 (7.678124718173651164e-01-3.883337776308737332e+00j)	 (1.017333647197192215e-01+1.488663902427900698e+00j)	 (1.023928577982154836e-01+1.486448874427545919e+00j)	 (5.667609386847474173e-01+3.992306115208826278e-01j)	 (1.017100801764116574e-01-1.430351396724707014e+00j)	 (1.023435097512989528e-01-1.428225821866020651e+00j)	 (1.127317282396526205e-01+5.156064038509599046e-01j)	 (1.093453992655930435e-01-4.968870790717078711e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.374821317904010698e+02-7.327877847017634849e+01j)	 (-3.201435868602766632e+00-8.739903868244314822e+01j)	 (-1.827179596111156545e+00+8.389085045326804391e+01j)	 (3.015283861297283430e+00+2.426456052562864585e+01j)	 (3.191559153747414168e+00-2.327077735826207316e+01j)	 (4.356265447441985295e+00+4.874749112232405146e+00j)	 (7.905467222922798465e-01+4.096922830209913435e+00j)	 (7.502233844318190181e-01-3.806949920808806009e+00j)	 (1.017416744909283716e-01+1.517821341776928845e+00j)	 (1.024148299152895791e-01+1.515561853821077332e+00j)	 (6.848539818567276338e-01+7.760237905867666264e-01j)	 (1.016956576998908068e-01-1.401194506135251094e+00j)	 (1.023177032437390666e-01-1.399112619518325440e+00j)	 (1.142558126048234812e-01+5.253417602560331856e-01j)	 (1.073738186401241718e-01-4.871672773785297728e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.821833787902695576e+02-1.186314350344061097e+02j)	 (-3.849570526995999220e+00-8.126269277998774498e+01j)	 (-6.046615328505960285e+00+8.847728984703273625e+01j)	 (2.759093397474370324e+00+2.462243091827601660e+01j)	 (3.033950505061401959e+00-2.292806029578107285e+01j)	 (5.594630830700887181e+00+6.929035788212122959e+00j)	 (7.970548218496990023e-01+4.176723390014146275e+00j)	 (7.357644442736196444e-01-3.727926024284059281e+00j)	 (1.017483275717585428e-01+1.546980618988652356e+00j)	 (1.024359663501244744e-01+1.544675918953993810e+00j)	 (8.576434108441162163e-01+1.096806423304463651e+00j)	 (1.016803727346895642e-01-1.372036701159865979e+00j)	 (1.022921081063978277e-01-1.369999963982962754e+00j)	 (1.159843290668909899e-01+5.351157197709756064e-01j)	 (1.055829502725205704e-01-4.773127393030452414e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.354303659200326990e+02-1.292455260984204699e+02j)	 (-2.827261992740804697e+00-7.655591898390940742e+01j)	 (-8.574393102226325780e+00+9.371212584957480374e+01j)	 (2.477424040419612616e+00+2.506738435774061813e+01j)	 (2.854726927699735572e+00-2.251334311968824053e+01j)	 (7.116382747806435205e+00+8.617505997365297432e+00j)	 (8.051708222630962197e-01+4.256992793793959784e+00j)	 (7.230315722012224944e-01-3.648568639362415489e+00j)	 (1.017539508641377988e-01+1.576142042042531388e+00j)	 (1.024557701563212631e-01+1.573791287493837343e+00j)	 (1.058392713089453041e+00+1.361577914303210513e+00j)	 (1.016648083772840883e-01-1.342878136193997207e+00j)	 (1.022660675580832901e-01-1.340887606935862397e+00j)	 (1.178293740427625996e-01+5.448302004496804463e-01j)	 (1.039208805747432879e-01-4.674458183414170187e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.014752837554561609e+02-1.262720727722996230e+02j)	 (-1.329044844699123873e+00-7.293855996701005040e+01j)	 (-9.920471677774747477e+00+9.900059868950987152e+01j)	 (2.195845294269012538e+00+2.559724299318951068e+01j)	 (2.676275804031049255e+00-2.203139457128470369e+01j)	 (8.815864996743785653e+00+9.936048699385665373e+00j)	 (8.141767803910563428e-01+4.337805506042383463e+00j)	 (7.111391151315229475e-01-3.569105491348657289e+00j)	 (1.017591021225791731e-01+1.605305736272276684e+00j)	 (1.024743841200245753e-01+1.602908877275454724e+00j)	 (1.270984236532021638e+00+1.575033625775076995e+00j)	 (1.016493262674041664e-01-1.313719058042016385e+00j)	 (1.022397159023684388e-01-1.311775072674753906e+00j)	 (1.197370978587604801e-01+5.544707401353422549e-01j)	 (1.023401195899695387e-01-4.575958568889639810e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.727109799614223107e+01-1.185435367964018383e+02j)	 (2.304423102457743844e-01-7.008979032144162602e+01j)	 (-1.045234754092043694e+01+1.039973385046414194e+02j)	 (1.937985037821965184e+00+2.620772277140204665e+01j)	 (2.517999608015585089e+00-2.148935842462533685e+01j)	 (1.060343251679159593e+01+1.089863037985294092e+01j)	 (8.241431864069729274e-01+4.419356195434021473e+00j)	 (6.998317122552002445e-01-3.489395304795212649e+00j)	 (1.017643541960113751e-01+1.634471728281971403e+00j)	 (1.024925982448054163e-01+1.632029388835791295e+00j)	 (1.483810151114827391e+00+1.743297436968838765e+00j)	 (1.016341906563415637e-01-1.284559731950293715e+00j)	 (1.022135743673965869e-01-1.282662202816524433e+00j)	 (1.216737987673315452e-01+5.640391511352523812e-01j)	 (1.008103579935493987e-01-4.477689172220764013e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (5.979224928224988389e+01-1.094847018646545109e+02j)	 (1.668096459289515554e+00-6.779511687318972690e+01j)	 (-1.057219696775282713e+01+1.085144940006164234e+02j)	 (1.728755254141659758e+00+2.688797903855412841e+01j)	 (2.397799691405777089e+00-2.089981861129223972e+01j)	 (1.240646186853495614e+01+1.153740984006998360e+01j)	 (8.354178258752139596e-01+4.501551052844068757e+00j)	 (6.891688616654927380e-01-3.409363362996802316e+00j)	 (1.017703269331918237e-01+1.663639855933863876e+00j)	 (1.025115617274395263e-01+1.661153016454738340e+00j)	 (1.688595051719888662e+00+1.873669319133423494e+00j)	 (1.016196046167980455e-01-1.255400489975647238e+00j)	 (1.021882015272186917e-01-1.253549263713555240e+00j)	 (1.236145542071040992e-01+5.735461251674451866e-01j)	 (9.930983047671136654e-02-4.379620928179680517e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (4.695136579921238251e+01-1.004218271890937046e+02j)	 (2.891134082930268523e+00-6.588637824376482399e+01j)	 (-1.068309894378829483e+01+1.125770406231445975e+02j)	 (1.589435332675886103e+00+2.761613824897613867e+01j)	 (2.327917209075744065e+00-2.028232889605534339e+01j)	 (1.417340628294549809e+01+1.189610502523033198e+01j)	 (8.482802304889539569e-01+4.583988783859505922e+00j)	 (6.792931339523365919e-01-3.329103328557631691e+00j)	 (1.017775614757292779e-01+1.692809684308364426e+00j)	 (1.025324159116779987e-01+1.690279281814923262e+00j)	 (1.880169914476135906e+00+1.973899743431563714e+00j)	 (1.016056489373185351e-01-1.226241748726166092e+00j)	 (1.021639072586446456e-01-1.224436855576640948e+00j)	 (1.255437994428077186e-01+5.830100904173420862e-01j)	 (9.782335214050191796e-02-4.281662263041046135e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (3.737394378479483947e+01-9.186990561694150870e+01j)	 (3.871421751666712208e+00-6.422134778008334877e+01j)	 (-1.106916278516449381e+01+1.163972302450828238e+02j)	 (1.529521810811956817e+00+2.836179375938701241e+01j)	 (2.310306870531183332e+00-1.965953727158704467e+01j)	 (1.587399217212522373e+01+1.202129785513186455e+01j)	 (8.627392404638909440e-01+4.666131386892876876e+00j)	 (6.702696226881903474e-01-3.248836972169276915e+00j)	 (1.017863371428240626e-01+1.721980574520836305e+00j)	 (1.025558535259595422e-01+1.719407174222577828e+00j)	 (2.056032317605977155e+00+2.051347528640528051e+00j)	 (1.015922202104005689e-01-1.197083937962428069e+00j)	 (1.021406034327174694e-01-1.195325666830890032e+00j)	 (1.274580812774433747e-01+5.924522388800489425e-01j)	 (9.634335016916170669e-02-4.183686985512854450e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (3.013337625939477959e+01-8.400487751652410395e+01j)	 (4.632516823415388174e+00-6.269616463092249603e+01j)	 (-1.182819078604940444e+01+1.202560580274461017e+02j)	 (1.543081001585895784e+00+2.909485446354684157e+01j)	 (2.336672395915969425e+00-1.905044805378974004e+01j)	 (1.749584219763393023e+01+1.195525220314548598e+01j)	 (8.785287414228365455e-01+4.747530406861625529e+00j)	 (6.620238299240144286e-01-3.168803192270155833e+00j)	 (1.017965971948833204e-01+1.751151883323304181e+00j)	 (1.025819163165030828e-01+1.748535568688251107e+00j)	 (2.215682123128142500e+00+2.112405654363837648e+00j)	 (1.015790499277521436e-01-1.167927391204167886e+00j)	 (1.021178682919649250e-01-1.166216209878530918e+00j)	 (1.293647291034149549e-01+6.018895025975903312e-01j)	 (9.486966428764546932e-02-4.085575472261944729e-01j)
