f	dd	dq	qd	qq
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (9.962045014125124887e-01+1.951268743038024056e-01j)	 (-9.954157629285738551e+00+3.943550258565707567e-02j)	 (9.954157629284992481e+00-3.943550258798996649e-02j)	 (9.962045014113662944e-01+1.951268743043559628e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.997156701217344565e-01+3.906902987550003314e-01j)	 (-9.965532331638806696e+00+7.905509663265605780e-02j)	 (9.965532331638858210e+00-7.905509663129979547e-02j)	 (9.997156701218377073e-01+3.906902987549633055e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.005597836879045692e+00+5.871299344629677952e-01j)	 (-9.984545543296931669e+00+1.190449943071242578e-01j)	 (9.984545543298890991e+00-1.190449943079302242e-01j)	 (1.005597836879264406e+00+5.871299344636303763e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.013896830502243995e+00+7.848917044889687222e-01j)	 (-1.001128093339597669e+01+1.595957060002304306e-01j)	 (1.001128093339752745e+01-1.595957060000977312e-01j)	 (1.013896830502499569e+00+7.848917044899845763e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.024677845341550375e+00+9.844310414675353504e-01j)	 (-1.004585686156965707e+01+2.009042865054614102e-01j)	 (1.004585686156941193e+01-2.009042865056959726e-01j)	 (1.024677845340965066e+00+9.844310414673179688e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.038026511431970889e+00+1.186216259130511652e+00j)	 (-1.008842762661399206e+01+2.431767580180987376e-01j)	 (1.008842762661655712e+01-2.431767580168601173e-01j)	 (1.038026511431658916e+00+1.186216259131013473e+00j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.054050316080915595e+00+1.390732125498497673e+00j)	 (-1.013918511270971834e+01+2.866306827727720941e-01j)	 (1.013918511270794731e+01-2.866306827714716898e-01j)	 (1.054050316081397209e+00+1.390732125499554828e+00j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.072880427432233663e+00+1.598483655639455270e+00j)	 (-1.019836085959711447e+01+3.314980528908281210e-01j)	 (1.019836085959746086e+01-3.314980528917301772e-01j)	 (1.072880427433649864e+00+1.598483655637226608e+00j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.094673958027146066e+00+1.810000228578134029e+00j)	 (-1.026622860195260145e+01+3.780284379140884110e-01j)	 (1.026622860195325160e+01-3.780284379134097872e-01j)	 (1.094673958028627547e+00+1.810000228579896175e+00j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.147926784599633487e+00+2.246595035968250720e+00j)	 (-1.042936485686365522e+01+4.771866934750100264e-01j)	 (1.042936485686357706e+01-4.771866934740503496e-01j)	 (1.147926784601569494e+00+2.246595035967183129e+00j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.215706400690414357e+00+2.705420248864779609e+00j)	 (-1.063175849130040085e+01+5.866045425905906940e-01j)	 (1.063175849129801520e+01-5.866045425906420974e-01j)	 (1.215706400689417155e+00+2.705420248865954225e+00j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (1.300576953856642071e+00+3.192109281223340478e+00j)	 (-1.087751103242082351e+01+7.093575927340488585e-01j)	 (1.087751103242139372e+01-7.093575927336976950e-01j)	 (1.300576953857226714e+00+3.192109281224246864e+00j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (1.467777646399065938e+00+3.989153981027368179e+00j)	 (-1.133928382521361300e+01+9.272789127648721763e-01j)	 (1.133928382521377287e+01-9.272789127655267638e-01j)	 (1.467777646397535607e+00+3.989153981027740326e+00j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (1.698601293649811383e+00+4.892041007026741717e+00j)	 (-1.193480222461194451e+01+1.202566579517028389e+00j)	 (1.193480222461169227e+01-1.202566579518223433e+00j)	 (1.698601293647551191e+00+4.892041007028025135e+00j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (2.155027040776364533e+00+6.327801700685447450e+00j)	 (-1.299847292576091817e+01+1.710216623213596243e+00j)	 (1.299847292576133917e+01-1.710216623211203268e+00j)	 (2.155027040778063618e+00+6.327801700687390785e+00j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (2.896290778985263881e+00+8.154112094653722664e+00j)	 (-1.448992846752908470e+01+2.495138269469554526e+00j)	 (1.448992846752692820e+01-2.495138269472069847e+00j)	 (2.896290778983129144e+00+8.154112094654934140e+00j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (5.198255537593685638e+00+1.212838537472947209e+01j)	 (-1.802044869366174140e+01+4.851354034136505788e+00j)	 (1.802044869366108770e+01-4.851354034139961691e+00j)	 (5.198255537589579589e+00+1.212838537472940814e+01j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (1.200259181303554534e+01+1.857845210879587228e+01j)	 (-2.408487769823141988e+01+1.169927691752254439e+01j)	 (2.408487769823138791e+01-1.169927691752015164e+01j)	 (1.200259181303798428e+01+1.857845210879671072e+01j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (4.344896672096467682e+01+1.476934184265313199e+01j)	 (-1.988424279367577086e+01+4.318520937944973070e+01j)	 (1.988424279367152536e+01-4.318520937945145732e+01j)	 (4.344896672096487578e+01+1.476934184265626371e+01j)
