Frequency [Hz]	g1_d	g1_q	g2_d	g2_q	g3_d	g3_q	1DC_dc	MMC1_d	MMC1_q	2DC_dc	MMC2_d	MMC2_q	3DC_dc	MMC3_d	MMC3_q
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.445484608366489354e+01-8.047118145438741976e+01j)	 (1.257119029238943808e+00-6.005787644262963454e+01j)	 (-2.785624787467322960e+01+1.124136078587414289e+02j)	 (1.612335591535870805e+00+2.979447055253967847e+01j)	 (2.392975983126156780e+00-1.846596641014140872e+01j)	 (1.902022785932725668e+01+1.177961647367540543e+01j)	 (8.883500600450168205e-01+4.829943054339260300e+00j)	 (6.516347381902634073e-01-3.091073267012901749e+00j)	 (1.018080299087319313e-01+1.780323150353633643e+00j)	 (1.026100581540750761e-01+1.777663369859403986e+00j)	 (2.360153899974350544e+00+2.162287057053393635e+00j)	 (1.015657931694047278e-01-1.138772282780727840e+00j)	 (1.020950755603870913e-01-1.137108619437169343e+00j)	 (1.305414086398510587e-01+6.115223445539045288e-01j)	 (9.313386430900043311e-02-3.989259385478133857e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.988672835411617612e+01-7.394614077950404862e+01j)	 (2.076558146593657561e+00-5.831913391666888202e+01j)	 (-3.068461846592728648e+01+1.164720620917232026e+02j)	 (1.716925860598855547e+00+3.045069357002807919e+01j)	 (2.465765301768783946e+00-1.790913878825637440e+01j)	 (2.050024909141324159e+01+1.143121089640252563e+01j)	 (9.054989597680270785e-01+4.909743866433337267e+00j)	 (6.444243571669560078e-01-3.011674366227314881e+00j)	 (1.018202616429608603e-01+1.809494137954565263e+00j)	 (1.026397747194066346e-01+1.806790641212914439e+00j)	 (2.490630853384389720e+00+2.204911781152224748e+00j)	 (1.015521370060499806e-01-1.109618652983757503e+00j)	 (1.020719041563933616e-01-1.108003020673074213e+00j)	 (1.324553755488750706e-01+6.210084965666636814e-01j)	 (9.169112440836198197e-02-3.890474722998644719e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.622022226988917737e+01-6.804865998875520461e+01j)	 (2.893273641503041116e+00-5.665100081851087310e+01j)	 (-3.372193969699002025e+01+1.208921859726233521e+02j)	 (1.837927519662111875e+00+3.106418717667739671e+01j)	 (2.544039613773496189e+00-1.737761551887572864e+01j)	 (2.192362013527499442e+01+1.095911048397545962e+01j)	 (9.229406748476334243e-01+4.988632555950613501e+00j)	 (6.374640301647184204e-01-2.932698607853311934e+00j)	 (1.018329343274298054e-01+1.838664815602991665e+00j)	 (1.026703897161358597e-01+1.835917066319018520e+00j)	 (2.609193879620477663e+00+2.243262127031917075e+00j)	 (1.015378280280558876e-01-1.080466454930374409e+00j)	 (1.020479274014621102e-01-1.078899172929574490e+00j)	 (1.343974796836866492e-01+6.304926612833559041e-01j)	 (9.027320040979555649e-02-3.791445058605161789e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (1.317972720233949779e+01-6.264646812043132940e+01j)	 (3.760395002086921235e+00-5.511265076692162523e+01j)	 (-3.691232909370359039e+01+1.257180484494873127e+02j)	 (1.962101376348159398e+00+3.164063776051436605e+01j)	 (2.620878895321089086e+00-1.686679091142238107e+01j)	 (2.330108153835825036e+01+1.036526891003885176e+01j)	 (9.404972375485520786e-01+5.066760742407828921e+00j)	 (6.306314332596778538e-01-2.854066996637270925e+00j)	 (1.018457926286158305e-01+1.867835258196918868e+00j)	 (1.027014559566872959e-01+1.865042771924571241e+00j)	 (2.717836474866673679e+00+2.279421295834100913e+00j)	 (1.015226896963820208e-01-1.051315619911853849e+00j)	 (1.020229424526654521e-01-1.049796893227682215e+00j)	 (1.363717411922420186e-01+6.399694545409464475e-01j)	 (8.888305249051593748e-02-3.692182536943190985e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (1.050053375773362951e+01-5.746370161112533026e+01j)	 (4.775424532741844530e+00-5.390790723550028929e+01j)	 (-4.020932380809219353e+01+1.309728972779610956e+02j)	 (2.081392895622198314e+00+3.218753979938743015e+01j)	 (2.692520238886009221e+00-1.637172755726873064e+01j)	 (2.464045610443426071e+01+9.642954839198838002e+00j)	 (9.580746731766647262e-01+5.144276516712167791e+00j)	 (6.238561958068791213e-01-2.775689347947416508e+00j)	 (1.018586759872086994e-01+1.897005583318482458e+00j)	 (1.027326911305511681e-01+1.894167963366278018e+00j)	 (2.818485355415759841e+00+2.314805878521484228e+00j)	 (1.015065980010325802e-01-1.022166090188552978e+00j)	 (1.019968381009459524e-01-1.020696034437635902e+00j)	 (1.383793140510089226e-01+6.494336943544021246e-01j)	 (8.752228151063008721e-02-3.592703442967533078e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (9.000506066568766173e+00-5.150438970448922760e+01j)	 (4.994973649862888720e+00-5.396379145128043575e+01j)	 (-4.357762228728199716e+01+1.366707627118967423e+02j)	 (2.191667878790150681e+00+3.271212617592162530e+01j)	 (2.757338640039242783e+00-1.588809515766834579e+01j)	 (2.594439336496182946e+01+8.777897961230886281e+00j)	 (9.756326521038696242e-01+5.221304040003229119e+00j)	 (6.171057973241379502e-01-2.697482194762276464e+00j)	 (1.018714970557653282e-01+1.926175911146648545e+00j)	 (1.027639405043877102e-01+1.923292851574323281e+00j)	 (2.912930408206645616e+00+2.350332028396862505e+00j)	 (1.014894575062150195e-01-9.930178334592875133e-01j)	 (1.019695490672823390e-01-9.915965033099073400e-01j)	 (1.404195793431861072e-01+6.588811761535926514e-01j)	 (8.619154786962913983e-02-3.493022385405652463e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (9.082750068341791660e+00-4.744991822769692646e+01j)	 (3.922219960550005435e+00-5.253502860752273307e+01j)	 (-4.699092382902796317e+01+1.428235317770248969e+02j)	 (2.291339781812441689e+00+3.322049685113464790e+01j)	 (2.814980308230036865e+00-1.541245120929376178e+01j)	 (2.720811684728401048e+01+7.749497868064650241e+00j)	 (9.931607606055947723e-01+5.297939801394771386e+00j)	 (6.103718414991426977e-01-2.619375471957454238e+00j)	 (1.018842174629665254e-01+1.955346346532158996e+00j)	 (1.027951341788663070e-01+1.952417620661743181e+00j)	 (3.002804586356362382e+00+2.386547311931407567e+00j)	 (1.014711822812904563e-01-9.638708452790517578e-01j)	 (1.019410232067348154e-01-9.624982583254656499e-01j)	 (1.424910073980429626e-01+6.683088035181743436e-01j)	 (8.489097661409746032e-02-3.393150256631176642e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (8.836724419231048344e+00-4.437653932569350701e+01j)	 (3.397931667978002501e+00-5.048808523068728960e+01j)	 (-5.042903805950783180e+01+1.494448045908655445e+02j)	 (2.380299108372834649e+00+3.371743565552656463e+01j)	 (2.865766150768046749e+00-1.494220267659837909e+01j)	 (2.841694810929206128e+01+6.532450636875306138e+00j)	 (1.010663133594759788e+00+5.374256022256893139e+00j)	 (6.036599218984666226e-01-2.541313178325095734e+00j)	 (1.018968284952904424e-01+1.984516973919157046e+00j)	 (1.028262532185757333e-01+1.981542418893347035e+00j)	 (3.089590602499378225e+00+2.423731411204742336e+00j)	 (1.014516829565827866e-01-9.347251463346859524e-01j)	 (1.019112014888158835e-01-9.334013005959400644e-01j)	 (1.445917101442800723e-01+6.777144465969199283e-01j)	 (8.362044634917491226e-02-3.293094134493397274e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (8.409452932537528014e+00-4.176389734442418700e+01j)	 (3.222000924339949446e+00-4.829218250355429376e+01j)	 (-5.387453326218394523e+01+1.565519787369814537e+02j)	 (2.459193015532449067e+00+3.420655345460401975e+01j)	 (2.910330319149264433e+00-1.447545592628665112e+01j)	 (2.954386469497865519e+01+5.098737465126341739e+00j)	 (1.028149474422386245e+00+5.450305848583245627e+00j)	 (5.969831020203043570e-01-2.463251596709864266e+00j)	 (1.019093376867011708e-01+2.013687858625411220e+00j)	 (1.028573061006283207e-01+2.010667360457096819e+00j)	 (3.174658843507138339e+00+2.461979184596804426e+00j)	 (1.014308584330298468e-01-9.055807785402956167e-01j)	 (1.018800067811150151e-01-9.043056643830363894e-01j)	 (1.467197729890080127e-01+6.870967078890586333e-01j)	 (8.237975908000556846e-02-3.192857930532465027e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (7.859394198258515374e+00-3.944392484756574646e+01j)	 (3.297618737198576788e+00-4.606878827397839160e+01j)	 (-5.731136337781876477e+01+1.641656502664706068e+02j)	 (2.529020289897091711e+00+3.469052012402718077e+01j)	 (2.949413895114527229e+00-1.401085489535076611e+01j)	 (3.054546346814423785e+01+3.420411712659342740e+00j)	 (1.045629727101130557e+00+5.526128805221484086e+00j)	 (5.903580745567700294e-01-2.385156899069644787e+00j)	 (1.019217609579988609e-01+2.042859050317578085e+00j)	 (1.028883144797016896e-01+2.039792532049708562e+00j)	 (3.259317454549329973e+00+2.501216935278641085e+00j)	 (1.014085902805423739e-01-8.764378015424381108e-01j)	 (1.018473373547934685e-01-8.752114095385014059e-01j)	 (1.488733441913693556e-01+6.964547001729096687e-01j)	 (8.116873843384082854e-02-3.092443069971466119e-01j)
