f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (6.525044850902237403e-01-5.381826807975700344e-01j)	 (-2.203853878161463886e-01-1.175834361641582421e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.323525131685713729e-01-4.699663675618608316e-01j)	 (-2.755580701474093508e-01-1.696172689299370040e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.346066798097647732e-01-3.734557029525966687e-01j)	 (-3.517050464634079998e-01-1.882979929154863230e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.023949572985151768e-01-3.114256681482799882e-01j)	 (-4.183127811864296719e-01-1.705883482894198777e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.903463709772887702e-01-2.675691272281879862e-01j)	 (-4.604620907525447393e-01-1.330603715890437411e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.800542401902134104e-01-2.401954636309887037e-01j)	 (-4.888210821153570751e-01-8.866772046751328351e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.743218929523202343e-01-2.351826136265634803e-01j)	 (-5.015674018911526755e-01-5.514558077602602776e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.652079876690139892e-01-2.254676856793683959e-01j)	 (-5.029728386223160097e-01-1.929076468489089244e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.602391894675873396e-01-2.217806739338027411e-01j)	 (-5.003457620626905467e-01+9.136301878536881582e-03j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.524079422701592801e-01-2.204011105484550981e-01j)	 (-4.930922778611321333e-01+3.441594480940982081e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.438387387125647288e-01-2.204553500734026394e-01j)	 (-4.829942810788040997e-01+5.570207251644088836e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.345180026899250647e-01-2.213253277382729034e-01j)	 (-4.710239450992710353e-01+7.337951543382058295e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.246131685341518636e-01-2.225605896842575704e-01j)	 (-4.579080804043314523e-01+8.774565528151048732e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.141781532854851178e-01-2.238935840100740593e-01j)	 (-4.442191304120396977e-01+9.914712761385058304e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.032264152403314983e-01-2.251292674124282245e-01j)	 (-4.303720415973284474e-01+1.079682841778932534e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.919430913382562665e-01-2.260412820417578850e-01j)	 (-4.166003760444918491e-01+1.145262899832170944e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.803863186390292639e-01-2.265743450765482780e-01j)	 (-4.031481157174847674e-01+1.190515215226055079e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.686519750618829527e-01-2.266849535767903046e-01j)	 (-3.901547883359951507e-01+1.218029056438735269e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.567650129246052071e-01-2.262919329454701478e-01j)	 (-3.777213308962514837e-01+1.230060861940936168e-01j)
