f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.852225604655975744e-01-6.482563919733397295e-01j)	 (-2.650755760747203760e-01-1.405116483813809991e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (5.198414217388589442e-01-5.655996920646465531e-01j)	 (-3.323288136948792104e-01-2.026086466395496943e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.023617809199238060e-01-4.488701514901916045e-01j)	 (-4.252710131477775990e-01-2.240968212128868209e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.637648745563976105e-01-3.738657241155446398e-01j)	 (-5.067890943545849680e-01-2.013710879030098932e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.495734057702530317e-01-3.208671404679883099e-01j)	 (-5.585723301079474901e-01-1.544016164265034630e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.374796672634009509e-01-2.875350113389265050e-01j)	 (-5.937890721401393179e-01-9.877877772453209915e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.308424081053369936e-01-2.810606803796700803e-01j)	 (-6.103894176593755994e-01-5.628287654445690569e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.204368701391356322e-01-2.689158562520335694e-01j)	 (-6.128524974297375749e-01-1.049764452213100552e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.150186054761807131e-01-2.641030205990157476e-01j)	 (-6.104319447857164960e-01+2.625556369212594943e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (3.063322085798522720e-01-2.620279485187462232e-01j)	 (-6.022700828115965521e-01+5.947028164246863369e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.968972810505478566e-01-2.617103367503010314e-01j)	 (-5.905225662391545560e-01+8.798208792637249309e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.866999744248693860e-01-2.624305349219469008e-01j)	 (-5.763572251397973689e-01+1.122260040126805691e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.759396943620562315e-01-2.636577444123881508e-01j)	 (-5.606650349151997004e-01+1.325460810738672834e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.646785040746134077e-01-2.650876753195109403e-01j)	 (-5.441482069847694003e-01+1.493479613362780345e-01j)
