f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.188461601855163918e-01-5.932466039691690618e-01j)	 (-2.427131193530391862e-01-1.290204746890552534e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.760798128015888420e-01-5.178260718642426763e-01j)	 (-3.039262872690183248e-01-1.860699157337540321e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.684657687007319993e-01-4.112180465215099501e-01j)	 (-3.884695681414804813e-01-2.061422877640708418e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.330644824370471158e-01-3.427107420139741123e-01j)	 (-4.625355042800984307e-01-1.859146722141528096e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.199517748959944119e-01-2.942935630100578237e-01j)	 (-5.095090969524699309e-01-1.436555648458036349e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.087676356049964821e-01-2.639521771314879417e-01j)	 (-5.413057590059376922e-01-9.363630944949238866e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.025932859026921884e-01-2.582237278535894909e-01j)	 (-5.559895451491277951e-01-5.561214780976873884e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.928462693452298926e-01-2.473088351765566351e-01j)	 (-5.579365084671817909e-01-1.477714039265531909e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.876674928046321078e-01-2.430768150097429858e-01j)	 (-5.554274487569516028e-01+1.783090052866512232e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.794251625755811430e-01-2.413692437958610548e-01j)	 (-5.477362674869402648e-01+4.709782748819967002e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.704416112690729013e-01-2.412598332275904811e-01j)	 (-5.368320250464960752e-01+7.201907003714543010e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.607031543433763199e-01-2.420801702967435021e-01j)	 (-5.237847509055131301e-01+9.300499868988414132e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.503933556432821339e-01-2.433400892206604160e-01j)	 (-5.094034818549434407e-01+1.103767903500264547e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.395702621771513552e-01-2.447542471010808462e-01j)	 (-4.943256021955069190e-01+1.245111619113526691e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.282463208488993978e-01-2.461219361371901893e-01j)	 (-4.790103296332541283e-01+1.358248214831721534e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.166209478498862806e-01-2.471987577864520891e-01j)	 (-4.637221224151157895e-01+1.446670328619655277e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.047565618736821857e-01-2.479330277036133900e-01j)	 (-4.487360608243166626e-01+1.512938321746809256e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.927543727982681809e-01-2.482846133432108360e-01j)	 (-4.342128205359382376e-01+1.559931765767735290e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.806365839335361545e-01-2.481748117711464474e-01j)	 (-4.202667896650543744e-01+1.590170130985921193e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.684479079815436875e-01-2.475359909856034435e-01j)	 (-4.069495291822504135e-01+1.606638045178370722e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.563131674009409222e-01-2.463796544547244283e-01j)	 (-3.943166026412102676e-01+1.610339923502942250e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.442275375708859664e-01-2.447099573780112669e-01j)	 (-3.824212021533823780e-01+1.602702433503480073e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.321794977067621280e-01-2.425058025783919380e-01j)	 (-3.712451359244732796e-01+1.585808046532704019e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (1.203075872870370405e-01-2.397311692178015763e-01j)	 (-3.607616900014362082e-01+1.560693299731772954e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.085979645917128089e-01-2.364269648330167284e-01j)	 (-3.510119355045657752e-01+1.528042203435702184e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (9.708877473051588658e-02-2.326275630675126993e-01j)	 (-3.419475540761209853e-01+1.488374952604039070e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (8.578087861556984994e-02-2.282981136684711920e-01j)	 (-3.335707144331979124e-01+1.442579084057565852e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.472498376916118790e-02-2.233979647571575633e-01j)	 (-3.258492512137878827e-01+1.392032444223177401e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (6.396908859718730689e-02-2.179804379587234331e-01j)	 (-3.187849982770589174e-01+1.336322377393112382e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (5.349095120966887440e-02-2.120385103820998096e-01j)	 (-3.124010797595438982e-01+1.275550188362382098e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (4.331436455413278930e-02-2.055436952237010562e-01j)	 (-3.066637367155539695e-01+1.210678380744394517e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (3.355427106378924829e-02-1.984987339766306480e-01j)	 (-3.015545462858266745e-01+1.141819307742188427e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.419693726335361839e-02-1.909083927851418505e-01j)	 (-2.971361224733315431e-01+1.068832976455225264e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (1.528318493172614589e-02-1.828035550125077235e-01j)	 (-2.933820521966038486e-01+9.913762998005615223e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (6.866247932075950078e-03-1.741401581929749587e-01j)	 (-2.903502405810937104e-01+9.097605101467411137e-02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (-9.268461755118639900e-04-1.648994643096087231e-01j)	 (-2.880732540221987992e-01+8.249515029342245620e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-8.032093556226777009e-03-1.551317861821212563e-01j)	 (-2.866267354788289978e-01+7.362085576177015978e-02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.437691546797804920e-02-1.448362591886450668e-01j)	 (-2.861425647942252293e-01+6.435191422658385896e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.980721102483205820e-02-1.340668733522525635e-01j)	 (-2.867052955740441167e-01+5.482415930972568685e-02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (-2.414132499186351366e-02-1.229642355180479846e-01j)	 (-2.884016057372019715e-01+4.514779363745072965e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.729097334233777927e-02-1.116785248040844669e-01j)	 (-2.914104675173631587e-01+3.546148463699191206e-02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (-2.920445440423275613e-02-1.004691596342107834e-01j)	 (-2.957456974575113362e-01+2.593893926704499836e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.987130470787190129e-02-8.959192392197093402e-02j)	 (-3.014240258768310365e-01+1.689748217662587204e-02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (-2.937476332235591792e-02-7.934401962235866634e-02j)	 (-3.082650705628454668e-01+8.713561985496536683e-03j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-2.796469025227964200e-02-6.992376050042527214e-02j)	 (-3.160692172163197533e-01+1.475650173601546558e-03j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (-2.589782227556176875e-02-6.141004794601490069e-02j)	 (-3.246443709137696310e-01-4.732014931698547838e-03j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.340778583066882579e-02-5.383329863796190717e-02j)	 (-3.336857437175704821e-01-9.827259658486103833e-03j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (-2.068946624387292543e-02-4.715553775056575969e-02j)	 (-3.429316399571002982e-01-1.388766364340471987e-02j)
