Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.179386673065642155e+00-3.686352703934371866e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.025119035625040365e+00-3.573685565634963091e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.303374152086689719e-01-3.120619948031392865e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.783968424030088595e-01-2.667457218102997074e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (8.521752056018999655e-01-2.225233853878991475e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (8.352515114130798501e-01-1.843792039529399684e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (8.292085492975528327e-01-1.650074362469542977e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.278820741584235199e-01-1.440580520210103244e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (8.301323518093394194e-01-1.308907796945222024e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (8.331517750684269696e-01-1.218289435524066294e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (8.367080394447781178e-01-1.165357918157671757e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (8.401511007914465035e-01-1.142955955081314673e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (8.431110084978935548e-01-1.145879164512731557e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (8.452713831983138526e-01-1.169349211597608545e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.463930922341688090e-01-1.208475710119740476e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.464688476111110749e-01-1.259395159705454514e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.454146283436644316e-01-1.319537916165688940e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.432535392229031368e-01-1.386380115600782947e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.399909404822030190e-01-1.457390996571266140e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.356505463377920107e-01-1.529826462488823591e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.303435227200616220e-01-1.603209211157170522e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.241015619814456850e-01-1.676484334565043754e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.169562153958753736e-01-1.747577084762583777e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (8.090604650391854946e-01-1.815973669949235147e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (8.004195163262401991e-01-1.881470011871406445e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.911450228208235513e-01-1.943806038512383427e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.812771911114909651e-01-2.002182227431554273e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.708681834671945454e-01-2.055359299356880332e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.600049930457447589e-01-2.104389584144199243e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.487084311462645081e-01-2.149267561587896447e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.370136286086265143e-01-2.188701863205792797e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.250356054000343109e-01-2.223267039065497663e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.127398725158398118e-01-2.253255343229997043e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (7.002152640201982914e-01-2.278991523872368752e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (6.874754934668956263e-01-2.300122625036883917e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (6.745585265541481634e-01-2.315906663826894918e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (6.614972021879091946e-01-2.327668169839524626e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (6.482884837612520323e-01-2.335587655391865858e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (6.349593498953942650e-01-2.338686020675043997e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (6.215798379831033449e-01-2.337834800071430241e-01j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (6.080906654228199759e-01-2.333308709263280101e-01j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (5.945521671193448876e-01-2.325546041247987250e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (5.809603954989799313e-01-2.314323234415890940e-01j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (5.673395960189508980e-01-2.299177733851008043e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (5.536841583306092440e-01-2.281277116499600965e-01j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (5.399778937879816665e-01-2.260772436854073253e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (5.262367112935313340e-01-2.236930825002025336e-01j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (5.124945544721435375e-01-2.210622830218082202e-01j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (4.986841392795618999e-01-2.182010531969645617e-01j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (4.848389228091214975e-01-2.151468766938916533e-01j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (4.709436167832376507e-01-2.118841483473812848e-01j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (4.570044645381002302e-01-2.083885253939744553e-01j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (4.429938975760619457e-01-2.047475935141466474e-01j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (4.288891391003967213e-01-2.009699565456856962e-01j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (4.146863925731475997e-01-1.970039450082648469e-01j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (4.003896413372964869e-01-1.929258126486369795e-01j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (3.859299807606225152e-01-1.887439013815851996e-01j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (3.713150255305412428e-01-1.844803963145994763e-01j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (3.565155270969611045e-01-1.801277235904200358e-01j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (3.415076644052041366e-01-1.756802792975164784e-01j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (3.262497063477113324e-01-1.711965983645772627e-01j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (3.107097789185152004e-01-1.666823376823368952e-01j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (2.948477021197556391e-01-1.621033527458266843e-01j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (2.786316758700696505e-01-1.575240393565849883e-01j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (2.619818559990891860e-01-1.529533530339343972e-01j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (2.448713849117340191e-01-1.483942300221148536e-01j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (2.272369804578575347e-01-1.438520767301120218e-01j)
