Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.564254914776093841e+01-1.303843763664747826e+02j)	 (-1.368183764224465371e+01+1.477839473165099378e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (5.564971938833334519e+01-1.390402901699122538e+02j)	 (-1.947165928758109388e+01+1.624958603323219108e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (6.057034168353002457e+01-1.494786709786937138e+02j)	 (-2.115933197319780490e+01+1.759743705281382802e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (6.104501571427176287e+01-1.589226984878028190e+02j)	 (-2.013230087528432932e+01+1.868544735837704138e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (5.624818296282315089e+01-1.664296940223105992e+02j)	 (-1.764740479403911522e+01+1.955937454460930667e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (4.912067791152995255e+01-1.724290867023569831e+02j)	 (-1.471146230909280028e+01+2.027208292016367750e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (4.289348819152408510e+01-1.739750502735192015e+02j)	 (-1.367058489373740038e+01+2.072924529999505410e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.436500037764926674e+01-1.729363279554510200e+02j)	 (-1.278394767081353223e+01+2.117261362544648193e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.779876927938859765e+01-1.693003657728358746e+02j)	 (-1.239316244097237352e+01+2.157407775364814029e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.209157488019124926e+01-1.643255723140568421e+02j)	 (-1.274860069515729855e+01+2.196433296504290809e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.766869855603478001e+01-1.583979989301138858e+02j)	 (-1.355235463770770643e+01+2.235895713805292644e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.443413118369957004e+01-1.519805378617053577e+02j)	 (-1.467720516461773350e+01+2.276796020345918805e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.221178048197845989e+01-1.454078850112742600e+02j)	 (-1.605156569011693435e+01+2.319209418867945089e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.081006233544939477e+01-1.388856469978043151e+02j)	 (-1.761332649243355775e+01+2.363380732850369270e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.005472111395325818e+01-1.325196137819334581e+02j)	 (-1.928851487217940175e+01+2.409688405556771045e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (9.785394399024578860e+00-1.263669724436908837e+02j)	 (-2.103372911505664078e+01+2.457771113856317413e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (9.880985128034245335e+00-1.204491963328636928e+02j)	 (-2.284089260952142908e+01+2.507692573214619927e+02j)
