f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.603279252343071448e-01-6.276331670723244160e-01j)	 (-2.566861696778300339e-01-1.361970126462098696e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (5.034273804039892664e-01-5.476932389291442327e-01j)	 (-3.216744283017877182e-01-1.963979681102274721e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.896470854821142416e-01-4.347616797140407829e-01j)	 (-4.114667804148035568e-01-2.173528035824759397e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.522491617444237777e-01-3.621956485129407266e-01j)	 (-4.901909323094352233e-01-1.955618893342035425e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.384637194295403995e-01-3.109171516150137093e-01j)	 (-5.401720429117777833e-01-1.503567443899913592e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.267128681786994893e-01-2.787088243854457525e-01j)	 (-5.741080425020138600e-01-9.683297624708357698e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.202513160977850104e-01-2.725171805275287129e-01j)	 (-5.899917942864726372e-01-5.601099592381009185e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.100952946341570260e-01-2.608365095738250927e-01j)	 (-5.922639013615154102e-01-1.207916924848217999e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.047698158896567922e-01-2.562449691025381338e-01j)	 (-5.898131364402365850e-01+2.312309060532780070e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.962532668209361675e-01-2.543115331793834311e-01j)	 (-5.818311025575360063e-01+5.486121026633694608e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.869913281105213043e-01-2.540762846958108945e-01j)	 (-5.704035365199342511e-01+8.203084298443873157e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.769702167281459237e-01-2.548388660563282171e-01j)	 (-5.566615971357773418e-01+1.050578448854645602e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.663834241793546775e-01-2.560837950978790967e-01j)	 (-5.414655593544422940e-01+1.242777684348157496e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.552915170076173745e-01-2.575139863816325869e-01j)	 (-5.254933338333480641e-01+1.400855081959639925e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.437064020375807327e-01-2.589244122741138354e-01j)	 (-5.092318998390341633e-01+1.529172154829189223e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.318363345308464551e-01-2.600586856779970590e-01j)	 (-4.929649402579470152e-01+1.631415027122943284e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.197464120228596052e-01-2.608663579206324523e-01j)	 (-4.769869746436057323e-01+1.710294299073314150e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.075412187738346903e-01-2.613083094541611140e-01j)	 (-4.614719380512287694e-01+1.768860046667734554e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.952414557180291443e-01-2.613060923333313523e-01j)	 (-4.465428412994666973e-01+1.809783237100407449e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.828913736688207448e-01-2.607936932209198311e-01j)	 (-4.322521828244331177e-01+1.836227274633812634e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.706208858857257427e-01-2.597838297392539020e-01j)	 (-4.186643404459646223e-01+1.849297912361309859e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.584222308635771792e-01-2.582853791317086256e-01j)	 (-4.058376835279342565e-01+1.850545526518041772e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.462789038792941532e-01-2.562838585612814413e-01j)	 (-3.937488678845172396e-01+1.842177425591860207e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (1.343334167216360953e-01-2.537413108048522936e-01j)	 (-3.823713271310580364e-01+1.825335806295530772e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.225690053931812462e-01-2.507069275232300387e-01j)	 (-3.717479070484381865e-01+1.800816509700863821e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (1.110217926942010519e-01-2.472214383402533688e-01j)	 (-3.618287132841481180e-01+1.769206001314349297e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (9.968647954781449660e-02-2.432548565736565860e-01j)	 (-3.526121177968249976e-01+1.731504463137711891e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (8.860849448324498168e-02-2.387710024323841662e-01j)	 (-3.440544445599390544e-01+1.689210006436256128e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.783446917891082006e-02-2.338302054208832581e-01j)	 (-3.361590485728580546e-01+1.641993186187616360e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (6.733178413087581582e-02-2.284347295525324673e-01j)	 (-3.289445841844588214e-01+1.590071939322885985e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (5.711079973913409796e-02-2.225657588723728431e-01j)	 (-3.223591704984481998e-01+1.534505960409308645e-01j)
