Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.184229293485187906e+00-3.839357152387067873e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.023041501900270545e+00-3.716571660929864351e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.240144616760682661e-01-3.237724274301043703e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.696575708699790797e-01-2.758559393440226382e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (8.422641505124051076e-01-2.290929996447145511e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (8.245857820575963615e-01-1.885159823030238546e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (8.181752486787460255e-01-1.674768478889595014e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.169393855511281055e-01-1.447701797254594691e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (8.193943658195271817e-01-1.302116872824047034e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (8.227658463760252339e-01-1.198927005750475283e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (8.267720943949987689e-01-1.135100780159960798e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (8.307332586252076378e-01-1.103292093974211768e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (8.342548943309523457e-01-1.098124953045405694e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (8.370008671110901188e-01-1.114664457168143274e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.387185298853694349e-01-1.147884466456631641e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.393924222681012903e-01-1.193766900856753632e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.389301250578282687e-01-1.249640599599448620e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.373499706523925834e-01-1.312873843490616199e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.346535315697564128e-01-1.380847767186381414e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.308649509742653816e-01-1.450726177687444440e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.260930650610414094e-01-1.521964417267580305e-01j)
