Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.471786882765746896e+01-9.659388403034706982e+01j)	 (-8.435058158104733472e-01+1.162382895726709364e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.968910188906927772e+01-9.980267668409523196e+01j)	 (-3.099786389792583918e+00+1.272915366700591164e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.145504224205505750e+01-1.031018145543237949e+02j)	 (-2.991896784088814432e+00+1.368144646495493646e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (4.104562167531607741e+01-1.050220736617783359e+02j)	 (-1.812663678534089717e+00+1.442763876428328729e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.864576090640738926e+01-1.054949803476751953e+02j)	 (-2.747931103059809144e-01+1.503333732055754695e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.580319060619437010e+01-1.050215691050364057e+02j)	 (1.132050369849606053e+00+1.555126477679141317e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.358195786762785673e+01-1.026685713318965298e+02j)	 (1.122827006583804188e+00+1.595472874766520022e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.073311669726308892e+01-9.954009381848115368e+01j)	 (9.951915687445163083e-01+1.636577114450923034e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.861777727899267987e+01-9.546475497529158361e+01j)	 (5.427301016791270527e-01+1.675951652461994570e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.683558081632656211e+01-9.098814457268356648e+01j)	 (-3.570817439156189765e-01+1.715936151919606516e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.547382558612828163e+01-8.618884541061953541e+01j)	 (-1.520286426074088704e+00+1.756832295491003890e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.448819398620025112e+01-8.120358230332870164e+01j)	 (-2.873925934596694542e+00+1.799049707880727453e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.382077156668329110e+01-7.613216009912120796e+01j)	 (-4.381648177841677594e+00+1.842509497550377944e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.341183295183974522e+01-7.103748967216765209e+01j)	 (-6.012485986143319749e+00+1.887292260603924490e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.320526850899323534e+01-6.595386209076403361e+01j)	 (-7.727081757117921335e+00+1.933611705424743263e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.314949740819373147e+01-6.090225024603572024e+01j)	 (-9.504160936690931649e+00+1.981222157927727210e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.320395945153124018e+01-5.589025988591917127e+01j)	 (-1.134377435744349683e+01+2.030167632612674424e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.333485911269987412e+01-5.091798625319378857e+01j)	 (-1.323808784748317890e+01+2.080343852007904388e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.351485479889768015e+01-4.598022248071163887e+01j)	 (-1.517404912315364740e+01+2.131801410912798360e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.372092016927185654e+01-4.106868817094676416e+01j)	 (-1.712872184270161924e+01+2.184664700380483850e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.393656028983750872e+01-3.617495738257094473e+01j)	 (-1.912196034965837654e+01+2.238697747232785389e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (2.414875046319288998e+01-3.128865769772769312e+01j)	 (-2.115904486888179292e+01+2.293968116331200520e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.434640416498534776e+01-2.639839088965227276e+01j)	 (-2.321565594961000301e+01+2.350705849993560150e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.452144545037630863e+01-2.149429397007385845e+01j)	 (-2.529426161475532453e+01+2.408658579964803721e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.466796517713905601e+01-1.656583769727634703e+01j)	 (-2.741359763408063444e+01+2.467994872756745508e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (2.478137912741629734e+01-1.160249532602827394e+01j)	 (-2.957928812358961324e+01+2.528602638231023434e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.485826876781550254e+01-6.594340046798643051e+00j)	 (-3.178505963664742140e+01+2.590635264896373542e+02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (2.489623573880160379e+01-1.531960374646918810e+00j)	 (-3.400686035630724291e+01+2.654266964571052085e+02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (2.489410512494125882e+01+3.594300244241401820e+00j)	 (-3.628185677344241356e+01+2.719323848494808544e+02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (2.485103044001554551e+01+8.793929363106846253e+00j)	 (-3.862293040634257579e+01+2.785978256454686743e+02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.476677086202221290e+01+1.407563477825562437e+01j)	 (-4.100106207731717944e+01+2.854521632868372194e+02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (2.464205860373853696e+01+1.944849038185640211e+01j)	 (-4.342769707614354502e+01+2.924704855654536573e+02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.447776646184441418e+01+2.492143916391663794e+01j)	 (-4.592998402680712644e+01+2.996865157562343711e+02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (2.427507862590392662e+01+3.050280894641037932e+01j)	 (-4.852208305240247199e+01+3.070906089577163698e+02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.403582578496799016e+01+3.620105733716385998e+01j)	 (-5.119952948669814674e+01+3.147108031797196759e+02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (2.376292995306778266e+01+4.202490632489455180e+01j)	 (-5.393490891150150190e+01+3.225688006027138499e+02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.345862256328990370e+01+4.798277694053565767e+01j)	 (-5.678312809467836786e+01+3.306594067821119438e+02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (2.312529098684018081e+01+5.408246398579035485e+01j)	 (-5.976468525042579216e+01+3.390169890347758610e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.276752505871780485e+01+6.033166213431084657e+01j)	 (-6.284895264847622798e+01+3.476808548041401536e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (2.238908369127450371e+01+6.673924857482188600e+01j)	 (-6.606033860546222058e+01+3.566309782893941360e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.199387375262192634e+01+7.331280993672875468e+01j)	 (-6.943838673606691714e+01+3.659288503779663415e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (2.158736986498117361e+01+8.005810797583484373e+01j)	 (-7.301369652830378243e+01+3.755779860554353036e+02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.117463015066304521e+01+8.698214498987471188e+01j)	 (-7.678886063138133977e+01+3.856305791211921701e+02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (2.076257814034495652e+01+9.409370715030226506e+01j)	 (-8.074192108871352502e+01+3.961227185421448098e+02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (2.035669012552146384e+01+1.013976502777444466e+02j)	 (-8.495635532676004686e+01+4.070806667217734116e+02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (1.996221643347055874e+01+1.088974126089440091e+02j)	 (-8.946933450222523732e+01+4.185770585996400541e+02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (1.958890431372368468e+01+1.165981341374529165e+02j)	 (-9.426248754269073515e+01+4.306832865275130189e+02j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (1.924389384490907773e+01+1.245056371589305115e+02j)	 (-9.939118931530843781e+01+4.434068750571912005e+02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (1.893385238661562298e+01+1.326213387423186418e+02j)	 (-1.049245242119912689e+02+4.568711133836608838e+02j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (1.866935798059005691e+01+1.409427367022140913e+02j)	 (-1.109310385875820799e+02+4.711313017410586212e+02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (1.845749496657408883e+01+1.494700294385446853e+02j)	 (-1.174432160008443589e+02+4.863047897287088972e+02j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (1.830843235927454771e+01+1.582068919087241170e+02j)	 (-1.244775098838604634e+02+5.024882841579142791e+02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.822949679862138339e+01+1.671460903570864502e+02j)	 (-1.321813651824557212e+02+5.197993047363709138e+02j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (1.822532344814594296e+01+1.762788477583218310e+02j)	 (-1.406461935702516257e+02+5.384156422926448613e+02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (1.830729195462652825e+01+1.856004772090011841e+02j)	 (-1.499184543340998630e+02+5.585241438933355766e+02j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (1.848267931318981994e+01+1.951055686798985960e+02j)	 (-1.601543490175747593e+02+5.802471968383015337e+02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (1.875425616841044629e+01+2.047813243401723469e+02j)	 (-1.715326994696950464e+02+6.038831294974163484e+02j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (1.913009301015268093e+01+2.146094765761322378e+02j)	 (-1.842525931962982781e+02+6.296738821215858479e+02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (1.961131989005822263e+01+2.245787799175488431e+02j)	 (-1.985042240826971920e+02+6.579572367266634956e+02j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (2.020462740679469960e+01+2.346825719304088977e+02j)	 (-2.145208111971604694e+02+6.890854393348171243e+02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (2.090923121824950215e+01+2.448992711970251435e+02j)	 (-2.327274485077964243e+02+7.234942476366367146e+02j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (2.172027185477515232e+01+2.552107659928232977e+02j)	 (-2.535476750739131830e+02+7.617403042197167906e+02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (2.264296287439662692e+01+2.656042762252146190e+02j)	 (-2.774798403269991240e+02+8.045035051034072922e+02j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (2.367901372073509947e+01+2.760663237807979158e+02j)	 (-3.053149826368332356e+02+8.524486961670512528e+02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (2.482271861983497985e+01+2.865803773371011971e+02j)	 (-3.380715692133180141e+02+9.066041696997165218e+02j)
