f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.893756992179299936e-01-2.327139161542170487e-01j)	 (-9.933329151505218557e-02-5.729691147678209195e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.936551360716001202e-01-2.025518029059835690e-01j)	 (-1.213356468631863194e-01-8.331390250171931411e-02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (1.504125000095848930e-01-1.603448716208231983e-01j)	 (-1.515309863341492147e-01-9.557231295102132373e-02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (1.355779128578112058e-01-1.328686670059960051e-01j)	 (-1.769531479924753292e-01-9.278266158435213851e-02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.288319330505988958e-01-1.129152326399477380e-01j)	 (-1.920188402791487281e-01-8.245630646482010606e-02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.227811046963190322e-01-1.004774570214623242e-01j)	 (-2.008058985045766687e-01-7.039656342340870621e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.186858275809933305e-01-9.749425098853065075e-02j)	 (-2.021022098280083612e-01-6.354169647983023972e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.121077820480665121e-01-9.231630249715309933e-02j)	 (-1.995829980737931497e-01-5.714075923986624422e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.072132266008840873e-01-8.903357831731570360e-02j)	 (-1.952261907312969613e-01-5.430231039598424486e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.005191080151335570e-01-8.633724322271338347e-02j)	 (-1.892562123439841815e-01-5.407354438894299703e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (9.310906264453283621e-02-8.346285552154183995e-02j)	 (-1.824728122492602911e-01-5.660925105126128620e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (8.511778424615867866e-02-7.987594247540280579e-02j)	 (-1.754576288151528940e-01-6.185839366581141058e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (7.687430510850817855e-02-7.512720331796554629e-02j)	 (-1.687355381005379573e-01-6.987172651140330371e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (6.886421157576055885e-02-6.886653164572706376e-02j)	 (-1.629761927974114344e-01-8.064846638622043262e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (6.181180823857732043e-02-6.096849693357976607e-02j)	 (-1.590563312451068190e-01-9.394376349379893187e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (5.655007869599018577e-02-5.181048830000517524e-02j)	 (-1.577659691777595907e-01-1.091124729958332790e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (5.350190838256306536e-02-4.226186489600303881e-02j)	 (-1.595663451640342290e-01-1.251209127954965306e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (5.249156738116422805e-02-3.323689642408238221e-02j)	 (-1.642383911057073709e-01-1.408935129244717477e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (5.295472332720696507e-02-2.525058643820797533e-02j)	 (-1.712046586195584696e-01-1.557395247466905608e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (5.432669916524257570e-02-1.843324823528521075e-02j)	 (-1.798927656349320336e-01-1.693316336188497029e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (5.618958803047388595e-02-1.272224575064186819e-02j)	 (-1.897768223430624235e-01-1.817363018073832048e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (5.826567392940615320e-02-7.976380023335897379e-03j)	 (-2.005527424605504094e-01-1.930357645010197243e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (6.038837855612802508e-02-4.041933647147395725e-03j)	 (-2.120490285837146049e-01-2.032154362774456213e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (6.245921676822663304e-02-7.794216723643956901e-04j)	 (-2.240417194543891932e-01-2.124051518932386362e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (6.441193508968591497e-02+1.922205912193178379e-03j)	 (-2.364706262815388926e-01-2.207186169391901764e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (6.621758952152187461e-02+4.153217602215035498e-03j)	 (-2.492156999259694805e-01-2.282312732315439907e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (6.785246377884826541e-02+5.994815798980559357e-03j)	 (-2.622299543100999331e-01-2.349672890911209955e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (6.930669530918362464e-02+7.519186102244730663e-03j)	 (-2.754854633803104913e-01-2.408989793163290039e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.057918486854369844e-02+8.775573549498750375e-03j)	 (-2.889049295220288416e-01-2.461838333087322805e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.166717878208828107e-02+9.802770325182025984e-03j)	 (-3.024695236933993003e-01-2.508682034974689667e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.257620798269621976e-02+1.064023179730871904e-02j)	 (-3.161759947260305847e-01-2.548673098518942082e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.331127368507200925e-02+1.132694381472478320e-02j)	 (-3.299412452887434677e-01-2.582877462966344795e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.387546802380975941e-02+1.188340550398665763e-02j)	 (-3.438063586657387760e-01-2.611806860868041147e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (7.428252485096699387e-02+1.232764113601553246e-02j)	 (-3.577067463096951228e-01-2.635835292426574328e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (7.453344038884350542e-02+1.267941417092530859e-02j)	 (-3.716409558225282073e-01-2.654895112666619261e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (7.463192134604466899e-02+1.296442912277714216e-02j)	 (-3.856056577566704391e-01-2.668574102636764867e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (7.458697776592319861e-02+1.319179211614738070e-02j)	 (-3.995771727044902244e-01-2.678193152563204671e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (7.440087757143906688e-02+1.336551768218120426e-02j)	 (-4.135569150430027929e-01-2.683991147924237874e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (7.408081779645106502e-02+1.349991207700895063e-02j)	 (-4.275464394745603358e-01-2.685078927546682981e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (7.363058367162432505e-02+1.361361389953441928e-02j)	 (-4.415016650510271146e-01-2.682506788066837955e-01j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (7.305257557276481628e-02+1.370691427716052430e-02j)	 (-4.554806072903900271e-01-2.676548831516448734e-01j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (7.236045641349364566e-02+1.378269143185149176e-02j)	 (-4.694371950429028217e-01-2.667481723107562042e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (7.155174249011460319e-02+1.384750511498050729e-02j)	 (-4.833819385763674648e-01-2.655210109494158810e-01j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (7.062596976843103780e-02+1.391951524278291219e-02j)	 (-4.973209358681870973e-01-2.639446607497331065e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (6.959072798741702814e-02+1.399669066987498621e-02j)	 (-5.112592333494490049e-01-2.621241990925708976e-01j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (6.844524130138608664e-02+1.407357901083960625e-02j)	 (-5.252049001188262567e-01-2.600732646499502865e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (6.719389739742340217e-02+1.416088613672645581e-02j)	 (-5.391666146034012064e-01-2.577182798822765797e-01j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (6.583775002184862057e-02+1.427262828204958756e-02j)	 (-5.531310923452691375e-01-2.551548491059414947e-01j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (6.437593626077908748e-02+1.440278903953607324e-02j)	 (-5.671595988507860397e-01-2.523962110291950722e-01j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (6.282180513671102584e-02+1.454991978582479903e-02j)	 (-5.812260261627790747e-01-2.494584722701171375e-01j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (6.116926921442814025e-02+1.471758639083418224e-02j)	 (-5.953508896114401150e-01-2.463353299569576715e-01j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (5.941481825533589944e-02+1.492471015273492789e-02j)	 (-6.095582484965125225e-01-2.430137721548204233e-01j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (5.756473593813113410e-02+1.516398246773605074e-02j)	 (-6.238699450104612243e-01-2.395684078898345504e-01j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (5.561537808232391855e-02+1.542653471980893164e-02j)	 (-6.382993347477623480e-01-2.360065947910197359e-01j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (5.356956635880773254e-02+1.572458701923787686e-02j)	 (-6.528754317830405274e-01-2.322719724499978378e-01j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (5.142699420260385401e-02+1.607103524996260357e-02j)	 (-6.676143103516942734e-01-2.284451833946920807e-01j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (4.918357008329818369e-02+1.645747221817851075e-02j)	 (-6.825798697685334648e-01-2.245330151227626359e-01j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (4.685288061131638593e-02+1.688057636423770727e-02j)	 (-6.977694771614501024e-01-2.205344948575961028e-01j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (4.442601833666823263e-02+1.734407362788295201e-02j)	 (-7.132218750820882303e-01-2.164500520110189674e-01j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (4.189807905985057368e-02+1.786983212733011389e-02j)	 (-7.289969281860716466e-01-2.122800610336623706e-01j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (3.927384049370859914e-02+1.844709447291525972e-02j)	 (-7.451313637163418102e-01-2.080710480803388274e-01j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (3.654684371261315845e-02+1.906591866736389446e-02j)	 (-7.616526450749223631e-01-2.038288619648331301e-01j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (3.371943820585666940e-02+1.974132924813535445e-02j)	 (-7.786334703052921746e-01-1.995093956412507252e-01j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (3.079074750183264514e-02+2.048613654391900213e-02j)	 (-7.961325657798589139e-01-1.951771137931945510e-01j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (2.775336158034840545e-02+2.129147609561206009e-02j)	 (-8.142344042090916556e-01-1.908406223744134877e-01j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (2.462073159145516943e-02+2.215273343220132418e-02j)	 (-8.329760849580672977e-01-1.864765193762036588e-01j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (2.138169065672124863e-02+2.307531896907229207e-02j)	 (-8.524451848562064615e-01-1.820951219261330023e-01j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (1.803142072552847697e-02+2.408448623079405965e-02j)	 (-8.727809779091436626e-01-1.777051158472135739e-01j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (1.457233601902272607e-02+2.516721441117428931e-02j)	 (-8.940621257568190927e-01-1.733306867975346333e-01j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (1.099483249679190922e-02+2.631416942435925790e-02j)	 (-9.163718818018272705e-01-1.689827999615942100e-01j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (7.301615364267426134e-03+2.754314317521654523e-02j)	 (-9.398896744549932736e-01-1.646202194909769656e-01j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (3.491674331402010167e-03+2.886720597018215678e-02j)	 (-9.647812067133102465e-01-1.602909235391277165e-01j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (-4.516918698712797664e-04+3.028273315828912751e-02j)	 (-9.912369819899554679e-01-1.560232538609019892e-01j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (-4.488538545892394038e-03+3.177208114616354023e-02j)	 (-1.019387030064292876e+00-1.517142207327866477e-01j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (-1.299067450381813371e-02+3.506658534688705808e-02j)	 (-1.082023465275323559e+00-1.432470277065380493e-01j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.743372765442739725e-02+3.685245933322378598e-02j)	 (-1.117071621874587084e+00-1.390341348920993425e-01j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (-2.202612985178369065e-02+3.876075615744015851e-02j)	 (-1.155173188341019896e+00-1.349019734251704628e-01j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (-2.675006925975305372e-02+4.077877441567293038e-02j)	 (-1.196762140154861376e+00-1.307454773009991689e-01j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-3.667646205581799601e-02+4.516280467236613583e-02j)	 (-1.292863671904806555e+00-1.226830802625030331e-01j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (-4.184365887219247682e-02+4.756760216232623628e-02j)	 (-1.349205347445078473e+00-1.185419510857092518e-01j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.719489030858452228e-02+5.010087112194594461e-02j)	 (-1.412287773152512971e+00-1.145895276439301419e-01j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (-5.837793650361907533e-02+5.554540402248579062e-02j)	 (-1.564627278241312203e+00-1.064156143665517112e-01j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (-6.421921578388772867e-02+5.849489318579375458e-02j)	 (-1.658258129413041848e+00-1.021965582746108825e-01j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (-7.643665674093558238e-02+6.483891822441557873e-02j)	 (-1.896303074701452429e+00-9.321274769063331300e-02j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-8.282493885427009983e-02+6.822975442786641254e-02j)	 (-2.050845403163762182e+00-8.831182021153952122e-02j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (-8.941127036398945072e-02+7.177697564869540969e-02j)	 (-2.239770573286235855e+00-8.303136616508710599e-02j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (-9.617348066391595562e-02+7.550211696877902334e-02j)	 (-2.476563105707763945e+00-7.693337140055826751e-02j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.031450057209579441e-01+7.939613752988339268e-02j)	 (-2.781283107570090340e+00-7.015373693072722572e-02j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (-1.176828449490506801e-01+8.761638009559721829e-02j)	 (-3.757446320536152129e+00-5.032255475748336621e-02j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.252507847789213757e-01+9.196189234463378326e-02j)	 (-4.613291255588809925e+00-3.435591531809910337e-02j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.410105781773253186e-01+1.010622438842013193e-01j)	 (-8.898003424866082867e+00+4.120634775446219145e-02j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.491579321041655026e-01+1.058133007689868732e-01j)	 (-1.748004852144269705e+01+1.910008101226409460e-01j)
 (5.050000000000000000e+01+0.000000000000000000e+00j)	 (1.686276913636262265e+01-4.009436128098733398e-01j)	 (-1.660735719846802017e-01+1.156387838328938322e-01j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (5.426060146389548144e+00-2.015312655728342950e-01j)	 (-1.836954546005825084e-01+1.258344151520329746e-01j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (3.999563610137209846e+00-1.757720473135571670e-01j)	 (-1.927537892371205541e-01+1.310450755938330492e-01j)
