f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.703669324623718229e-01-3.862914810824745193e-01j)	 (-1.592861799738944373e-01-8.659699121388916843e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.124038913100788406e-01-3.376103648172842364e-01j)	 (-1.978469251952908736e-01-1.251143061324663519e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.418228037481375825e-01-2.686545184701428224e-01j)	 (-2.509312302372414538e-01-1.401809217498209414e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.183368017865036093e-01-2.242586317176689104e-01j)	 (-2.969833312977930295e-01-1.295740407963549279e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.090963039630766018e-01-1.927544562289933427e-01j)	 (-3.257476174649796552e-01-1.052460627320065817e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.011139422434382873e-01-1.733278678442186915e-01j)	 (-3.445097601101390072e-01-7.654073442746789357e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.964244412674866214e-01-1.699973807992529451e-01j)	 (-3.517553868604104128e-01-5.568469013622222297e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.888414008874533534e-01-1.632908386995114980e-01j)	 (-3.514614343769677518e-01-3.381691735112789948e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.842035654347958240e-01-1.607491790119977004e-01j)	 (-3.482633337975538645e-01-1.724095137228522437e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.772260071980155116e-01-1.598704569234235262e-01j)	 (-3.419367271579273337e-01-3.327519751927371199e-03j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.694837121524325751e-01-1.599099409085412149e-01j)	 (-3.337433581379160574e-01+7.497248843658774545e-03j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.609629095809735622e-01-1.603746296499245216e-01j)	 (-3.243858030701436412e-01+1.553455542709128619e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.517841512080935207e-01-1.609077198989088131e-01j)	 (-3.143622236391983571e-01+2.100078778285098882e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.419896104024258032e-01-1.612705500475852816e-01j)	 (-3.040660895765285865e-01+2.413982283349991667e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.315991224508762658e-01-1.612579533099578188e-01j)	 (-2.937941971326395452e-01+2.522133147900101555e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.207602322340283751e-01-1.606644463367765951e-01j)	 (-2.836968198280310216e-01+2.444546965958710460e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.095256013693515773e-01-1.593845721155832673e-01j)	 (-2.739387182993150427e-01+2.193177149286202471e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (9.798796329277315031e-02-1.573160070542733435e-01j)	 (-2.646127817921009040e-01+1.780977841353790364e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.620369052472545701e-02-1.543067553784674417e-01j)	 (-2.558068171567242088e-01+1.216877641032995325e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (7.426782163302694806e-02-1.501876034899762291e-01j)	 (-2.476143151043007640e-01+5.108092760843455787e-03j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (6.233841838443548999e-02-1.448460609816626110e-01j)	 (-2.401017377048889345e-01-3.449342730610691944e-03j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (5.055502935437236611e-02-1.381074078669448646e-01j)	 (-2.334179654457041453e-01-1.358563144727152269e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (3.917528476818954442e-02-1.297413263831104779e-01j)	 (-2.278149682608286430e-01-2.533696308016744961e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.868920598174157233e-02-1.195826376727501944e-01j)	 (-2.236404625260043633e-01-3.880385598782327278e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.971942349428057462e-02-1.076081928723664760e-01j)	 (-2.215438099527104465e-01-5.399935923489766754e-02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (1.309476484403479524e-02-9.421148307848205283e-02j)	 (-2.222646967235876181e-01-7.051396231836906670e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (9.429001217335697405e-03-8.034210413344419766e-02j)	 (-2.264040224466698503e-01-8.731287114624702861e-02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (8.607837012553937184e-03-6.724346722793071718e-02j)	 (-2.338020086647767948e-01-1.030195643833961561e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (9.808829465812657356e-03-5.573837710121432032e-02j)	 (-2.435727208612306904e-01-1.169137036219409370e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (1.215385460634807457e-02-4.599263726475166791e-02j)	 (-2.548479541339748189e-01-1.288265898348168459e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (1.503315744068912940e-02-3.783946014064679120e-02j)	 (-2.669885380147528631e-01-1.388005629155325826e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (1.808682137539011081e-02-3.102093149185354559e-02j)	 (-2.795273060483701721e-01-1.471289482179607977e-01j)
