f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (5.613644324791514650e-01-4.623462357447313265e-01j)	 (-1.897645075978739437e-01-1.019810588843146071e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.723066668685905967e-01-4.039625368401125183e-01j)	 (-2.366309623006154772e-01-1.471916168806617353e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.881362408152683408e-01-3.212797616492789055e-01j)	 (-3.012396373866420562e-01-1.640148063947445278e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.602972898179808925e-01-2.681094682022425180e-01j)	 (-3.575794665175827669e-01-1.498138762736194174e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.496795563548374064e-01-2.304747683771118938e-01j)	 (-3.930630729934168066e-01-1.188402405120039251e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.405749100787645256e-01-2.071267463570000966e-01j)	 (-4.166562399746867040e-01-8.223914682809412013e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.354035136743455048e-01-2.030249886487674738e-01j)	 (-4.266917409402236627e-01-5.498014402026491637e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.271031948992565663e-01-1.948866232796437892e-01j)	 (-4.272956371206647064e-01-2.604647992780556587e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.223565810950191568e-01-1.918606238673057351e-01j)	 (-4.244397515739497528e-01-3.456627352468537306e-03j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.150159367014661815e-01-1.908330207556105662e-01j)	 (-4.177134644769083804e-01+1.624144954841252181e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.069323020548523295e-01-1.909989020379374014e-01j)	 (-4.086398962307137839e-01+3.241591722701530481e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.980920625298094873e-01-1.918066684308774306e-01j)	 (-3.980564804790673317e-01+4.541372516723449909e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.886397225236357555e-01-1.928574164628330256e-01j)	 (-3.865762146742778849e-01+5.549648320343054247e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.786232101072845468e-01-1.939041924282910723e-01j)	 (-3.746819382576132007e-01+6.296560062313656669e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.680578556353465591e-01-1.947548738748657027e-01j)	 (-3.627282061547268399e-01+6.815607134211981721e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.571088828123113901e-01-1.952029268791421468e-01j)	 (-3.509058189624305601e-01+7.133594251127721442e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.458288453136586116e-01-1.951811684099767352e-01j)	 (-3.394163023178681238e-01+7.269335632164476702e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.343069931204143863e-01-1.946334319924843681e-01j)	 (-3.283708090071343344e-01+7.243929370565829751e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.225740688747152807e-01-1.934652293844859594e-01j)	 (-3.178537911765377810e-01+7.075331652472882649e-02j)
