Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.957118903461710246e+01-7.502464382522246922e+01j)	 (6.236540501583618834e+00+9.570090515809619092e+01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.254255687243443163e+01-7.531912908979516885e+01j)	 (5.369484466376273524e+00+1.046448566536582234e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.345138792355536594e+01-7.533262673850458668e+01j)	 (5.882434035010763118e+00+1.122188255881422663e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.314401670973627745e+01-7.427206891306488501e+01j)	 (6.785528187819973134e+00+1.182837009340234289e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.189331444431985929e+01-7.230054917226870259e+01j)	 (7.714558746321225513e+00+1.234198796368241773e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.057721443509677073e+01-6.973052698245001579e+01j)	 (8.420698278334521447e+00+1.280390328264217601e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.957359887870688198e+01-6.614946723008618790e+01j)	 (8.058944350033346637e+00+1.320498852452502092e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.835990509997932563e+01-6.225755322756164389e+01j)	 (7.623168025601807507e+00+1.361573416208333924e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.746731794607849864e+01-5.788835700102835347e+01j)	 (6.938756242265411878e+00+1.401669785895829534e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.674511289770500255e+01-5.333601883984790959e+01j)	 (5.937532331918792039e+00+1.442638248704949149e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.620293920997276871e+01-4.862735297905594933e+01j)	 (4.740981648622124567e+00+1.484444422409157767e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.581257507908173920e+01-4.382109446698760280e+01j)	 (3.396431155383390799e+00+1.527321204585083478e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.554359904363639444e+01-3.895775796186668316e+01j)	 (1.924547726514250101e+00+1.571181480083657789e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.536630453486759151e+01-3.406122827521534902e+01j)	 (3.432613699217731407e-01+1.616069747353294872e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.525305002921239250e+01-2.914344857529830790e+01j)	 (-1.322549435910326476e+00+1.662143715541042752e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.518011262028614183e+01-2.421039472431584016e+01j)	 (-3.061428386921960065e+00+1.709223793938889457e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.512826334736147160e+01-1.926168360959046311e+01j)	 (-4.876872080005835386e+00+1.757353194805675400e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.508177933688927652e+01-1.429362286445264552e+01j)	 (-6.767139308333611325e+00+1.806465264471683838e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.502800701083816648e+01-9.300271125412450601e+00j)	 (-8.725602154461675752e+00+1.856611685801521503e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.495700567942134640e+01-4.274715798882667173e+00j)	 (-1.073880986053177011e+01+1.907910432578166819e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.486168088140570021e+01+7.912201908182321386e-01j)	 (-1.282595872454574604e+01+1.960188418618237449e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (2.473647202742781559e+01+5.906244445241173757e+00j)	 (-1.499515567258256787e+01+2.013513490428892680e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.457737349211048894e+01+1.107868442632540429e+01j)	 (-1.723229884771163256e+01+2.068105591958905336e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.438229980910409012e+01+1.631740519595326333e+01j)	 (-1.954437259960907269e+01+2.123776338794158676e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.414998465769054903e+01+2.163120697500683676e+01j)	 (-2.195215779763942621e+01+2.180681531080982722e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (2.388013713180895436e+01+2.702841784602071584e+01j)	 (-2.446567096779049422e+01+2.238762276065932326e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.357356566110703255e+01+3.251729108446465233e+01j)	 (-2.708652896431452106e+01+2.298173897559287866e+02j)
