Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.980932146971611729e+01-1.137044073433354043e+02j)	 (-7.076006329597062106e+00+1.322935385371970085e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.700025264801736569e+01-1.195631214884427322e+02j)	 (-1.090024340980218298e+01+1.451663113957583846e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (5.000598613362065947e+01-1.261717432173721392e+02j)	 (-1.148978608098226317e+01+1.565655356218275926e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (4.979254969572872369e+01-1.314022427893556255e+02j)	 (-1.025960257782031881e+01+1.655550805510838188e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.623446585944671483e+01-1.348155862959792444e+02j)	 (-8.218483921976977413e+00+1.727446534422847435e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (4.155789744550329345e+01-1.369685135996348038e+02j)	 (-6.104038642143264859e+00+1.787019177599509305e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.772360756983768937e+01-1.361787417216896188e+02j)	 (-5.673667245843206253e+00+1.829044435404980504e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.263633617305696077e+01-1.339292313329762862e+02j)	 (-5.393123839525546970e+00+1.871127302773798817e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.878879872565897813e+01-1.300977634325525116e+02j)	 (-5.515402946430882025e+00+1.910507914676429380e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.547673839496967574e+01-1.255236520514211662e+02j)	 (-6.219923616818131329e+00+1.949903331927405361e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.291193418835577944e+01-1.203851123582698790e+02j)	 (-7.266287714331301828e+00+1.990102696018189761e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.103144550252612532e+01-1.149363835017894928e+02j)	 (-8.556429293587239471e+00+2.031747731559438819e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.973665719346614367e+01-1.093644449766186426e+02j)	 (-1.003816863069363308e+01+2.074804565957670377e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.892197923399889348e+01-1.037874508940549703e+02j)	 (-1.166697425450924008e+01+2.119412710363282883e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.848905911616184028e+01-9.826927753279338162e+01j)	 (-1.338843676561194762e+01+2.165853084956901284e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.834596609449166849e+01-9.284801893866672629e+01j)	 (-1.517151177260829442e+01+2.213822086999348642e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.842186321824740602e+01-8.753937645216309704e+01j)	 (-1.701288239797723634e+01+2.263369197443334713e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.865821588438340584e+01-8.234557764566562810e+01j)	 (-1.889892049100777882e+01+2.314355097582666758e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.900864149870886166e+01-7.725973588164184491e+01j)	 (-2.081082103822649287e+01+2.366828522014221790e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.943425245069576235e+01-7.226849410280350128e+01j)	 (-2.271704828878078430e+01+2.420917053055980830e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.990688283386532831e+01-6.736157944295777611e+01j)	 (-2.463931783656027008e+01+2.476325381300191850e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (2.040509840459021262e+01-6.252528442135248810e+01j)	 (-2.658134299642579634e+01+2.533119698709363377e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.091155524234618923e+01-5.774246228340214770e+01j)	 (-2.851032542094357680e+01+2.591535801548365043e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.141177757898082490e+01-5.300062534101151357e+01j)	 (-3.042641768536902802e+01+2.651260143215852167e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.189592657210296522e+01-4.828655503513535763e+01j)	 (-3.234835212519507053e+01+2.712474135548535514e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (2.235692796397395909e+01-4.358696846603779562e+01j)	 (-3.427999813820350283e+01+2.775016278604992976e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.278859820186345431e+01-3.888969463842491336e+01j)	 (-3.621020399894199926e+01+2.839039376809790269e+02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (2.318557318402742595e+01-3.418289713732480806e+01j)	 (-3.810541506640138465e+01+2.904696623863241030e+02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (2.354517658035627647e+01-2.945625631018227963e+01j)	 (-4.000574456505120224e+01+2.971777690980688362e+02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (2.386542068074013301e+01-2.469914268330114737e+01j)	 (-4.192173769316499943e+01+3.040457652597650053e+02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.414415891952338455e+01-1.990092904521561934e+01j)	 (-4.381376017994821126e+01+3.110989643344222486e+02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (2.438044286383071579e+01-1.505237968442683716e+01j)	 (-4.568974144312314678e+01+3.183064329452627135e+02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.457395080273226640e+01-1.014397562958200005e+01j)	 (-4.757307176075604360e+01+3.257030409955377763e+02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (2.472451834875993271e+01-5.166189531077843178e+00j)	 (-4.947560185452939407e+01+3.332721326148713388e+02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.483232822103289195e+01-1.100102925405820331e-01j)	 (-5.138389368263514001e+01+3.410392039766121002e+02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (2.489796991255563441e+01+5.033281765687559250e+00j)	 (-5.325635517851437584e+01+3.490175289685571443e+02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.492239580786554498e+01+1.027284850596836563e+01j)	 (-5.514710722795461351e+01+3.571988769999733222e+02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (2.490646877254741298e+01+1.561781344480441369e+01j)	 (-5.706907943814992024e+01+3.656155135345325675e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.485145387430718245e+01+2.107677046470335469e+01j)	 (-5.897611997380614213e+01+3.742932392554860144e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (2.475906577936173036e+01+2.665898393378247277e+01j)	 (-6.088321540028706380e+01+3.832025397765962111e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.463085862056732722e+01+3.237379284562727122e+01j)	 (-6.281653274572501289e+01+3.924008860849860412e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (2.446850654607290920e+01+3.822999205639556664e+01j)	 (-6.480000525730719119e+01+4.018784648102310371e+02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.427408518166219054e+01+4.423697460301032436e+01j)	 (-6.681724366087317435e+01+4.116755195809314500e+02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (2.405064327477649044e+01+5.040484587561547158e+01j)	 (-6.882183086635627944e+01+4.218045249478078631e+02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (2.380019932884853873e+01+5.674331843834271183e+01j)	 (-7.088462219879204440e+01+4.322829233167312282e+02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (2.352467993648697586e+01+6.326187822156208540e+01j)	 (-7.302158829442110743e+01+4.431701641785657557e+02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (2.322829794622024480e+01+6.997053272038507998e+01j)	 (-7.518667081664010254e+01+4.545012126123423855e+02j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (2.291431187120883095e+01+7.688067274882664037e+01j)	 (-7.740890204823907084e+01+4.662594484067599865e+02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (2.258564923330358809e+01+8.400273257838165364e+01j)	 (-7.972051981880271398e+01+4.785442803715264972e+02j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (2.224708593603534723e+01+9.134540866927298453e+01j)	 (-8.216767147796085169e+01+4.913763788919296189e+02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (2.190264062461960748e+01+9.891960035326451361e+01j)	 (-8.473740243145071815e+01+5.048321398094964820e+02j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (2.155849442338046629e+01+1.067388264747769142e+02j)	 (-8.739235419347829747e+01+5.189448506552735125e+02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (2.121912921606149638e+01+1.148120869332989997e+02j)	 (-9.023176918903213561e+01+5.337958457700792678e+02j)
