Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.167290095382495707e+01-1.193100177187440920e+02j)	 (-9.236899681189438382e+00+1.375154030676621062e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.973318002602471921e+01-1.260891261074018672e+02j)	 (-1.367169603518814647e+01+1.510018316854468026e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (5.329280404098820156e+01-1.339192735681561715e+02j)	 (-1.457939997946512101e+01+1.630741645515375353e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (5.324050823272550303e+01-1.404487583389928602e+02j)	 (-1.338358565785580900e+01+1.726530123520014115e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.927043893153327758e+01-1.450817259124895600e+02j)	 (-1.118411858733368724e+01+1.803088428725562267e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (4.384939505194169129e+01-1.483573667929368867e+02j)	 (-8.807730614407596192e+00+1.866065533092328792e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.931723340791221233e+01-1.482436238804410209e+02j)	 (-8.194665420717738513e+00+1.909056827111536450e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.324048845014213072e+01-1.463546066601249152e+02j)	 (-7.737395833850704285e+00+1.951723298157956776e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.861630165973953055e+01-1.425974714951151441e+02j)	 (-7.712285274580554351e+00+1.991261050377742663e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.461780638700544799e+01-1.379342007723728045e+02j)	 (-8.320620494957619684e+00+2.030507305964084992e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.151595014251814675e+01-1.325963003628887122e+02j)	 (-9.302692297213765116e+00+2.070470770064836756e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.923920175005082456e+01-1.268945500449300141e+02j)	 (-1.055117339702725587e+01+2.111895705348378272e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.766873012630802720e+01-1.210568310028427703e+02j)	 (-1.200786486751634108e+01+2.154775568161664978e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.667621089038798843e+01-1.152262811054387157e+02j)	 (-1.362290837810913580e+01+2.199278559960125961e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.614283426363120100e+01-1.094793802043440536e+02j)	 (-1.533597248753880926e+01+2.245714069371652784e+02j)
