Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.319274357233439332e+01-9.078642503404198294e+01j)	 (1.148236643412093416e+00+1.107443611564752928e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.754539031473161970e+01-9.315951886898902501e+01j)	 (-6.722348014473716882e-01+1.212055821375144973e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.901670094261151434e+01-9.547839750862536334e+01j)	 (-4.093668763889651285e-01+1.301565593488971331e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.860988536192721199e+01-9.647698261477887627e+01j)	 (7.126990193988692601e-01+1.371874059279072071e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.655691277830384678e+01-9.617363203403424166e+01j)	 (2.080808501763276919e+00+1.429467804890893774e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.420315418243007599e+01-9.502583509238196768e+01j)	 (3.278624862897226766e+00+1.479357859285949814e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.238539004786130704e+01-9.227567378968132061e+01j)	 (3.154985502453416135e+00+1.519472948429723829e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.008451248136055867e+01-8.890986676047459980e+01j)	 (2.925322751393655718e+00+1.560460352284989938e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.838507242980218237e+01-8.475210596883441383e+01j)	 (2.393619720861191347e+00+1.599962240917547831e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.696741284841044362e+01-8.026958683065726063e+01j)	 (1.453735793291036860e+00+1.640187319843473119e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.589106320028189856e+01-7.552133760274509200e+01j)	 (2.717377446065097346e-01+1.681321526041614334e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.511656205424850086e+01-7.061739270224913412e+01j)	 (-1.086930709913270565e+00+1.723716745752413715e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.459519976076268932e+01-6.563736590086075751e+01j)	 (-2.590549517402225721e+00+1.767288019869197058e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.427747364393575680e+01-6.063099490274383641e+01j)	 (-4.212026448628556352e+00+1.812103069857943467e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.411688303729912519e+01-5.562516759124650179e+01j)	 (-5.916300905359405782e+00+1.858357991385032051e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.407124038871147675e+01-5.063610761540261507e+01j)	 (-7.684954908226564463e+00+1.905825821386287373e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.410711042750722299e+01-4.566894368092507506e+01j)	 (-9.519004034176747453e+00+1.954549940581802900e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.419666757961504189e+01-4.072272328258985397e+01j)	 (-1.141233495053646863e+01+2.004436949620645976e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.431732080976535215e+01-3.579219312161791322e+01j)	 (-1.335366636138335217e+01+2.055537885444022947e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.445018246542525020e+01-3.086981255732042939e+01j)	 (-1.532270614640068906e+01+2.107975562931447655e+02j)
