f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.686257027264769004e-01-6.345082544890457976e-01j)	 (-2.594822042252002969e-01-1.376345454415506819e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (5.088982993658506260e-01-5.536631356744817767e-01j)	 (-3.252254619497231269e-01-1.984671152531648219e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.938848580752050133e-01-4.394658827436235260e-01j)	 (-4.160677321062824507e-01-2.195994303550805049e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.560873521894349913e-01-3.660872980096507856e-01j)	 (-4.957232724988382966e-01-1.974966645612966087e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.421667545494618823e-01-3.142356943194696273e-01j)	 (-5.463052783168518278e-01-1.517031553153638801e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.303018313326264721e-01-2.816530478302026741e-01j)	 (-5.806684158404156193e-01-9.747941561263628873e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.237819746867495185e-01-2.753675435577414565e-01j)	 (-5.967912966638874162e-01-5.609909305119337164e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.135431023435694686e-01-2.635325159298370634e-01j)	 (-5.991273825920091500e-01-1.154910354308938403e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.081870666910190848e-01-2.588676400505020014e-01j)	 (-5.966870601612506153e-01+2.417056875006526329e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.996143161808545452e-01-2.568874616061088134e-01j)	 (-5.886454980825023275e-01+5.640135737198528898e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.902951785257866790e-01-2.566252840466741736e-01j)	 (-5.771117458615977469e-01+8.401890663111651059e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.802158492914409438e-01-2.573743281881598621e-01j)	 (-5.632291864681709948e-01+1.074521371044953599e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.695717945477184019e-01-2.586140156444198257e-01j)	 (-5.478683315154911915e-01+1.270394434228706571e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.584240807866253764e-01-2.600448711234244481e-01j)	 (-5.317151929738308525e-01+1.431793143385677314e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.467845142427139704e-01-2.614609512581462791e-01j)	 (-5.152623098475872521e-01+1.563117380395160627e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.348631117994430528e-01-2.626034267922878751e-01j)	 (-4.987972037589178953e-01+1.668091522183418052e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.227255067249757636e-01-2.634220318825810647e-01j)	 (-4.826182820797439987e-01+1.749455573724063018e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.104769605326613502e-01-2.638777825414525546e-01j)	 (-4.669021341180000784e-01+1.810293041498750033e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.981378874856363215e-01-2.638922044426312286e-01j)	 (-4.517735090370582629e-01+1.853304418291933930e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.857524744873318423e-01-2.633995154858849719e-01j)	 (-4.372851212339251559e-01+1.881687938703920093e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.734516533689337558e-01-2.624125791983555889e-01j)	 (-4.235031117931662981e-01+1.896568654154939804e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.612271045015069293e-01-2.609410929472447682e-01j)	 (-4.104869147822362008e-01+1.899520439768922209e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.490614010441298487e-01-2.589717487052712874e-01j)	 (-3.982122302068552555e-01+1.892774090877810123e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (1.370978899728795553e-01-2.564660602196348616e-01j)	 (-3.866525619213061482e-01+1.877491518582006802e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.253193047034419916e-01-2.534746633889719547e-01j)	 (-3.758511925071795212e-01+1.854488804230887689e-01j)
