Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.151155431894050896e+00-2.912872546441889199e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.031647710459790312e+00-2.847858549466416589e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.583028144549354810e-01-2.521173476314039208e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (9.186048772594103129e-01-2.195830710028729982e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (8.984395882730880079e-01-1.879316935125403820e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (8.855035810713980382e-01-1.617769898568087172e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (8.814466302246792839e-01-1.505188148325107000e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.799169926737235858e-01-1.382290538763318866e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (8.813301438161850188e-01-1.318949189462998439e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (8.828124001160722045e-01-1.290162332613693508e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (8.843451388993193163e-01-1.290931897897141800e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (8.854238310385933453e-01-1.315043285488942393e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (8.857958612482734750e-01-1.358140362399152257e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (8.852406824443282973e-01-1.416202213252728548e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.835853073390190771e-01-1.484989247466332596e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.808608266694990530e-01-1.561390635707664842e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.770241822922556496e-01-1.643313435405459044e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.721218852185752546e-01-1.728744161978942873e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.661784876005198530e-01-1.815573108075214104e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.592162578372884996e-01-1.901498233448868092e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.513576156172408815e-01-1.986358694116848733e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.426450980211540598e-01-2.069353925144060413e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.331005710044170343e-01-2.148588141475404611e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (8.228714667174232833e-01-2.223868397807198805e-01j)
