Frequency [Hz]	d axis	q axis
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (5.048490165847636657e-01+5.156020144184188941e-02j)	 (4.951509834152362788e-01-5.156020144184188247e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (4.994818379331666391e-01+4.747047962562835760e-02j)	 (5.005181620668333053e-01-4.747047962562835066e-02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (4.938565623490154821e-01+4.345733461694768762e-02j)	 (5.061434376509844624e-01-4.345733461694769456e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (4.879671588581136477e-01+3.952410034735644173e-02j)	 (5.120328411418864079e-01-3.952410034735644173e-02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (4.818063548821819309e-01+3.566566112937061966e-02j)	 (5.181936451178179581e-01-3.566566112937061966e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (4.753686822785031518e-01+3.188318845439225280e-02j)	 (5.246313177214967371e-01-3.188318845439225974e-02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (4.686487363050275690e-01+2.818086333840893326e-02j)	 (5.313512636949724310e-01-2.818086333840894020e-02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (4.616315195455693021e-01+2.455642386583237538e-02j)	 (5.383684804544307534e-01-2.455642386583237538e-02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (4.543068536816009528e-01+2.100755729761542498e-02j)	 (5.456931463183990472e-01-2.100755729761542498e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (4.466692385431114132e-01+1.754069982424344074e-02j)	 (5.533307614568886423e-01-1.754069982424344074e-02j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (4.387021864272926952e-01+1.415291060295633535e-02j)	 (5.612978135727074713e-01-1.415291060295634055e-02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (4.303886661210600817e-01+1.084500936142496728e-02j)	 (5.696113338789399183e-01-1.084500936142496728e-02j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (4.217201436370407452e-01+7.615197240821327922e-03j)	 (5.782798563629591992e-01-7.615197240821328789e-03j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (4.126807728308969914e-01+4.465674022477679646e-03j)	 (5.873192271691030086e-01-4.465674022477678778e-03j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (4.032501143328179882e-01+1.404290991939298157e-03j)	 (5.967498856671819008e-01-1.404290991939295772e-03j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (3.934091950879874955e-01-1.576516246250321161e-03j)	 (6.065908049120124490e-01+1.576516246250321378e-03j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (3.831420614801402391e-01-4.479934720079346497e-03j)	 (6.168579385198595944e-01+4.479934720079346497e-03j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (3.724292144196644228e-01-7.290618139475803748e-03j)	 (6.275707855803356328e-01+7.290618139475805483e-03j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (3.612443020985993125e-01-1.001472849874058928e-02j)	 (6.387556979014006320e-01+1.001472849874058928e-02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (3.495612208906172524e-01-1.265244029103456715e-02j)	 (6.504387791093826365e-01+1.265244029103456368e-02j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (3.373705691220900138e-01-1.519666546250419970e-02j)	 (6.626294308779100417e-01+1.519666546250420490e-02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (3.246480139927848119e-01-1.764345209276710694e-02j)	 (6.753519860072152436e-01+1.764345209276711041e-02j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (3.113571052642910009e-01-1.997930581109912118e-02j)	 (6.886428947357088326e-01+1.997930581109912812e-02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (2.974851675273825213e-01-2.220658973476381803e-02j)	 (7.025148324726174787e-01+2.220658973476382497e-02j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (2.830257976037112155e-01-2.432406383944956882e-02j)	 (7.169742023962888400e-01+2.432406383944957923e-02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (2.679590462863987721e-01-2.629985068492329131e-02j)	 (7.320409537136011169e-01+2.629985068492328784e-02j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (2.522698066872247069e-01-2.812656614243692205e-02j)	 (7.477301933127751266e-01+2.812656614243691858e-02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (2.359628254804030101e-01-2.979300434215418833e-02j)	 (7.640371745195970732e-01+2.979300434215418833e-02j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (2.190790949055435866e-01-3.125935199113102220e-02j)	 (7.809209050944563302e-01+3.125935199113102220e-02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (2.016479132784572414e-01-3.250135904380330176e-02j)	 (7.983520867215430084e-01+3.250135904380330870e-02j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (1.836919573835858466e-01-3.347095171969598215e-02j)	 (8.163080426164142089e-01+3.347095171969598215e-02j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (1.653203181908887154e-01-3.413197388442949093e-02j)	 (8.346796818091115622e-01+3.413197388442948399e-02j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (1.466726615771195008e-01-3.445065921436525624e-02j)	 (8.533273384228804437e-01+3.445065921436524931e-02j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (1.278904329757608316e-01-3.434232551208574180e-02j)	 (8.721095670242390296e-01+3.434232551208573486e-02j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (1.091672371837532074e-01-3.374495060350733017e-02j)	 (8.908327628162466816e-01+3.374495060350732323e-02j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (9.075896394420472635e-02-3.262030773582801774e-02j)	 (9.092410360557954263e-01+3.262030773582802468e-02j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (7.305445880863288555e-02-3.085877979329405829e-02j)	 (9.269455411913671838e-01+3.085877979329405829e-02j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (4.094935989145601779e-02-2.542766662911415815e-02j)	 (9.590506401085440169e-01+2.542766662911415815e-02j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (2.739872306784470538e-02-2.173639293856229754e-02j)	 (9.726012769321550344e-01+2.173639293856229407e-02j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (1.597727327029560551e-02-1.745310687091141885e-02j)	 (9.840227267297042557e-01+1.745310687091142232e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (7.062483419312442882e-03-1.266397047469921405e-02j)	 (9.929375165806872960e-01+1.266397047469921405e-02j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.456979019804601729e-03-2.190932763059055648e-03j)	 (1.002456979019804795e+00+2.190932763059055648e-03j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (-2.858510724733046016e-03+3.209807620807228392e-03j)	 (1.002858510724732977e+00-3.209807620807228392e-03j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.891909634034638001e-04+8.463974168313270416e-03j)	 (1.000489190963403718e+00-8.463974168313268681e-03j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (1.169840978526180339e-02+1.796571414541793879e-02j)	 (9.883015902147382903e-01-1.796571414541793879e-02j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (2.089595293831094172e-02+2.205091830539496547e-02j)	 (9.791040470616889646e-01-2.205091830539496894e-02j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (4.368175413568895632e-02+2.868339275417887760e-02j)	 (9.563182458643110229e-01-2.868339275417888107e-02j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (5.656681564435722676e-02+3.124464491539673608e-02j)	 (9.434331843556427177e-01-3.124464491539673608e-02j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (7.004924938386125621e-02+3.336104649223917834e-02j)	 (9.299507506161388548e-01-3.336104649223917834e-02j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (8.393621996839339960e-02+3.505373571617304007e-02j)	 (9.160637800316067114e-01-3.505373571617303313e-02j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (9.798283007553572344e-02+3.641331056918886006e-02j)	 (9.020171699244641239e-01-3.641331056918885312e-02j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (1.258501370200976743e-01+3.818029302845833695e-02j)	 (8.741498629799023812e-01-3.818029302845833695e-02j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (1.394897485300612139e-01+3.869355248526847035e-02j)	 (8.605102514699386473e-01-3.869355248526847035e-02j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (1.657534714567365230e-01+3.915891364000877867e-02j)	 (8.342465285432635325e-01-3.915891364000877867e-02j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (1.783487819481974213e-01+3.913562266836066034e-02j)	 (8.216512180518025232e-01-3.913562266836065340e-02j)
 (5.050000000000000000e+01+0.000000000000000000e+00j)	 (7.977546012227568761e-01-3.877791572972174444e-02j)	 (2.022453987772430406e-01+3.877791572972175138e-02j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (7.755186792177262145e-01-3.806865341279531967e-02j)	 (2.244813207822737300e-01+3.806865341279532661e-02j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (7.650156096869014100e-01-3.762579360500372533e-02j)	 (2.349843903130985345e-01+3.762579360500372533e-02j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (7.549098703858216908e-01-3.709940501195951174e-02j)	 (2.450901296141783370e-01+3.709940501195951174e-02j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (7.451738233006308665e-01-3.653509049919392848e-02j)	 (2.548261766993691890e-01+3.653509049919391460e-02j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (7.268083931284254895e-01-3.527767263655157137e-02j)	 (2.731916068715745660e-01+3.527767263655157137e-02j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (7.098000754027258274e-01-3.387640839940904425e-02j)	 (2.901999245972741726e-01+3.387640839940905119e-02j)
 (5.550000000000000000e+01+0.000000000000000000e+00j)	 (7.017551221887436963e-01-3.312802780869816138e-02j)	 (2.982448778112561927e-01+3.312802780869816138e-02j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (6.865365389304979304e-01-3.155805529314778535e-02j)	 (3.134634610695020696e-01+3.155805529314779229e-02j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (6.723631559934166724e-01-2.991095299706579558e-02j)	 (3.276368440065833276e-01+2.991095299706579905e-02j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (6.656417427914310680e-01-2.906121788158574568e-02j)	 (3.343582572085689875e-01+2.906121788158574915e-02j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)	 (6.591461329284931114e-01-2.818879653764846602e-02j)	 (3.408538670715069441e-01+2.818879653764847296e-02j)
 (5.950000000000000000e+01+0.000000000000000000e+00j)	 (6.467817230724951516e-01-2.639957512451455990e-02j)	 (3.532182769275048484e-01+2.639957512451455643e-02j)
