f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.105513495538678947e-01-5.863668845700464871e-01j)	 (-2.399200516661903204e-01-1.275875738761161060e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.706118221206544439e-01-5.118488121217621423e-01j)	 (-3.003781819020099886e-01-1.840081315879594226e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.642311425298639938e-01-4.065044224641328752e-01j)	 (-3.838717628722244091e-01-2.039050820192602753e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.292289116736819565e-01-3.388079844259220819e-01j)	 (-4.570057837723409122e-01-1.839910050784012707e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.162500969333313927e-01-2.909621508133379275e-01j)	 (-5.033772187046543500e-01-1.423220234126948980e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.051785147012667787e-01-2.609931371991902060e-01j)	 (-5.347452279177331569e-01-9.300468657148022733e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.990606734964085245e-01-2.553559919360005592e-01j)	 (-5.491880889543937494e-01-5.554142356976177891e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.893943253737202292e-01-2.445929377797658733e-01j)	 (-5.510688909745912190e-01-1.532709713882701719e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.842435753441072688e-01-2.404312497589155551e-01j)	 (-5.485468583767747486e-01+1.676052808106423542e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.760546212156589907e-01-2.387671223451911795e-01j)	 (-5.409123799619693918e-01+4.553148735860684804e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.671251010174548468e-01-2.386809334055702836e-01j)	 (-5.301111558684801217e-01+7.000110591931064941e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.574413476995501271e-01-2.395106213293168307e-01j)	 (-5.172009874925878048e-01+9.057661963525831528e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.471849271780940660e-01-2.407710452297617543e-01j)	 (-5.029806515970705050e-01+1.075762919176137117e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.364133778083845616e-01-2.421791625688693439e-01j)	 (-4.880794224652647006e-01+1.213731559783292058e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.251392623741613752e-01-2.435350692847843834e-01j)	 (-4.729509733550962824e-01+1.323799710582017342e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.135602222200604916e-01-2.445967113256098946e-01j)	 (-4.578559105529159678e-01+1.409420780093666170e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.017381402035225424e-01-2.453120808998855429e-01j)	 (-4.430654264201345227e-01+1.473124318678266653e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.897735541010598936e-01-2.456407620989277119e-01j)	 (-4.287375475307850792e-01+1.517754989366804086e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.776889837376647574e-01-2.455039069052584733e-01j)	 (-4.149849534991987277e-01+1.545801022228512622e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.655292676952982989e-01-2.448334466987270863e-01j)	 (-4.018590513050242508e-01+1.560210160889152764e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.534182133998989173e-01-2.436405207477885249e-01j)	 (-3.894136447761745723e-01+1.561965339230969307e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.413516208881055447e-01-2.419281841688057932e-01j)	 (-3.777009278542297066e-01+1.552466926315907714e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.293190578583925388e-01-2.396738308044777388e-01j)	 (-3.667038309186012035e-01+1.533770564947509185e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (1.174583270193482187e-01-2.368416418005082902e-01j)	 (-3.563956681947430538e-01+1.506889807420190297e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.057562824068680463e-01-2.334705947376869706e-01j)	 (-3.468172671712403954e-01+1.472483566609797123e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (9.425161795218979510e-02-2.295935019436732560e-01j)	 (-3.379207690489264837e-01+1.431055882169063320e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (8.294667121666775278e-02-2.251741840645679338e-01j)	 (-3.297093465480194774e-01+1.383468198012872963e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.189357491750605900e-02-2.201707002750637743e-01j)	 (-3.221535058357193337e-01+1.331070362310077249e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (6.114098645253371322e-02-2.146344714796915021e-01j)	 (-3.152551621895901546e-01+1.273428085768212037e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (5.066939801065539761e-02-2.085560141170852977e-01j)	 (-3.090389922597888694e-01+1.210613313861001045e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (4.050631489688952258e-02-2.019043034847171347e-01j)	 (-3.034758873387322087e-01+1.143563074718915440e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (3.076911380428187792e-02-1.946809053611612828e-01j)	 (-2.985507293413505181e-01+1.072363329418360017e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.144964871543522666e-02-1.868871431602179001e-01j)	 (-2.943309821067968124e-01+9.968373676207566148e-02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (1.259523933514994365e-02-1.785512560840487317e-01j)	 (-2.907965172576017499e-01+9.166244714632426627e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (4.269250529066681565e-03-1.696281173609607840e-01j)	 (-2.880152340008664824e-01+8.320158729963236799e-02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (-3.388971466508544639e-03-1.601012336138041281e-01j)	 (-2.860336986583735253e-01+7.439906061445032692e-02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.030087415692455821e-02-1.500247288161095649e-01j)	 (-2.849412503762754900e-01+6.518463315114661483e-02j)
