f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.057241673436317808e-01-2.468226889324832696e-01j)	 (-1.046782737511537664e-01-5.981337912264028667e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (2.043344524068949619e-01-2.150665845227418549e-01j)	 (-1.281751925706288708e-01-8.687720866151105170e-02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (1.585835091730395385e-01-1.704996616315697100e-01j)	 (-1.604283536943802713e-01-9.931918254464937312e-02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (1.429597254961215980e-01-1.415522325201128973e-01j)	 (-1.877232601195699124e-01-9.575194551784227404e-02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.360019703911856670e-01-1.206277357858087929e-01j)	 (-2.040492781900404007e-01-8.407371057861656727e-02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.297918939477899214e-01-1.076531808438783572e-01j)	 (-2.137595081249969997e-01-7.040216522161241164e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.256575444798214702e-01-1.047807390638309938e-01j)	 (-2.156116143037373201e-01-6.213212871972215168e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.189991618211984625e-01-9.963024625503136278e-02j)	 (-2.133057248890876667e-01-5.415869678322627473e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.141282120345407103e-01-9.663460752806038445e-02j)	 (-2.090545220042578645e-01-4.985166679169259624e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.073779189604219531e-01-9.438561315803645213e-02j)	 (-2.030217156193691030e-01-4.809673709577395179e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (9.985086627401026926e-02-9.214061643620582998e-02j)	 (-1.960233337315338553e-01-4.905336154496818535e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (9.161691872318010466e-02-8.938628967408988879e-02j)	 (-1.886006768303720993e-01-5.263038629272603214e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (8.289823490292300145e-02-8.568235486791257738e-02j)	 (-1.811882714803232930e-01-5.885366607842792974e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (7.400389928409295548e-02-8.062702626715723131e-02j)	 (-1.742944712286940423e-01-6.776212896316637091e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (6.545668823219030763e-02-7.387730274247641948e-02j)	 (-1.686058068455593140e-01-7.931899053977298220e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (5.807916473826793546e-02-6.537554320397445662e-02j)	 (-1.649060276847858497e-01-9.330160130835046806e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (5.268467831450396321e-02-5.559982503424434896e-02j)	 (-1.640535405640199396e-01-1.090620456510026370e-01j)
