Frequency [Hz]	d axis	q axis
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (2.460962264919404063e+01+2.837539415456247838e+01j)	 (-5.779111628331595796e+01+3.566916298614534071e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.444104590927878107e+01+3.409772291796113564e+01j)	 (-6.005647089645300696e+01+3.653683497650196728e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (2.423847381067150408e+01+3.995665756295370130e+01j)	 (-6.235845673057291094e+01+3.742942644252232753e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.400394006476049569e+01+4.596136224170421514e+01j)	 (-6.472691349985824161e+01+3.835278743293077355e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (2.373997748488016768e+01+5.212008217952157452e+01j)	 (-6.718715505622699879e+01+3.930633461255423526e+02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.344937382535242421e+01+5.844193543511455147e+01j)	 (-6.972816444628138299e+01+4.029444826480367965e+02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (2.313618914052650766e+01+6.493711152168586409e+01j)	 (-7.231037137507638590e+01+4.131910820258187300e+02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (2.280323892074687819e+01+7.161448772015847908e+01j)	 (-7.500771731577708579e+01+4.238229297432769727e+02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (2.245328351920188936e+01+7.848241831309665884e+01j)	 (-7.784206562703717225e+01+4.349032252302091592e+02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (2.209215949712108085e+01+8.555018847505812118e+01j)	 (-8.077489995108489040e+01+4.464779764447803814e+02j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (2.172423742010387215e+01+9.282834970151633058e+01j)	 (-8.384226498377647374e+01+4.585377905531869942e+02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (2.135363048097031324e+01+1.003255713409985788e+02j)	 (-8.708682626896778345e+01+4.711891435432556250e+02j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (2.098712793230933471e+01+1.080481077027300927e+02j)	 (-9.056054116439020163e+01+4.844628443005402687e+02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (2.063009268326267787e+01+1.160046117193881514e+02j)	 (-9.426325986275480773e+01+4.984478810463440936e+02j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (2.029049524029751339e+01+1.242067227202205402e+02j)	 (-9.817220875186997375e+01+5.131971657321361135e+02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.997450594061940166e+01+1.326594053598608980e+02j)	 (-1.024001736653000165e+02+5.288032871194263862e+02j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (1.968743601124166176e+01+1.413664739581804781e+02j)	 (-1.069938648848264933e+02+5.454101819218171840e+02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (1.944072085418861562e+01+1.503349744148328853e+02j)	 (-1.119470528290264184e+02+5.631386890938007355e+02j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (1.924310140781173928e+01+1.595717816419602570e+02j)	 (-1.173524349259883905e+02+5.820622336119579359e+02j)
