f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (6.690860750595922779e-01-5.519546157715387036e-01j)	 (-2.259634918959151917e-01-1.204367416143134750e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.432805482463448854e-01-4.819407673974339668e-01j)	 (-2.826463345973305175e-01-1.737209568709136287e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.430673625529377935e-01-3.829084375681426344e-01j)	 (-3.608920874033574866e-01-1.927469179043147796e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.100588967822103803e-01-3.192612936254952127e-01j)	 (-4.293650201589091497e-01-1.744055722598110703e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.977458690142745779e-01-2.742669103091152638e-01j)	 (-4.727219893598353373e-01-1.356924957677740906e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.872326495477673935e-01-2.461538969352656259e-01j)	 (-5.019423118418604446e-01-8.989061278385582221e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.813920851126534006e-01-2.409655522482983814e-01j)	 (-5.151752816283865499e-01-5.523956246948324295e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.721226783344996569e-01-2.309540278466724883e-01j)	 (-5.167188763299641607e-01-1.813630381882503848e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.671046185629425418e-01-2.271348328262311200e-01j)	 (-5.141245369973497237e-01+1.134007516451228381e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.591742203196045202e-01-2.256777850189425061e-01j)	 (-5.067652482406739267e-01+3.762105663774321929e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.505055017583688870e-01-2.256962383706794806e-01j)	 (-4.964697619774040005e-01+5.982108940534693053e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.410848674634743782e-01-2.265596519079944304e-01j)	 (-4.842347234110176979e-01+7.833149977794026664e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.310838183489622166e-01-2.278077617376569053e-01j)	 (-4.708075338045126235e-01+9.345573621793813734e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.205573184778983897e-01-2.291687164577585756e-01j)	 (-4.567768863274030977e-01+1.055481028631589518e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.095185539618318882e-01-2.304462421920759618e-01j)	 (-4.425687759256684006e-01+1.150012261026702592e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.981562498910625081e-01-2.314096479011312490e-01j)	 (-4.284245070620464890e-01+1.221404726261040574e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.865296114409838446e-01-2.320047994330128038e-01j)	 (-4.145958339874836751e-01+1.272028828853224991e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.747358370080180912e-01-2.321893115140781783e-01j)	 (-4.012275588980197538e-01+1.304549163727812822e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.627991367552941993e-01-2.318829567455000240e-01j)	 (-3.884239266669084478e-01+1.321291220138288980e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.507652053788569035e-01-2.310146924268851598e-01j)	 (-3.762358010336772640e-01+1.325010411068455463e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.387528337090196684e-01-2.295929517537743103e-01j)	 (-3.647082457653257337e-01+1.316573413277754567e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (1.267612367177269883e-01-2.276141505325315340e-01j)	 (-3.538887556019905678e-01+1.297237714475576731e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (1.147860942826886277e-01-2.250467641757537551e-01j)	 (-3.437665415553853854e-01+1.268911079430008748e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (1.029620499262639544e-01-2.218545342900158368e-01j)	 (-3.343155834066360854e-01+1.232477641622018449e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (9.128039802111272139e-02-2.180646979189900247e-01j)	 (-3.255764520430812770e-01+1.188449919059799409e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.978388157486943078e-02-2.136999442266735438e-01j)	 (-3.175048914272641243e-01+1.137228009016163083e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (6.848441211503342174e-02-2.087145830555717507e-01j)	 (-3.101112850150027356e-01+1.079514237894619172e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (5.744460982743421207e-02-2.030570147104500123e-01j)	 (-3.033828581135800673e-01+1.016486321203127763e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (4.672045418567608022e-02-1.967650691570599630e-01j)	 (-2.973259602086569808e-01+9.475609283689920281e-02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (3.631283185541436809e-02-1.898121417169705838e-01j)	 (-2.919797546008396916e-01+8.726150306036754845e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.627831074531000732e-02-1.821500007012636368e-01j)	 (-2.873488845892598342e-01+7.924131037061837857e-02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (1.676028716326571910e-02-1.737706053432612752e-01j)	 (-2.834486042754915669e-01+7.068718683936896230e-02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.800181293099700541e-03-1.646557279421929365e-01j)	 (-2.803922555913796466e-01+6.156076525143550082e-02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (-4.926098358620928375e-04-1.548243094985007340e-01j)	 (-2.782207213744598007e-01+5.182108103441196434e-02j)
