Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.202706120637208498e+00-4.520899390360266779e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.010508930262801641e+00-4.350156944509335766e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.925504418355578728e-01-3.753205749209970743e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.274529826541289212e-01-3.155223786562557087e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (7.949494160692411882e-01-2.572177768125763486e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (7.740518238346644209e-01-2.055488689431890503e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (7.661094476064157499e-01-1.768224106343380397e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (7.654875040883274417e-01-1.461033577069731915e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (7.690174150630435523e-01-1.251829301106077152e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (7.741572270683690915e-01-1.091221189052196672e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.803751753906498223e-01-9.777314982147637668e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (7.868543723952949875e-01-9.031633395117411034e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (7.930859131601499801e-01-8.613603673960229523e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (7.986423377367465326e-01-8.466621765794804522e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.032090070884772004e-01-8.534086581732587551e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.067316364078092050e-01-8.768694359885297052e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.090791662250814698e-01-9.138910475884264029e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.102480771781686020e-01-9.613325848024023568e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.102231060725119116e-01-1.016162655732499032e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.090309029509314964e-01-1.075115432317587105e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.067694943921643880e-01-1.137326393411599024e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.034603354703045985e-01-1.201431111535486568e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (7.991483490547460766e-01-1.265138560550185531e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (7.939924087095792116e-01-1.327562290786805099e-01j)
