f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (6.110636829399582748e-01-5.037324218089526129e-01j)	 (-2.064533003898806618e-01-1.104705940924655683e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.050454970470808158e-01-4.399978533094663913e-01j)	 (-2.578504805955488810e-01-1.593905637409573917e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.134691257836380585e-01-3.497821092633329743e-01j)	 (-3.287515969453406184e-01-1.772174375938136426e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.832471166362474091e-01-2.917871775585634264e-01j)	 (-3.906941918022016069e-01-1.610947152601189813e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.718542737464975101e-01-2.507671628772109584e-01j)	 (-4.298189920959914478e-01-1.265375677908773255e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.621083932295990016e-01-2.252328252107998474e-01j)	 (-4.560181842323692836e-01-8.567704483615329325e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.566388327732874730e-01-2.206467300257483610e-01j)	 (-4.675401227698678941e-01-5.498916358886075245e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.479042457213629924e-01-2.116612451981905174e-01j)	 (-4.685907290692586935e-01-2.226750191297328929e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.430475809500401430e-01-2.082901967092137541e-01j)	 (-4.658707889468829966e-01+3.521788670080469932e-03j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.354518511489532839e-01-2.070881261446844979e-01j)	 (-4.588694559146848650e-01+2.628186701102425832e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.271175008373630400e-01-2.072132977282287736e-01j)	 (-4.492512485716123605e-01+4.526469869219416214e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.180309705293086986e-01-2.080783966974935340e-01j)	 (-4.379271290931598948e-01+6.083843395704552348e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.083494030578312006e-01-2.092570115070510051e-01j)	 (-4.255723059645847850e-01+7.328480489673330767e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.981240439055692859e-01-2.104917296718879505e-01j)	 (-4.127185442247485736e-01+8.293066627160491922e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.873691043996655869e-01-2.115898189175448030e-01j)	 (-3.997532417395642246e-01+9.013891782018676468e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.762606949251033783e-01-2.123349833626225203e-01j)	 (-3.868905484694681318e-01+9.520544934529803771e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.648543132754075602e-01-2.126679927780246726e-01j)	 (-3.743550466837511914e-01+9.834290170845040591e-02j)
