f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.935216131866766887e-01-6.551294846006113781e-01j)	 (-2.678728858509999422e-01-1.419511759661713501e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (5.253135978366427761e-01-5.715664195533749492e-01j)	 (-3.358811044787369804e-01-2.046809630390958312e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.066009015293452489e-01-4.535703046263792615e-01j)	 (-4.298733128555873861e-01-2.263474978788864722e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.676041811142735094e-01-3.777526044861321264e-01j)	 (-5.123225506568530596e-01-2.033106322562257262e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.532770074617823108e-01-3.241801649241392025e-01j)	 (-5.647061320846292753e-01-1.557535456001809260e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.410685389321697070e-01-2.904728918598635246e-01j)	 (-6.003493539933828504e-01-9.943156001390479615e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.343721979429557511e-01-2.839036204634797778e-01j)	 (-6.171880512854449607e-01-5.637839661824339821e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.238828648333577087e-01-2.716033827258926281e-01j)	 (-6.197141656450410041e-01-9.976058698891066001e-03j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.184329510990094314e-01-2.667159543134990929e-01j)	 (-6.173029633281972295e-01+2.729330460338288966e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (3.096891351934443204e-01-2.645927667140023920e-01j)	 (-6.090803555902373212e-01+6.099931851664794347e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (3.001956461083226668e-01-2.642466906703289653e-01j)	 (-5.972252902233274874e-01+8.995750614221505181e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.899386128575364152e-01-2.649516271940676182e-01j)	 (-5.829178203415634751e-01+1.146059263720004412e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.791194064367734651e-01-2.661716547256600118e-01j)	 (-5.670591487826019961e-01+1.352914458286532673e-01j)
