f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.290770424312769782e-01-3.516116457993714306e-01j)	 (-1.455050046667992480e-01-7.971372543668225896e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (2.852493628749177002e-01-3.072751847267290448e-01j)	 (-1.802918233297601813e-01-1.152542667816470329e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.208538146506298094e-01-2.445072077755053863e-01j)	 (-2.281463456477928475e-01-1.295740834335223080e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (1.993384286912089909e-01-2.040551263532797144e-01j)	 (-2.695142094805380584e-01-1.206454225417271098e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.906994213006527050e-01-1.752889517855834578e-01j)	 (-2.951997333767935605e-01-9.938679902627298168e-02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.831971997478071545e-01-1.575882368679115964e-01j)	 (-3.117359666921345474e-01-7.432705135222583692e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.786900987715344946e-01-1.545312363579419423e-01j)	 (-3.176768254222060994e-01-5.645853378955273394e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.713884972718823785e-01-1.483932747273733754e-01j)	 (-3.169301631559903742e-01-3.788477807017056470e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.667473711513505485e-01-1.459696654344217193e-01j)	 (-3.135237749158482634e-01-2.414450093372870823e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.598759315468396836e-01-1.450378598003575770e-01j)	 (-3.073199206815102613e-01-1.298121026960810317e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.522226884200096053e-01-1.448743882411465123e-01j)	 (-2.994605397735030650e-01-4.733625302808783242e-03j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.437744667036888746e-01-1.450063357908459860e-01j)	 (-2.905875763473643181e-01+8.721111320170523047e-04j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.346415679907772278e-01-1.450875930374604938e-01j)	 (-2.811476314584558933e-01+4.023388713832037888e-03j)
