f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (6.442147600430531140e-01-5.312950527457975802e-01j)	 (-2.175974057137754769e-01-1.161584440038687105e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.268895563483733335e-01-4.639765243467590672e-01j)	 (-2.720149986411375398e-01-1.675680682567636803e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.303774854929020233e-01-3.687259426759011971e-01j)	 (-3.471126730481572942e-01-1.860769233899943753e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.985639579899347362e-01-3.075038414750424498e-01j)	 (-4.127876321334573717e-01-1.686837502388532639e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.866471539388105727e-01-2.642155685328781423e-01j)	 (-4.543326734289143132e-01-1.317489766545248964e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.764650385911553432e-01-2.372108496861647930e-01j)	 (-4.822604703318242869e-01-8.806167160202715838e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.707861669674659355e-01-2.322847814258353627e-01j)	 (-4.947628321178479394e-01-5.510495281915790688e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.617492425480364426e-01-2.227171836925455062e-01j)	 (-4.960984199802571659e-01-1.987532602109459354e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.568041768343892195e-01-2.190951005498475435e-01j)	 (-4.934540765098401893e-01+8.025921297808137622e-03j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.490214982325919812e-01-2.177529816139016916e-01j)	 (-4.862524876585168077e-01+3.280359719593352319e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.405009178176596707e-01-2.178236349088441270e-01j)	 (-4.762521012575008372e-01+5.363129305606786218e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.312288666744944932e-01-2.186951997756750310e-01j)	 (-4.644128523147411647e-01+7.089055738402344486e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.213707358531578351e-01-2.199220905080101207e-01j)	 (-4.514512459306521674e-01+8.487570166374905356e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.109799145428795653e-01-2.212388585139816177e-01j)	 (-4.379315963079590812e-01+9.592948071694629153e-02j)
