f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.373303166555602139e-01-3.585546266473211285e-01j)	 (-1.482565359462822974e-01-8.108336480079471331e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (2.906754187985484128e-01-3.133534530781509897e-01j)	 (-1.837979939394647766e-01-1.172150423184999679e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.250421375926979772e-01-2.493512471385220253e-01j)	 (-2.326978476882492486e-01-1.316808738726930050e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.031330495701008654e-01-2.081133309981401114e-01j)	 (-2.750029801038220145e-01-1.224136426206701989e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.943752018331419418e-01-1.788027904666318890e-01j)	 (-3.013057141944352479e-01-1.005379139750530448e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.867787377324539588e-01-1.607607166710461888e-01j)	 (-3.182889148612560448e-01-7.474523435940115534e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.822373410413484773e-01-1.576542694644978981e-01j)	 (-3.244929114804705472e-01-5.627396084059298892e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.748821006037122872e-01-1.514083002692629132e-01j)	 (-3.238394400089016911e-01-3.703569317890012536e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.702447592516682096e-01-1.489682488781882141e-01j)	 (-3.204778359358180229e-01-2.272111029318878844e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.633555414351083035e-01-1.480556911889105987e-01j)	 (-3.142528767348270469e-01-1.099916020213223544e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.556882815785948226e-01-1.479433958067339350e-01j)	 (-3.063304918584862091e-01-2.225553441406879270e-03j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.472295748172894880e-01-1.481549969554930846e-01j)	 (-2.973646412300638420e-01+3.879602383863347582e-03j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.380916197047178662e-01-1.483430022428262607e-01j)	 (-2.878120849650818713e-01+7.510252360711829576e-03j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.283159382772659507e-01-1.482636827622250686e-01j)	 (-2.780352360054683669e-01+8.881269944892147827e-03j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.179275257917201114e-01-1.476962740741923630e-01j)	 (-2.683134092598045140e-01+8.227717952977086843e-03j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.070725927157278878e-01-1.464217084896715093e-01j)	 (-2.587872353802335157e-01+5.711098245454901585e-03j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (9.581386713670270172e-02-1.443006884738534668e-01j)	 (-2.496181331305765694e-01+1.406073838627138525e-03j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.426345661114653662e-02-1.411875423364565285e-01j)	 (-2.409104578786952500e-01-4.613991887518625878e-03j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (7.252158351078902276e-02-1.368742071616902423e-01j)	 (-2.327877662628520805e-01-1.232779584585837543e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (6.076422164693925931e-02-1.311210105048579710e-01j)	 (-2.254233647542886465e-01-2.171947679245701118e-02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (4.928402690587954660e-02-1.237375881808285699e-01j)	 (-2.190153307703576191e-01-3.295111441249044121e-02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (3.847973096940582316e-02-1.144985200901307565e-01j)	 (-2.139652365952489643e-01-4.616162926229288449e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.903228227018264662e-02-1.032795314754299115e-01j)	 (-2.109485051328122696e-01-6.128586352626899658e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.188497002533779795e-02-9.041715508302677895e-02j)	 (-2.107691804135823355e-01-7.793262583300650248e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.771881191350413443e-02-7.688659499858457869e-02j)	 (-2.141312537780109826e-01-9.511893145772189195e-02j)
