f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.621045137049210050e-01-3.793621549367195422e-01j)	 (-1.565255041612435283e-01-8.521369714758200709e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.069684208872917042e-01-3.315539604085048775e-01j)	 (-1.943313400864297713e-01-1.231316666529708725e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.376238683052122602e-01-2.638388471155794224e-01j)	 (-2.463691156959279538e-01-1.380457633021971997e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.145324107407020620e-01-2.202344757322952651e-01j)	 (-2.914847905075994561e-01-1.277717720579251703e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.054136194810221860e-01-1.892809341682525626e-01j)	 (-3.196347326977727610e-01-1.040546311629185483e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.975290108304869618e-01-1.702030880915942901e-01j)	 (-3.379534185127129886e-01-7.607485136978243967e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.928781009663197432e-01-1.669321946635472786e-01j)	 (-3.449402027707930141e-01-5.581141611433184518e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.853539121229360043e-01-1.603446670164341559e-01j)	 (-3.445582720913691332e-01-3.459714838358618483e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.807184486366030240e-01-1.578332505910943206e-01j)	 (-3.413215440797088829e-01-1.858168698996215049e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.737654703830635028e-01-1.569518625774127263e-01j)	 (-3.350228441779270483e-01-5.210332776860990278e-03j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.660447075829870611e-01-1.569604616745443604e-01j)	 (-3.268999946420725333e-01+5.108705313847294351e-03j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.575424262275601228e-01-1.573705608591204341e-01j)	 (-3.176433629476312359e-01+1.267165654908799025e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.483770207143432496e-01-1.578281530927368725e-01j)	 (-3.077406913527628851e-01+1.768976653516481090e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.385903287951938956e-01-1.580939511314949086e-01j)	 (-2.975775126078215593e-01+2.040030251659760707e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.282031042384669806e-01-1.579597624450921889e-01j)	 (-2.874458811168105754e-01+2.106515704157065072e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.173619744240881890e-01-1.572178647379683658e-01j)	 (-2.774930757857165808e-01+1.987597966902204111e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.061209914514054664e-01-1.557559951069164561e-01j)	 (-2.678818956473464352e-01+1.694274098106886978e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (9.457566549094731378e-02-1.534632031879972769e-01j)	 (-2.587060296823303074e-01+1.238314815145178174e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.278936384918011981e-02-1.501762938626224342e-01j)	 (-2.500582545111950106e-01+6.272308884632196366e-03j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (7.086977783806686082e-02-1.457113491208361089e-01j)	 (-2.420444337183595973e-01-1.308405750342300344e-03j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (5.899480641822801852e-02-1.399375726931155750e-01j)	 (-2.347501218746876894e-01-1.045615573941909363e-02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (4.734449851129937659e-02-1.326597818773822546e-01j)	 (-2.283630769862589061e-01-2.127503494638602680e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (3.625023903949026183e-02-1.236382970090586231e-01j)	 (-2.232090573746269568e-01-3.381176883882453660e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.631212436981694713e-02-1.127455473919198314e-01j)	 (-2.197466193750752805e-01-4.813176808251870553e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (1.827756883471159943e-02-1.001057694378485463e-01j)	 (-2.187489691446607432e-01-6.410127625667620677e-02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (1.296152634136527038e-02-8.640625499797119358e-02j)	 (-2.209418299720495860e-01-8.101703631853807153e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (1.066956256742891164e-02-7.283113831222259860e-02j)	 (-2.266174233104862601e-01-9.761099596803431144e-02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (1.089548555427177767e-02-6.050054638352810044e-02j)	 (-2.352253206800809793e-01-1.126314289370149158e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (1.270605071216460158e-02-4.991271678376230786e-02j)	 (-2.457682081647672712e-01-1.256828266228509350e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (1.532916070318719737e-02-4.102388400855608991e-02j)	 (-2.574827259300721538e-01-1.368065342761360659e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (1.828605971796226637e-02-3.359907957519659566e-02j)	 (-2.698616405724473255e-01-1.461130823445464799e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (2.130763824820286478e-02-2.737982231577741621e-02j)	 (-2.825294632362142511e-01-1.538978266109503057e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.423890800934278000e-02-2.213580228844152370e-02j)	 (-2.953846868422148608e-01-1.604169418653921264e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (2.700236696334885889e-02-1.769106770586328231e-02j)	 (-3.082759646130218134e-01-1.658842583900477230e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.955985998781021640e-02-1.389828721246430532e-02j)	 (-3.211655681430717335e-01-1.704009293396924474e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (3.189815173094298628e-02-1.063967607822438599e-02j)	 (-3.339979196709681464e-01-1.739982664161560943e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (3.400915210066393635e-02-7.828288802146317338e-03j)	 (-3.467501415781976681e-01-1.768867642011756336e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (3.588916845287662416e-02-5.393222706459144256e-03j)	 (-3.594419808975835018e-01-1.791493302670178478e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (3.754585387266867746e-02-3.274623651833508120e-03j)	 (-3.720496406149338409e-01-1.807512301154839129e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (3.898911306990220094e-02-1.419445962295005914e-03j)	 (-3.845161336097457361e-01-1.818092904149005706e-01j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (4.022180805703789996e-02+2.098473406843825995e-04j)	 (-3.969141011589628620e-01-1.823818642371835830e-01j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (4.125592750422651944e-02+1.641625597406097536e-03j)	 (-4.092046214774632262e-01-1.825467128081084411e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (4.209640749396123538e-02+2.906755816655087754e-03j)	 (-4.214029078968959396e-01-1.823002549997269073e-01j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (4.275251653707382027e-02+4.038155942216736793e-03j)	 (-4.334829100117211231e-01-1.816154467324005706e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (4.323151524799566381e-02+5.051402724156481283e-03j)	 (-4.454706637684490711e-01-1.806160773004423792e-01j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (4.353533417239463521e-02+5.959502139229848339e-03j)	 (-4.573994780246369851e-01-1.793243785862377593e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (4.367342081660269271e-02+6.781693992444229324e-03j)	 (-4.692526199300322554e-01-1.776884426527801097e-01j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (4.365316627164148033e-02+7.538733330683368428e-03j)	 (-4.810019516994578637e-01-1.757936578463376864e-01j)
