Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.209176850217210664e+00-4.820141955082449248e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.003266667781984367e+00-4.626811903343900911e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.769850400369677557e-01-3.976274529453995288e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.071837813410714935e-01-3.324535632126519036e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (7.724945916692220749e-01-2.689621088531816140e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (7.502591034284183946e-01-2.122877677667872331e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (7.417001086352756900e-01-1.800479833548142006e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (7.414593072567952081e-01-1.457129254179250766e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (7.455477327296461398e-01-1.219116870393247565e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (7.515701549520761304e-01-1.032544928082352875e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.588691846556079312e-01-8.966478540200722991e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (7.665655035955802887e-01-8.028500371952264347e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (7.740971103588080160e-01-7.446440569012091615e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (7.809946806102153749e-01-7.160360513267864657e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (7.869154050795620359e-01-7.110720260718815522e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (7.917866675964588818e-01-7.246962636980919248e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (7.954597896689388214e-01-7.535275635827946850e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (7.979213425516428204e-01-7.941861892439250337e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (7.991486902924833657e-01-8.434489686263441088e-02j)
