Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.171620475052090660e+00-3.455788791851703290e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.027752961988557479e+00-3.357931855230857354e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.393656744554776949e-01-2.943222853580778620e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.910697093514601264e-01-2.528789501173638321e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (8.666304266391064992e-01-2.124510114287658236e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (8.508655333064177873e-01-1.779342461346001547e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (8.453924474548996093e-01-1.610356233833943329e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.439612915042196128e-01-1.427063155115325666e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (8.459278135512808827e-01-1.316105029615972088e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (8.484470408052339208e-01-1.244215673712161935e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (8.513566287951525036e-01-1.207529661373102914e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (8.540508039677988661e-01-1.199172749850983266e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (8.561957149877644779e-01-1.214196749282443338e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (8.575042471803866473e-01-1.248054996930280935e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.577573611774742535e-01-1.296057240493284080e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.569597171685435777e-01-1.354569320698344737e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.550397629623446294e-01-1.421170008066121315e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.520277049715589968e-01-1.493493609494450092e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.479346166703840559e-01-1.569139086221034429e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.427836562183150804e-01-1.645498183060035702e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.366894347838517154e-01-1.722192091180521634e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.296867443267639253e-01-1.798244909319898222e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.218039834576864600e-01-1.871637343760820527e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (8.131924886775242500e-01-1.941953649990139918e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (8.038582420090922831e-01-2.009033047978759090e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.939117373759955187e-01-2.072633647774823895e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.833929148851129787e-01-2.132001564976516161e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.723485741071129951e-01-2.185948440263635606e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.608670952789446940e-01-2.235553102749076870e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.489712160305708188e-01-2.280828918061693911e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.366913233150775842e-01-2.320482114997580447e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.241401935696296643e-01-2.355141783778778863e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.112839203467024030e-01-2.385112626464805652e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (6.982111158673501849e-01-2.410695914669977180e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (6.849350458675389497e-01-2.431564367117334813e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (6.714880650412609064e-01-2.447003045653146358e-01j)
