Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.633027593777259057e+01-1.023481177266870787e+02j)	 (-2.878722444000091585e+00+1.216585462608414900e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.197909003716436160e+01-1.064184933288182719e+02j)	 (-5.614024021155038291e+00+1.333125691695121020e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (4.409470283716026273e+01-1.107600731485714505e+02j)	 (-5.698240412279746536e+00+1.434353066858597288e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (4.371152776541558183e+01-1.136900711718089099e+02j)	 (-4.479823228699560289e+00+1.513669442039751800e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (4.094299846650181252e+01-1.150345672717839989e+02j)	 (-2.771874362560422078e+00+1.577598314198461367e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.755248613465236218e+01-1.153278045038476165e+02j)	 (-1.142503767537996984e+00+1.631617087266692749e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.486536917816939507e+01-1.134284662989563088e+02j)	 (-1.022020249162487460e+00+1.672345041401118806e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.137746977656387415e+01-1.105630409545367456e+02j)	 (-1.031818130428368896e+00+1.713662407328873201e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.877217380389834744e+01-1.065704878154713668e+02j)	 (-1.390804181312926380e+00+1.752969750799991573e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.655832692354900360e+01-1.020836592474376090e+02j)	 (-2.239127096261924521e+00+1.792735261361354731e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.485716527380373364e+01-9.720645988387454395e+01j)	 (-3.374407068095361950e+00+1.833397890944758331e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.361898742051640099e+01-9.210772289995088613e+01j)	 (-4.715752999172891258e+00+1.875433854939600167e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.277485634814141591e+01-8.691135961584289760e+01j)	 (-6.221876968350790627e+00+1.918774215604517508e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.225268242941239905e+01-8.169582713335213953e+01j)	 (-7.857641854594899833e+00+1.963515426716027434e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.198483276858761215e+01-7.650397959321632868e+01j)	 (-9.579066027741546918e+00+2.009890979172591585e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.190855273354828370e+01-7.136204377331971216e+01j)	 (-1.136183927456917608e+01+2.057636113575144634e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.197485027687095638e+01-6.628027116423169218e+01j)	 (-1.320498725797446582e+01+2.106795977322922511e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.214294082474288672e+01-6.125971347407611489e+01j)	 (-1.509886748265961387e+01+2.157254995691577335e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.238000877364599361e+01-5.629498261613183985e+01j)	 (-1.702859983380819386e+01+2.209063227919884866e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.265835473988573767e+01-5.137665738037637198e+01j)	 (-1.896851083040224140e+01+2.262346426380931064e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.295808705225426039e+01-4.649596542930152765e+01j)	 (-2.093896780184684303e+01+2.316849574112302150e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (2.326367233082813257e+01-4.164171676712113879e+01j)	 (-2.294469216349816776e+01+2.372639890601098784e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.356200558180814753e+01-3.680101130128681319e+01j)	 (-2.495859714936910123e+01+2.429949784872463567e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.384307150535802222e+01-3.196336649060697610e+01j)	 (-2.698227801950767102e+01+2.488507418092340515e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.409971187204651244e+01-2.711754588693479562e+01j)	 (-2.903435418031162740e+01+2.548485436949402754e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (2.432644956935768832e+01-2.225224530330410744e+01j)	 (-3.111972724145729430e+01+2.609756014530174753e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.451892171568562162e+01-1.735693663842830148e+01j)	 (-3.323040085437848035e+01+2.672472447698853557e+02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (2.467368816056984926e+01-1.242162953604908893e+01j)	 (-3.533907513400882294e+01+2.736802463982947984e+02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (2.478903349192647809e+01-7.436432501695573016e+00j)	 (-3.748362370424352719e+01+2.802560072002733023e+02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (2.486362760227754620e+01-2.391467467395224311e+00j)	 (-3.967594271210020196e+01+2.869918249343877505e+02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.489638849106626495e+01+2.722488199116348095e+00j)	 (-4.188329660281961964e+01+2.939155896360402949e+02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (2.488743402110178593e+01+7.914559785836583927e+00j)	 (-4.411564699981241233e+01+3.010004115952914958e+02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.483708946994168798e+01+1.319393889979853540e+01j)	 (-4.639857087405882652e+01+3.082803154186329380e+02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (2.474582273581060221e+01+1.856944456924439280e+01j)	 (-4.874506743902041705e+01+3.157432728160173383e+02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.461473858289643957e+01+2.404981029149279337e+01j)	 (-5.114731831192914768e+01+3.234163946304839214e+02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (2.444579387666868442e+01+2.964378321440054620e+01j)	 (-5.357272166625686793e+01+3.313185174119900580e+02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.424054928765114170e+01+3.536028068480054287e+01j)	 (-5.607536662132009297e+01+3.394432817232622028e+02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (2.400061187404137542e+01+4.120783165829255523e+01j)	 (-5.867270304618347865e+01+3.478241648981021399e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.372913746410552704e+01+4.719462842565147298e+01j)	 (-6.132825162754071613e+01+3.564957196486357702e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (2.342895814494276863e+01+5.332998737707949743e+01j)	 (-6.406249811613005818e+01+3.654345619841599841e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.310287394002867956e+01+5.962254165368992176e+01j)	 (-6.690971720880217788e+01+3.747005007086176533e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (2.275468003044480625e+01+6.607958296691204225e+01j)	 (-6.989743093102778460e+01+3.842921047244515762e+02j)
