Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.218903798118125659e+00-5.411860752343615744e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (9.856949477890710742e-01-5.171004589257802708e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.429347417063979275e-01-4.411272217646766691e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (7.638547204679593250e-01-3.650266818143941827e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (7.249522286481540068e-01-2.910558764613666582e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (7.002124009206470712e-01-2.242309075374140370e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (6.905386929594691248e-01-1.847858782322321369e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (6.912600939767882258e-01-1.431173731418823869e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (6.966146577090783776e-01-1.134561426497108783e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (7.045807959880000526e-01-8.952410047200042020e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.142231025500404007e-01-7.139111974314207854e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (7.245345815289138125e-01-5.812378524598856705e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (7.348429302886640979e-01-4.900035483514168788e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (7.445927414050692583e-01-4.335271844276336606e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (7.533837237504144024e-01-4.052446170939666414e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (7.611046118484285916e-01-3.994332645241806951e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (7.675706665721834243e-01-4.122317446983824601e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (7.727482758130868046e-01-4.397595467888276710e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (7.766002607772908295e-01-4.783943660776499712e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (7.791580817517301805e-01-5.242588337593940412e-02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (7.805045231646923209e-01-5.760192733115877123e-02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (7.806518936684552212e-01-6.319380636574944976e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (7.796629505033907392e-01-6.894650368872719259e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (7.777027393047349912e-01-7.472836378860056583e-02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (7.747753715239449335e-01-8.048000905178458175e-02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.710050379775128526e-01-8.615780236962657102e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.664381693765658365e-01-9.164501854554917004e-02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.611720369711535428e-01-9.677728300761874458e-02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.552843438354142069e-01-1.016358246162156059e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.487850163447573593e-01-1.062045727533052208e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.417499905112459047e-01-1.103565575922657305e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.343114401572736760e-01-1.141055484316810531e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.264340805296872761e-01-1.174701539203862333e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (7.182106528029954529e-01-1.205003863448893264e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (7.096605057681096840e-01-1.231417843879515917e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (7.008662399921219421e-01-1.252996923272938490e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (6.918460174796753348e-01-1.270995189667860348e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (6.825790185098581375e-01-1.285536741823737616e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (6.731287546594032500e-01-1.295782440001089497e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (6.635833118687072263e-01-1.302290978997797111e-01j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (6.538776429556332204e-01-1.305280326296456295e-01j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (6.440679105667008741e-01-1.305456598415081770e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (6.341560521338128753e-01-1.302430120739207775e-01j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (6.242122920679024078e-01-1.295593103340877128e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (6.142122549813278098e-01-1.286099398036163743e-01j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (6.041191924823715587e-01-1.274039027783845646e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (5.939851916843089663e-01-1.258841650888632979e-01j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (5.838648948973877983e-01-1.241140438986507999e-01j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (5.736829796117509650e-01-1.221027042990714129e-01j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (5.634652094770139508e-01-1.199178061291618358e-01j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (5.532054757816128321e-01-1.175264676365066624e-01j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (5.429609947815314808e-01-1.148927715390031801e-01j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (5.326832809354425935e-01-1.121053045182443253e-01j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (5.223298743636696218e-01-1.091637743905213426e-01j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (5.119373798306074974e-01-1.060332485215034343e-01j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (5.015349188342956843e-01-1.027721263257734274e-01j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (4.910468425929275238e-01-9.937804002488929977e-02j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (4.804733716316933467e-01-9.590575364637182743e-02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (4.698014988501621469e-01-9.232869917179503672e-02j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (4.590684040907755392e-01-8.863187502981700883e-02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (4.482126061819675655e-01-8.487531789613565747e-02j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (4.371880601600536820e-01-8.105187013412668007e-02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (4.260060453122223589e-01-7.714464946778791521e-02j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (4.146697769925851151e-01-7.320440361887005365e-02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (4.031010905030693037e-01-6.922383023512641842e-02j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (3.912731256889148690e-01-6.524082771631595223e-02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (3.791552053977012560e-01-6.123860639973180420e-02j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (3.667459858943982187e-01-5.722091687384236319e-02j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (3.539668874141935206e-01-5.322488660310985276e-02j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (3.407545526386523416e-01-4.924342793820576936e-02j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (3.270688149644710996e-01-4.527474505890525386e-02j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (3.128640217896359599e-01-4.136521298281734677e-02j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (2.980381241464968856e-01-3.750296947296947320e-02j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (2.824878427054766661e-01-3.375775370932529440e-02j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (2.488887944536911367e-01-2.647225626991030201e-02j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (2.305384049170558780e-01-2.301592661807558629e-02j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (2.109822875142919330e-01-1.971064272165992323e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (1.900014331916905774e-01-1.658255216455468625e-02j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (1.427727325385258206e-01-1.100120280978419615e-02j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (1.158247697859312031e-01-8.638697540559682822e-03j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (8.614356883505883133e-02-6.667497111573187848e-03j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (1.609886520711637306e-02-4.050318359305441970e-03j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (-2.597388570166402066e-02-3.661521442143019726e-03j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (-1.306543093960523261e-01-5.507724055783060763e-03j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.973448999635969148e-01-8.282329347886550897e-03j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (-2.778882534430727747e-01-1.286393524759623513e-02j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (-3.776842499315766211e-01-1.990225832901466180e-02j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (-5.047677163713168991e-01-3.059420641690933917e-02j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (-9.064039278172592029e-01-7.084803614641442537e-02j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.254929528099932856e+00-1.100694105833845693e-01j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (-2.984952668561731581e+00-3.217910079109700394e-01j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (-6.435210689270300932e+00-7.604199450493234202e-01j)
 (5.050000000000000000e+01+0.000000000000000000e+00j)	 (7.339924695609549410e+00+1.025816619091308057e+00j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (2.738237190251060937e+00+4.445530557851169462e-01j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (2.160074276660652881e+00+3.760405511381538779e-01j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (1.811819981676241031e+00+3.367209712224750739e-01j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (1.578514611862236183e+00+3.124622010032344077e-01j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (1.283884206358625768e+00+2.859352095818078476e-01j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (1.104072869487571662e+00+2.741131939840834586e-01j)
 (5.550000000000000000e+01+0.000000000000000000e+00j)	 (1.037770577066127853e+00+2.712163353710953517e-01j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (9.339423060641811603e-01+2.691405215699593234e-01j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (8.558119072426899621e-01+2.704939498386232377e-01j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (8.233638608983070428e-01+2.720359870394600255e-01j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)	 (7.943272783232532275e-01+2.739621690363397977e-01j)
 (5.950000000000000000e+01+0.000000000000000000e+00j)	 (7.443135297602574418e-01+2.789282606393687636e-01j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (7.022803245501307856e-01+2.848930417954397831e-01j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (6.662609996224025943e-01+2.917411905150963936e-01j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (6.348341944728757014e-01+2.990751923191106165e-01j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (6.204586050527357566e-01+3.030158203225210567e-01j)
 (6.350000000000000000e+01+0.000000000000000000e+00j)	 (6.068945393960433199e-01+3.070362614869849294e-01j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (5.818616259231021992e-01+3.153272329280564223e-01j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (5.589105671422478494e-01+3.239490084105756673e-01j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (5.379514044469648759e-01+3.328130541825909949e-01j)
 (6.750000000000000000e+01+0.000000000000000000e+00j)	 (5.184243669265451437e-01+3.418816068713620981e-01j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (5.091618660541062935e-01+3.465242552745761428e-01j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (4.914362314031066603e-01+3.558967834175783551e-01j)
