f	lambda_1	lambda_2
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.004417854953700007e-02-1.550655375743111020e-01j)	 (-2.889892802815370310e-01+8.129462538717996400e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.604446555555801013e-02-1.448937037473329026e-01j)	 (-2.886621520018092246e-01+7.241119226769557327e-02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (-2.112636918950294707e-02-1.343448722282917784e-01j)	 (-2.892885557453190315e-01+6.332922354102336893e-02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (-2.521559814073119632e-02-1.235002939268252803e-01j)	 (-2.910348199936650393e-01+5.411905871001701507e-02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (-2.823476031080374149e-02-1.125379239084823707e-01j)	 (-2.939412920598765688e-01+4.487059817638340553e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (-3.010067821713142966e-02-1.016345435814298703e-01j)	 (-2.980971575405887419e-01+3.582391199335756282e-02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (-3.077516473033965749e-02-9.105554115377242907e-02j)	 (-3.034394717619940396e-01+2.732487920422130637e-02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (-3.039735298672091579e-02-8.103854083679769282e-02j)	 (-3.098813776398229303e-01+1.950117659058460406e-02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (-2.915105925964291134e-02-7.174161354519154044e-02j)	 (-3.173058467901458402e-01+1.251715154291653184e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (-2.724358906926746537e-02-6.329405612538589743e-02j)	 (-3.254315101844433844e-01+6.552606884672643184e-03j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (-2.488778528871550544e-02-5.574212184084517685e-02j)	 (-3.339766964460096355e-01+1.615805809564120708e-03j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (-2.228098456759035340e-02-4.902816419585291630e-02j)	 (-3.428367255925651169e-01-2.345802840267976423e-03j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (-1.958739644747339859e-02-4.308546407268694367e-02j)	 (-3.518363338916052907e-01-5.486630832150929046e-03j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.689819104202561206e-02-3.782731016595805573e-02j)	 (-3.608878888389880357e-01-7.837153190471974479e-03j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.427478060763023165e-02-3.318413708308114163e-02j)	 (-3.698317033477822036e-01-9.414640882676950789e-03j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.177655359804279100e-02-2.906587798303822412e-02j)	 (-3.786814481833050694e-01-1.039235667108083863e-02j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (-9.433725494919734111e-03-2.539247330223980137e-02j)	 (-3.874723025928017428e-01-1.083446255876868020e-02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (-7.263072542210903537e-03-2.211207734693844407e-02j)	 (-3.961194966964760034e-01-1.076674283024212780e-02j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (-5.271672325321122288e-03-1.917613112757668437e-02j)	 (-4.045672217685515881e-01-1.027469306775122791e-02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (-3.466227559568858807e-03-1.653113677118850378e-02j)	 (-4.128952165946601638e-01-9.393390123358661553e-03j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.854478020445415876e-03-1.414011295201027252e-02j)	 (-4.211058339462708244e-01-8.237825930207177613e-03j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (-4.311073260289746689e-04-1.196865896917012617e-02j)	 (-4.292061106077916244e-01-6.792849894102055523e-03j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (8.113620787521744204e-04-9.991201016426545789e-03j)	 (-4.371150727800412472e-01-5.054489692552472518e-03j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (1.871180969328513355e-03-8.179588728847012047e-03j)	 (-4.449133049538404050e-01-3.106844449467115535e-03j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (2.749647606872920869e-03-6.509428490232546660e-03j)	 (-4.526643068252820257e-01-9.505893057436137512e-04j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (3.451954624721725873e-03-4.964208780270443211e-03j)	 (-4.603192649859920160e-01+1.405198226101357336e-03j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (3.982910782117522752e-03-3.526568937126536851e-03j)	 (-4.678516561765689863e-01+3.910834500589352274e-03j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (4.342581250288170269e-03-2.179263215176058255e-03j)	 (-4.753422695576098311e-01+6.575717747912796819e-03j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (4.532461993976680259e-03-9.116127126751610854e-04j)	 (-4.828216959597858016e-01+9.325081207390244556e-03j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (4.554787956674931360e-03+2.901123071255007346e-04j)	 (-4.902983363322628296e-01+1.218736663601966211e-02j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (4.413322857426252299e-03+1.440453485869755412e-03j)	 (-4.977078200653983764e-01+1.515988900519942874e-02j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (4.106301460753442045e-03+2.548411200493497231e-03j)	 (-5.051380394472437807e-01+1.820109146880414044e-02j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (3.630638035010805287e-03+3.622462118118688346e-03j)	 (-5.126511974534555538e-01+2.133073230773597367e-02j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (2.987633661198703383e-03+4.673763201712269333e-03j)	 (-5.202219069207689728e-01+2.453250223825136078e-02j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (2.176056512138230259e-03+5.714228919177569144e-03j)	 (-5.278434690673130536e-01+2.776766915677847045e-02j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (1.187949290549050740e-03+6.752833453188139545e-03j)	 (-5.355816665246082575e-01+3.107958011173083540e-02j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (3.010246736410288060e-05+7.790232572217239970e-03j)	 (-5.435432154668279336e-01+3.431424587761923439e-02j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (-2.853971429035543489e-03+9.929316799607526556e-03j)	 (-5.600180026123097177e-01+4.098679460841703204e-02j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-4.587645154365813105e-03+1.104098027329909748e-02j)	 (-5.687382171894286298e-01+4.430313041889895331e-02j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (-6.536100893759888564e-03+1.220414187123483596e-02j)	 (-5.777727708662071526e-01+4.763499748404353973e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (-8.703487379749592218e-03+1.342555610442912328e-02j)	 (-5.872582891958690876e-01+5.091473914047298099e-02j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.379134770734233295e-02+1.609502460649718525e-02j)	 (-6.079653503258605207e-01+5.744772088560969048e-02j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (-1.673695028283753161e-02+1.759784668873749791e-02j)	 (-6.193841439789919967e-01+6.054737299411010881e-02j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.000579697254394052e-02+1.922506525375888148e-02j)	 (-6.317616319781133027e-01+6.361517738705925462e-02j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (-2.759777455781054975e-02+2.296053252908105552e-02j)	 (-6.604479488155678979e-01+6.939305635848388998e-02j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (-3.201581676194432263e-02+2.515731008358545323e-02j)	 (-6.773595678662651665e-01+7.202921749018026398e-02j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (-4.239279175315655013e-02+3.043470767103497593e-02j)	 (-7.190182819382634483e-01+7.666497372084056516e-02j)
