Frequency [Hz]	0.0+det[I + L(s)]
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (3.234285198473170198e-01-2.415731076467846627e-01j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (3.062624659313956110e-01-2.369039493490341930e-01j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (2.888571464649566378e-01-2.321490217294554792e-01j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (2.711511927614256856e-01-2.273079460641491134e-01j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (2.531152704487227845e-01-2.224387848785570332e-01j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (2.347260586759412626e-01-2.175556774260708481e-01j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (2.159119943831722122e-01-2.126136120764879345e-01j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (1.966196542057646879e-01-2.076848996371207512e-01j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (1.767680123056767638e-01-2.027889123192615772e-01j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (1.563306407764809558e-01-1.979074489480709409e-01j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (1.352238096104780574e-01-1.930594379188596554e-01j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (1.133111766177658380e-01-1.882610007764950188e-01j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (9.052690282524411547e-02-1.835500627115566608e-01j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (6.679983183932304558e-02-1.789507056649821681e-01j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (4.195869423955100874e-02-1.744323151585716880e-01j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (1.585239704887951226e-02-1.700605571498061963e-01j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.169198060008992679e-02-1.658857059353158470e-01j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (-4.078259839141377963e-02-1.618169611707130917e-01j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (-1.047644158698939482e-01-1.544067114731541013e-01j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (-1.401523575111726649e-01-1.510694095194002051e-01j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.783174971578728452e-01-1.481066275538762689e-01j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (-2.196473669085670377e-01-1.454587771476815450e-01j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-3.139688860322803476e-01-1.417118653819255947e-01j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (-3.686396513954151577e-01-1.405717266743603533e-01j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-4.293448969412183569e-01-1.403316522393592281e-01j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (-5.742073944652057449e-01-1.423735634843328601e-01j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (-6.622669940713511449e-01-1.451627395903075379e-01j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (-8.836666606268812618e-01-1.558358093431590208e-01j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (-1.025954939131171528e+00-1.647560605333514561e-01j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (-1.198763331775394958e+00-1.772040547582389158e-01j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.414104015503606870e+00-1.943345644769798319e-01j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.689609152116057000e+00-2.186190619068953678e-01j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (-2.565347842014658486e+00-3.034190084280447008e-01j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (-3.328659437828811907e+00-3.825885506514060119e-01j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (-7.130796256657658816e+00-7.974628834369155150e-01j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.472705453296035039e+01-1.645002167829825446e+00j)
 (5.050000000000000000e+01+0.000000000000000000e+00j)	 (1.562766188462459560e+01+1.784308162033602985e+00j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (5.499359738671977915e+00+6.584798618533028725e-01j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (4.230186925679106480e+00+5.228948853365584792e-01j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (3.467460087885741338e+00+4.434611889298183396e-01j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (2.957919186347014673e+00+3.929960977852647863e-01j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (2.317798960763900684e+00+3.343257634249565124e-01j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (1.930679115635953291e+00+3.039066397173165734e-01j)
 (5.550000000000000000e+01+0.000000000000000000e+00j)	 (1.789076013518176245e+00+2.944887525872311729e-01j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (1.569359446959186499e+00+2.827776946547610470e-01j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (1.406268807344389193e+00+2.775874180507370559e-01j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (1.339326498134664423e+00+2.766297039587967688e-01j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)	 (1.279894431405668165e+00+2.764230884096958718e-01j)
 (5.950000000000000000e+01+0.000000000000000000e+00j)	 (1.178761862602340615e+00+2.780999684258734228e-01j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (1.095341693223380597e+00+2.816500331584095296e-01j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (1.025188932878772663e+00+2.868158846248873295e-01j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (9.651943545747491138e-01+2.929150591127844261e-01j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (9.381757016244478553e-01+2.964294729702754427e-01j)
 (6.350000000000000000e+01+0.000000000000000000e+00j)	 (9.129424265465668764e-01+3.000976474535808070e-01j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (8.670612158537629455e-01+3.079089779704916596e-01j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (8.259502271004911522e-01+3.162530469407741074e-01j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (7.891539210251838909e-01+3.250622929769904079e-01j)
 (6.750000000000000000e+01+0.000000000000000000e+00j)	 (7.556338811255487453e-01+3.341974338053057547e-01j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (7.399844511331514774e-01+3.389395182454719713e-01j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (7.105272806740907665e-01+3.485674757336860718e-01j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (6.833020926809394435e-01+3.584919275238227510e-01j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)	 (6.579853759233430521e-01+3.686357552871010745e-01j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (6.343514394389154765e-01+3.789962357458543929e-01j)
 (7.250000000000000000e+01+0.000000000000000000e+00j)	 (6.230172503041784271e-01+3.842712541308720420e-01j)
 (7.350000000000000000e+01+0.000000000000000000e+00j)	 (6.014399798836559397e-01+3.948563870058391378e-01j)
 (7.450000000000000000e+01+0.000000000000000000e+00j)	 (5.810222914449721943e-01+4.056314473499266215e-01j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)	 (5.522076986272109744e-01+4.220173931315258642e-01j)
 (7.650000000000000000e+01+0.000000000000000000e+00j)	 (5.430176995640516591e-01+4.275820249638142001e-01j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)	 (5.340744512042205905e-01+4.331414402679331088e-01j)
 (7.850000000000000000e+01+0.000000000000000000e+00j)	 (5.083704959460845219e-01+4.499676889798872037e-01j)
 (7.950000000000000000e+01+0.000000000000000000e+00j)	 (4.919883755080032839e-01+4.613476995415175530e-01j)
 (8.050000000000000000e+01+0.000000000000000000e+00j)	 (4.762349989448738663e-01+4.727842613615139689e-01j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)	 (4.685878918697851114e-01+4.785020002710621556e-01j)
 (8.250000000000000000e+01+0.000000000000000000e+00j)	 (4.463073403231628822e-01+4.958215267123604053e-01j)
 (8.350000000000000000e+01+0.000000000000000000e+00j)	 (4.319462121736032945e-01+5.074773803605768796e-01j)
 (8.450000000000000000e+01+0.000000000000000000e+00j)	 (4.180263829153675337e-01+5.192039048108417765e-01j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (4.112037172170032728e-01+5.250853912508893773e-01j)
 (8.650000000000000000e+01+0.000000000000000000e+00j)	 (3.912126158694125833e-01+5.427847701003124525e-01j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)	 (3.718634594216913003e-01+5.606009308405860425e-01j)
 (8.850000000000000000e+01+0.000000000000000000e+00j)	 (3.655611841406570806e-01+5.665322954838327707e-01j)
 (8.950000000000000000e+01+0.000000000000000000e+00j)	 (3.531292390202954157e-01+5.784715148518190242e-01j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)	 (3.348811227866272944e-01+5.963921885874596818e-01j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)	 (3.229429598462678630e-01+6.084014767026857395e-01j)
 (9.250000000000000000e+01+0.000000000000000000e+00j)	 (3.170403151450882362e-01+6.144092405396043288e-01j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (2.995756976337694000e-01+6.324668524708784156e-01j)
 (9.550000000000000000e+01+0.000000000000000000e+00j)	 (2.824224147355431369e-01+6.505436629874820076e-01j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (2.767889078797357016e-01+6.565637834829629593e-01j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (2.655412547031487103e-01+6.686468416987304542e-01j)
 (9.850000000000000000e+01+0.000000000000000000e+00j)	 (2.488837400902618735e-01+6.867214905815806070e-01j)
 (9.950000000000000000e+01+0.000000000000000000e+00j)	 (2.378493586067834120e-01+6.987992932267863555e-01j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (2.323643702554611667e-01+7.048482059254121967e-01j)
 (1.015000000000000000e+02+0.000000000000000000e+00j)	 (2.159577276075941021e-01+7.229436211497690667e-01j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (1.996096677024045973e-01+7.410388713429726382e-01j)
 (1.035000000000000000e+02+0.000000000000000000e+00j)	 (1.941864620097602523e-01+7.470502957923157439e-01j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (1.778755873622481221e-01+7.651211456814812628e-01j)
 (1.065000000000000000e+02+0.000000000000000000e+00j)	 (1.615514048137638436e-01+7.831803006775871490e-01j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (1.560880651188948642e-01+7.891841153099916628e-01j)
 (1.085000000000000000e+02+0.000000000000000000e+00j)	 (1.396542884388608796e-01+8.072235870349919740e-01j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (1.230773154710617656e-01+8.252579561276491837e-01j)
 (1.105000000000000000e+02+0.000000000000000000e+00j)	 (1.175245730707994429e-01+8.312766123390751272e-01j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)	 (1.007197146647334784e-01+8.492966338642180535e-01j)
 (1.135000000000000000e+02+0.000000000000000000e+00j)	 (8.372541567973412757e-02+8.673430394677345001e-01j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)	 (7.800442540420891857e-02+8.733681983951554484e-01j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)	 (5.478628398525972609e-02+8.975014251412406496e-01j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)	 (4.297221476278346997e-02+9.095781263191263788e-01j)
 (1.175000000000000000e+02+0.000000000000000000e+00j)	 (3.702004862569416299e-02+9.156301344526706076e-01j)
 (1.195000000000000000e+02+0.000000000000000000e+00j)	 (1.276582726759160555e-02+9.399721305646051572e-01j)
 (1.205000000000000000e+02+0.000000000000000000e+00j)	 (3.752993365670334656e-04+9.522168409560347602e-01j)
 (1.215000000000000000e+02+0.000000000000000000e+00j)	 (-1.220275661091285713e-02+9.645014002134332243e-01j)
 (1.235000000000000000e+02+0.000000000000000000e+00j)	 (-3.793544546793516797e-02+9.892857444512205278e-01j)
 (1.240000000000000000e+02+0.000000000000000000e+00j)	 (-4.449747279138127620e-02+9.955534242397710010e-01j)
 (1.255000000000000000e+02+0.000000000000000000e+00j)	 (-6.452588792433242015e-02+1.014434165918734587e+00j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)	 (-8.508162732425705865e-02+1.033532941972036268e+00j)
 (1.275000000000000000e+02+0.000000000000000000e+00j)	 (-9.204894637943811242e-02+1.039974771915852081e+00j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)	 (-1.278155969775660594e-01+1.072667168251608460e+00j)
