Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.206075423396337998e+00-4.670802603228991767e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.007016432148696294e+00-4.488864308583086493e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.848893865501541445e-01-3.865204300677620441e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.174346594245586184e-01-3.240416897057475931e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (7.838317002951078472e-01-2.631480635192550155e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (7.622580162021780348e-01-2.089822624331785783e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (7.540023921930758544e-01-1.785065824347233931e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (7.535626898232671289e-01-1.459837535498635097e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (7.573656451610852880e-01-1.236270193352598940e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (7.629393249573680480e-01-1.062714366959885415e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.696902675496074542e-01-9.380467331257208441e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (7.767704873482392802e-01-8.538810875244136345e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (7.836447023622896690e-01-8.038858741302895572e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (7.898646185464847091e-01-7.822348063028733423e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (7.951015593053245567e-01-7.831217648215352267e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (7.992921569240228896e-01-8.016543771180206779e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.022965766963631173e-01-8.345663410386584824e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.041063597601350033e-01-8.785982974955865166e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.047025480972949119e-01-9.306236133601042404e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.041124769707543862e-01-9.872776080656962827e-02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.024316984205727143e-01-1.047620954476309318e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (7.996799966303826945e-01-1.110229601252153558e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (7.959050315621377658e-01-1.172771013258166461e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (7.912667239372174199e-01-1.234288764525734022e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (7.857686043148912614e-01-1.294371066004292026e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.795286197761244207e-01-1.352666220820098741e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.725895859577993630e-01-1.408170737212770252e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.650282930397216408e-01-1.459419785342192522e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.569261910476874355e-01-1.507338037026370037e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.482970946689980751e-01-1.551834517938577296e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.391982343248726384e-01-1.591629401599259919e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.297543357575748679e-01-1.627054387529326407e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.199296622518269739e-01-1.658344055278832274e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (7.098147766051936536e-01-1.685923280511669731e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (6.994260988169699322e-01-1.709329652761105156e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (6.888264714308643955e-01-1.727704958271620572e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (6.780401526661755662e-01-1.742336705754572168e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (6.670535999634517044e-01-1.753372065486864251e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (6.559140175772902870e-01-1.759909003050207921e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (6.447016819715362113e-01-1.762644261666994339e-01j)
