f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.437337464974682621e-01-6.138808413945948672e-01j)	 (-2.510954768305909135e-01-1.333240978998158077e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.924868999327345342e-01-5.357500273739467245e-01j)	 (-3.145737184583854984e-01-1.922630918888751927e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.811729972856694459e-01-4.253489030491051093e-01j)	 (-4.022663340215827943e-01-2.128639206430368858e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.445739904125281750e-01-3.544071995697370969e-01j)	 (-4.791274614887552907e-01-1.916974888298003110e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.310582692229069313e-01-3.042741036105913177e-01j)	 (-5.279061921348394693e-01-1.476698851347564845e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.195348552650381091e-01-2.728135185232760107e-01j)	 (-5.609872092194033710e-01-9.554695648863381630e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.131890761173862781e-01-2.668084201208500428e-01j)	 (-5.763918667291731968e-01-5.584283601529657637e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.031977404626874373e-01-2.554353086230650161e-01j)	 (-5.785350001478835047e-01-1.314848889800421250e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.979321990665032560e-01-2.509890646139512627e-01j)	 (-5.760621737777789075e-01+2.101757172319390632e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.895267403270967987e-01-2.491476087259003602e-01j)	 (-5.681978837336003618e-01+5.176884845500787091e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.803777292487127926e-01-2.489645314210105487e-01j)	 (-5.569812198053296637e-01+7.804096111800921942e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.704714241020776955e-01-2.497522875271060705e-01j)	 (-5.435188909715110706e-01+1.002536061818441182e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.599973568726128836e-01-2.510055565160430602e-01j)	 (-5.286506884623300984e-01+1.187366209699514535e-01j)
