Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.188804037966476379e+00-3.991797739824495816e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.020706701922894588e+00-3.858697986911829858e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (9.174482169156852329e-01-3.353900277879422465e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.606857444830330328e-01-2.848587193351582170e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (8.321337025711577073e-01-2.355463725287778309e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (8.137149475608399518e-01-1.925248724967269787e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (8.069467199154785053e-01-1.698034886506701868e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (8.058181286424208611e-01-1.453310834550796682e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (8.084902373002337272e-01-1.293731733496998604e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (8.122286497893328461e-01-1.177901959191662712e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (8.166999742922625982e-01-1.103129528145643107e-01j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (8.211943177533659322e-01-1.061879434525249549e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (8.252923989583897946e-01-1.048603417614733524e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (8.286381322778593184e-01-1.058208318039197127e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.309652610939606276e-01-1.085530377395593216e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.322499870813134804e-01-1.126395587458632053e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.323914242732866065e-01-1.178029212127110620e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.314031022914233349e-01-1.237689750435603253e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.292828228277147051e-01-1.302668935440129405e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.260552045895296347e-01-1.370037249349608799e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.218267277088261435e-01-1.439181324278771268e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.166251568098140678e-01-1.508937304783705968e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.104865761411291780e-01-1.577154150119080001e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (8.035661360082431148e-01-1.643184947650008498e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (7.958682339087271851e-01-1.706765184385704293e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.875062403407350198e-01-1.767608817645437425e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.785209129721236687e-01-1.824854639051074201e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.689717513912495139e-01-1.877194816790221377e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.589439622557213605e-01-1.925644621540062718e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.484559702649413726e-01-1.970172865279755936e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.375494391175135833e-01-2.009491535299535447e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.263423779748146014e-01-2.044101585131436749e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.147996929533062538e-01-2.074278168964309166e-01j)
