f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (5.862095378038758575e-01-4.830462893622489151e-01j)	 (-1.981043840881983320e-01-1.062188659029830728e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.886715701812157864e-01-4.219912916828296723e-01j)	 (-2.472362096714623703e-01-1.532799937027690129e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.007977625420267254e-01-3.355452242550919784e-01j)	 (-3.149906964085649186e-01-1.706018331954928247e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.717679589364477843e-01-2.799652883999881325e-01j)	 (-3.741325848692257372e-01-1.554373302472839280e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.607644335724630946e-01-2.406407751046393262e-01j)	 (-4.114385510664997359e-01-1.226690946739628085e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.513413081824589779e-01-2.162028145435021531e-01j)	 (-4.363368686318053191e-01-8.393506707252137988e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.460234116818809658e-01-2.118631822926652364e-01j)	 (-4.471181703131101859e-01-5.495733084915527256e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.375091030435463602e-01-2.033056472937832260e-01j)	 (-4.479485658281981975e-01-2.412527786552324041e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.327111559382921135e-01-2.001124465714312906e-01j)	 (-4.451643451761787551e-01+6.961694197749578039e-05j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.252471205693308831e-01-1.990036564963851839e-01j)	 (-4.383046868399180784e-01+2.130474132595615994e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.170428237453133069e-01-1.991561900471912616e-01j)	 (-4.289634947003685417e-01+3.889039812371290761e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.080846895381473494e-01-2.000007898668275108e-01j)	 (-4.180149777947020362e-01+5.318433686478206412e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.985235851578369126e-01-2.011250288505096739e-01j)	 (-4.061032826865349499e-01+6.445845891564958019e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.884091119247474910e-01-2.022770186022290195e-01j)	 (-3.937357261595013092e-01+7.302719099951035520e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.777560006530537751e-01-2.032647068845729321e-01j)	 (-3.812832445826930816e-01+7.923985506952092861e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.667349162585261002e-01-2.038770917842899766e-01j)	 (-3.689483111057679232e-01+8.337883259169516503e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.553998298690106861e-01-2.040515410398196505e-01j)	 (-3.569439250752871051e-01+8.564508946086647756e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.438415941135112175e-01-2.037369038869509819e-01j)	 (-3.453887729240654458e-01+8.626424478755465031e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.320888903481137189e-01-2.028442999926631241e-01j)	 (-3.343713205598881077e-01+8.543040516246423743e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.201913371461703073e-01-2.012894550042550468e-01j)	 (-3.239435568911795404e-01+8.337336226375988146e-02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.082591552853648664e-01-1.990666809484230582e-01j)	 (-3.141345287017323074e-01+8.014782331980992158e-02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (9.630218389540048940e-02-1.961477426987651429e-01j)	 (-3.049861266159423212e-01+7.583958851827343750e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.433602160372988266e-02-1.924692291599795491e-01j)	 (-2.965078173014025209e-01+7.059580908117457643e-02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (7.249751930576309178e-02-1.879778152860631379e-01j)	 (-2.886834373960895928e-01+6.446282701959915595e-02j)
