Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (3.369128501948770094e+01-9.272827816394585909e+01j)	 (4.892233893944901157e-01+1.125841100516933437e+02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.824373075437165426e+01-9.537687165634034159e+01j)	 (-1.471735972454183639e+00+1.232415553818685225e+02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.980751790936226797e+01-9.801554414699019446e+01j)	 (-1.256551147751443720e+00+1.323799878157433909e+02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.939705528587409589e+01-9.931182966182500138e+01j)	 (-1.136138956666306876e-01+1.395502756320395292e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.723103242715604466e+01-9.925719847354704939e+01j)	 (1.310939758305891045e+00+1.454047434661708849e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.472071263917293038e+01-9.832461626851555536e+01j)	 (2.576930654133943843e+00+1.504537611271432809e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.277500879792073363e+01-9.570100038153854882e+01j)	 (2.489797370348437511e+00+1.544714229484892485e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.030095625911761203e+01-9.241161535724378950e+01j)	 (2.292486853482193165e+00+1.585730541054740570e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.847057342745156916e+01-8.828122277962370390e+01j)	 (1.785712955049457262e+00+1.625183654809853806e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.693840083960485998e+01-8.380223225064928272e+01j)	 (8.580082458165585457e-01+1.665326180247818399e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.577259358051028215e+01-7.903962794768133904e+01j)	 (-3.186610998601538958e-01+1.706380395006366371e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.493212091343530901e+01-7.411180122069566778e+01j)	 (-1.676392203739094811e+00+1.748716523509131946e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.436538121145408908e+01-6.910470168012011527e+01j)	 (-3.181953206974205806e+00+1.792251242862146512e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.401967346105000800e+01-6.407221509089950473e+01j)	 (-4.806990686954471848e+00+1.837056266134206908e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.384548236656465647e+01-5.904357526703830672e+01j)	 (-6.515045295467825959e+00+1.883333336984020434e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.379766768241043451e+01-5.403653238334685938e+01j)	 (-8.286764964272176570e+00+1.930849303018513865e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.384055005988767917e+01-4.905701879819240219e+01j)	 (-1.012284878176527592e+01+1.979647708756164945e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.394441706277572379e+01-4.410443621120063540e+01j)	 (-1.201661789911375067e+01+2.029631577113336220e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.408516780581251737e+01-3.917356668846606027e+01j)	 (-1.395620544983650291e+01+2.080851808648086205e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.424259043145778847e+01-3.425666181133506427e+01j)	 (-1.592044644614613524e+01+2.133431764135650326e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.440221918338743023e+01-2.934543032483610858e+01j)	 (-1.792892138997300222e+01+2.187147732250398349e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (2.455256156862765238e+01-2.442992908086434412e+01j)	 (-1.998731744074312289e+01+2.242067441402562622e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.468384188208405305e+01-1.949957267011775386e+01j)	 (-2.207314462438384339e+01+2.298419186310448197e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.478918217032907734e+01-1.454480391568291786e+01j)	 (-2.418952092266224696e+01+2.355963074797246293e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.486348633993915058e+01-9.555487263116482666e+00j)	 (-2.635534185625921211e+01+2.414865063602396447e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (2.490281087497811541e+01-4.521553961625510709e+00j)	 (-2.857680478492758880e+01+2.475023182354963467e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.490439219183068786e+01+5.665803196507669393e-01j)	 (-3.084885973593544861e+01+2.536590876354571549e+02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (2.486656397368227189e+01+5.718041756798310615e+00j)	 (-3.314968959405016591e+01+2.599746508401482856e+02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (2.478856157604971600e+01+1.094230676697233839e+01j)	 (-3.551616596944322879e+01+2.664324228729390143e+02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (2.466994471983487003e+01+1.624857681859689862e+01j)	 (-3.796197047875582342e+01+2.730496178199499013e+02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (2.451116315913011334e+01+2.164525748430924068e+01j)	 (-4.046069130893263832e+01+2.798562267313325833e+02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (2.431342207606481054e+01+2.714136167046043724e+01j)	 (-4.302497114950170243e+01+2.868286488918773216e+02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (2.407808100355197567e+01+3.274559985290486708e+01j)	 (-4.568322596177677752e+01+2.940004708028837399e+02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (2.380698419312893677e+01+3.846588731003588890e+01j)	 (-4.845064342675576796e+01+3.013636886134680708e+02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (2.350258273210382143e+01+4.431039499195987474e+01j)	 (-5.132524018022058954e+01+3.089470371196627525e+02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (2.316858222407149626e+01+5.028774450491465586e+01j)	 (-5.428336692091421867e+01+3.167742072105410216e+02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (2.280784719346430478e+01+5.640582383728852278e+01j)	 (-5.738083211700671882e+01+3.248409060838950495e+02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (2.242347591788375993e+01+6.267169553578710861e+01j)	 (-6.064049813700390956e+01+3.331822565233787259e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (2.202121361128691390e+01+6.909249882067040005e+01j)	 (-6.403605276366988619e+01+3.418409628925642210e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (2.160560761803202467e+01+7.567653147140958936e+01j)	 (-6.759499675187954892e+01+3.507994172137769624e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (2.118149411628640166e+01+8.243028641978237658e+01j)	 (-7.136085679146445671e+01+3.601205150596487101e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (2.075566519629021656e+01+8.935806619378089977e+01j)	 (-7.536674417660115921e+01+3.698114615640371881e+02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.033413560790843633e+01+9.646544885656874158e+01j)	 (-7.962062017766623967e+01+3.799277786380396833e+02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (1.992493913027531249e+01+1.037599801149109453e+02j)	 (-8.410753961101652010e+01+3.905116394211912620e+02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (1.953458472478254038e+01+1.112442091719593975e+02j)	 (-8.891501982182379038e+01+4.015921365139171826e+02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (1.916911331950737818e+01+1.189188989484346308e+02j)	 (-9.408613973846199485e+01+4.132457145364220992e+02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (1.883935965862136541e+01+1.267867144229764307e+02j)	 (-9.961047422850914757e+01+4.255532842067760839e+02j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (1.855309093257060127e+01+1.348507863802554709e+02j)	 (-1.055510744502601597e+02+4.385286797341719307e+02j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (1.831722794648427310e+01+1.431089306500743703e+02j)	 (-1.119869533301780393e+02+4.523013384896934213e+02j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (1.814266805307417485e+01+1.515546539469152663e+02j)	 (-1.189929906863770839e+02+4.669355820160241137e+02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (1.803588295688241061e+01+1.601844589682078208e+02j)	 (-1.266139772274640194e+02+4.825583570373019029e+02j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (1.800639868721943415e+01+1.689985634829276080e+02j)	 (-1.348818879760229379e+02+4.992811859921521318e+02j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.806017014284772415e+01+1.779853841965649508e+02j)	 (-1.439572154508206268e+02+5.172289550926465154e+02j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (1.819963165741676292e+01+1.871323100153531414e+02j)	 (-1.539485166803573293e+02+5.365887909804731635e+02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (1.843396087236942549e+01+1.964313582705788690e+02j)	 (-1.649242091782407158e+02+5.575680901310973923e+02j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (1.876797470234396314e+01+2.058742475348295784e+02j)	 (-1.770669921142232965e+02+5.803020223590782507e+02j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (1.920110333207601627e+01+2.154458072992595419e+02j)	 (-1.905915428284158395e+02+6.051016563399720098e+02j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (1.973780040252332668e+01+2.251261562103574647e+02j)	 (-2.057302932523928121e+02+6.322255968138792923e+02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (2.037587003555047716e+01+2.349038067722361802e+02j)	 (-2.227281588346929482e+02+6.620300911722951014e+02j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (2.111926655606414727e+01+2.447719585631296013e+02j)	 (-2.418912412964730265e+02+6.948964363591592246e+02j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (2.196399157651489986e+01+2.547104018226112032e+02j)	 (-2.637291478992001430e+02+7.312724502397068136e+02j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (2.290283329154087966e+01+2.647038455204684624e+02j)	 (-2.887791271001216842e+02+7.717304906913567493e+02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (2.393901650375352119e+01+2.747418057565077447e+02j)	 (-3.176945368870424886e+02+8.169904304213588375e+02j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (2.507313435208471120e+01+2.848135645031439935e+02j)	 (-3.514727635623023048e+02+8.677342389658422235e+02j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (2.629900852869518602e+01+2.949069640353927184e+02j)	 (-3.914223580957287822e+02+9.249984922342740674e+02j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (2.761471989370792812e+01+3.050060531245500215e+02j)	 (-4.391976592267211572e+02+9.899299175987625858e+02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (2.901874811467606818e+01+3.151057449650981539e+02j)	 (-4.971161900184568481e+02+1.063959620223099364e+03j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (3.051786385551983827e+01+3.251990151895622034e+02j)	 (-5.685301315430160685e+02+1.148804613316267933e+03j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (3.210760292346807177e+01+3.352757492604892491e+02j)	 (-6.582767411785779359e+02+1.246365776937520195e+03j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (3.378663788769118526e+01+3.453333883637509985e+02j)	 (-7.733167975934104561e+02+1.358736023501494628e+03j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (3.556138473127585087e+01+3.553642610599649174e+02j)	 (-9.243568626914390052e+02+1.488130936689501823e+03j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (3.743698494117481346e+01+3.653604807924550641e+02j)	 (-1.128196610587437135e+03+1.634945492510199529e+03j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (3.941915910749479224e+01+3.753217880596874920e+02j)	 (-1.411503048734999084e+03+1.795363566576357243e+03j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (4.149274989470994512e+01+3.852427793513220990e+02j)	 (-1.815616071720519813e+03+1.953581379939078715e+03j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (4.599860451894035407e+01+4.049581483263476684e+02j)	 (-3.245620977504208895e+03+1.977711042427375787e+03j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (4.842402410555644110e+01+4.147559129575860766e+02j)	 (-4.308574139882573036e+03+1.414398161108551221e+03j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (5.098667739730230863e+01+4.245013031913908890e+02j)	 (-5.139600166336738766e+03+2.903130702794504359e+01j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (5.367483643492525403e+01+4.341997514354700343e+02j)	 (-4.901329130223738503e+03-1.802980358095536758e+03j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (5.950556609915902584e+01+4.534657004888214828e+02j)	 (-2.416169385519578555e+03-3.191578106206913162e+03j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (6.262410423089027489e+01+4.629968777619140496e+02j)	 (-1.533003824782885204e+03-2.979805572056375240e+03j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (6.592594111522473099e+01+4.724813970864107660e+02j)	 (-9.839412781590607437e+02-2.655640823218101104e+03j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (7.300676921264940233e+01+4.913309310925465070e+02j)	 (-4.297916632535258827e+02-2.077918941001757048e+03j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (7.679929121952044113e+01+5.006587633856472053e+02j)	 (-2.894870374466468093e+02-1.854380540911054368e+03j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (8.492680578591699714e+01+5.191490133094349630e+02j)	 (-1.298351794256261087e+02-1.513807346866998842e+03j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (8.927453371554491923e+01+5.283247229391283781e+02j)	 (-8.376247324146541473e+01-1.383511425833152543e+03j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (9.383016478934416682e+01+5.374444581687541813e+02j)	 (-5.061980322191850945e+01-1.272705571118670150e+03j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (9.856173132204332887e+01+5.464570990889021687e+02j)	 (-2.627574221494050377e+01-1.177204313851583720e+03j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (1.035298737592352722e+02+5.553838054006401990e+02j)	 (-8.440277039121351521e+00-1.094484721472431829e+03j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (1.140702268739298830e+02+5.730860434301030182e+02j)	 (1.514929555926969940e+01-9.585519188840167999e+02j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (1.196619532819263867e+02+5.818001651536278587e+02j)	 (2.279546766432219229e+01-9.019384096509146502e+02j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (1.315311841032915368e+02+5.990221064175110541e+02j)	 (3.298829609215606951e+01-8.059138769698467968e+02j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (1.377491406618306939e+02+6.074451957373210007e+02j)	 (3.631951294942416553e+01-7.646051431372225125e+02j)
