f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.649265178130295606e-01-2.114541860666483974e-01j)	 (-9.138933894455161799e-02-5.361878092816475122e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.777220800699534364e-01-1.836241499049287296e-01j)	 (-1.111622468033177935e-01-7.812442383794955536e-02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (1.382636238410823171e-01-1.449106161917358693e-01j)	 (-1.382925728704822999e-01-9.015407897354679734e-02j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (1.246224435923158902e-01-1.195954855181902143e-01j)	 (-1.609152294938038241e-01-8.857656890074760980e-02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (1.181956874234477428e-01-1.010418643136676842e-01j)	 (-1.740919937965403896e-01-8.033481390161407998e-02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (1.123898697547916214e-01-8.933602493451969773e-02j)	 (-1.815004330096252894e-01-7.076600707942190538e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (1.083710543482519495e-01-8.607794576627091077e-02j)	 (-1.819809052299156404e-01-6.614262122930171517e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.019493291983418065e-01-8.072850842159373652e-02j)	 (-1.791775246608246774e-01-6.223073136356846446e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (9.708840959383957525e-02-7.684187687854418525e-02j)	 (-1.747313549652963482e-01-6.176843342507619405e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (9.061533605717494999e-02-7.325638323207785130e-02j)	 (-1.689924018908808279e-01-6.404706041634740388e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (8.363538470899239963e-02-6.917933941680728949e-02j)	 (-1.627860575345259075e-01-6.920996004343962782e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (7.646079610973663399e-02-6.408995245009983799e-02j)	 (-1.568347703714340069e-01-7.722087395271165500e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (6.966386234076660244e-02-5.766525947240248862e-02j)	 (-1.518818899547407786e-01-8.802803368150877161e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (6.395836546783362220e-02-4.991584124608136608e-02j)	 (-1.488024606050591947e-01-1.012879209883016940e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (5.999199326103590857e-02-4.131392058675890933e-02j)	 (-1.483796228573062426e-01-1.161722905583136151e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (5.799370348797577845e-02-3.266884750055175368e-02j)	 (-1.507931352726223084e-01-1.316228389705567936e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (5.765608614888900751e-02-2.468173258066331047e-02j)	 (-1.557638847282931394e-01-1.467824056202152172e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (5.848046857148783695e-02-1.770477138706856926e-02j)	 (-1.627439293721967828e-01-1.611471171489154697e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (6.000191997662035481e-02-1.178849054779350716e-02j)	 (-1.712491473590199986e-01-1.744996386666633204e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (6.188854313756135539e-02-6.843134549637547998e-03j)	 (-1.809390968343076445e-01-1.867424797306341255e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (6.392462938927347127e-02-2.746838480790624037e-03j)	 (-1.914878521098802855e-01-1.980066832380185105e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (6.596842759307436355e-02+6.277289148419393228e-04j)	 (-2.027224232751022592e-01-2.083652059678528790e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (6.793708555168852248e-02+3.401331637823856724e-03j)	 (-2.145551401067677944e-01-2.177740307162324418e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (6.978168415776658806e-02+5.680081047676255324e-03j)	 (-2.268139022269155258e-01-2.263371200548741635e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (7.146849935002393128e-02+7.543980804746421021e-03j)	 (-2.394682320964345579e-01-2.341388725935251158e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.298881965456022192e-02+9.058627397466822995e-03j)	 (-2.524180453124025836e-01-2.412302207857701108e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.433054197682936737e-02+1.028407058091770562e-02j)	 (-2.656265510492516468e-01-2.476180208747558731e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.549040429464139168e-02+1.127613694054328125e-02j)	 (-2.790761627865276928e-01-2.532627612822762608e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.647264547362946085e-02+1.207122185985003843e-02j)	 (-2.926931882986693600e-01-2.583098696694579033e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.727804960811748836e-02+1.269654163466153729e-02j)	 (-3.064587916172036852e-01-2.627955483623191646e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.791382034476346252e-02+1.318282799112781983e-02j)	 (-3.203742079293621647e-01-2.666263226364050665e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.838485967370083241e-02+1.356238872655269115e-02j)	 (-3.343588522224668069e-01-2.699064988592025927e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.869545026119850739e-02+1.384928194636746157e-02j)	 (-3.484527854472783681e-01-2.726814963047538565e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (7.886007952912939267e-02+1.405687476289793278e-02j)	 (-3.625915329605794990e-01-2.749814145853584080e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (7.887932823261602222e-02+1.420022305737142151e-02j)	 (-3.767728161346466931e-01-2.767975888021906861e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (7.875573970456745121e-02+1.430167595383926085e-02j)	 (-3.909971858967072333e-01-2.780882340442409340e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (7.849857393646456072e-02+1.436743872149549503e-02j)	 (-4.052386553694649618e-01-2.789824575955044406e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (7.811012369509867659e-02+1.439829389389647718e-02j)	 (-4.194951933133563848e-01-2.795020401665341825e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (7.759693181174730225e-02+1.440658031911112164e-02j)	 (-4.337713870521199278e-01-2.795548648411051440e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (7.696167148461617591e-02+1.440944205273195916e-02j)	 (-4.480247615553842322e-01-2.792476967498744855e-01j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (7.620677932093980478e-02+1.440507281960078448e-02j)	 (-4.623113451265222218e-01-2.786067491195116652e-01j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (7.534606346344706329e-02+1.439520273029609894e-02j)	 (-4.765839513294525820e-01-2.776550255618013274e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (7.437630767382376329e-02+1.438479907141382297e-02j)	 (-4.908527460005507326e-01-2.763840201417583353e-01j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (7.329586198933384089e-02+1.439125365654278337e-02j)	 (-5.051286241783908837e-01-2.747660926944593407e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (7.211251309988336855e-02+1.441149535142740613e-02j)	 (-5.194137837249976908e-01-2.729051228950389318e-01j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (7.082538922122053049e-02+1.443868561819046381e-02j)	 (-5.337129787479748533e-01-2.708147725704587727e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (6.943829250399954911e-02+1.448313685926444667e-02j)	 (-5.480386551517697491e-01-2.684191941884165877e-01j)
