f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (7.520306013721811400e-01-6.207573706065134811e-01j)	 (-2.538905887605040212e-01-1.347601888999589992e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (4.979569088375390695e-01-5.417222154256439159e-01j)	 (-3.181238420492634722e-01-1.943299477254530339e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (3.854097930175256481e-01-4.300560360604062105e-01j)	 (-4.068663088518268411e-01-2.151076174339233704e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (3.484113697262180009e-01-3.583023016658583026e-01j)	 (-4.846589905468373094e-01-1.936288114574822583e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (3.347608882397731245e-01-3.075966439113951845e-01j)	 (-5.340390114368581687e-01-1.490122984637811121e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (3.231238758550755152e-01-2.757623408049579838e-01j)	 (-5.675476399939153316e-01-9.618879701726146259e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (3.167203525788782059e-01-2.696641704376602222e-01j)	 (-5.831919869791151179e-01-5.592554585608239259e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (3.066468469610916792e-01-2.581374764898172192e-01j)	 (-5.853997801673683776e-01-1.261226168187104535e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (3.013515372261645897e-01-2.536188193042865913e-01j)	 (-5.829381848570922564e-01+2.207213361030269105e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.928907568810951711e-01-2.517316310136973878e-01j)	 (-5.750152464526465668e-01+5.331708942172787291e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.836855324738362660e-01-2.515227570935932855e-01j)	 (-5.636933819568511472e-01+8.003825108640651165e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.737221018963711394e-01-2.522982514825993228e-01j)	 (-5.500915255349034805e-01+1.026584002245364141e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.631919786863436417e-01-2.535477181883125652e-01j)	 (-5.350597120687459185e-01+1.215102370837350954e-01j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.521552282580016846e-01-2.549764490058274435e-01j)	 (-5.192677497222571992e-01+1.369850494193469159e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.406238604252626256e-01-2.563803162229263966e-01j)	 (-5.031970604232960387e-01+1.495151358591668977e-01j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.288043669174356087e-01-2.575053615630604753e-01j)	 (-4.871274864121621917e-01+1.594652702056009175e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.167613095422977199e-01-2.583009341140585224e-01j)	 (-4.713496594290217390e-01+1.671035525976312108e-01j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.045985960476078280e-01-2.587277587173686388e-01j)	 (-4.560348610170571471e-01+1.727316275341711227e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (1.923372182813831710e-01-2.587073907955573793e-01j)	 (-4.413043678928368907e-01+1.766136161624140555e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (1.800214996344647322e-01-2.581735583201700823e-01j)	 (-4.272104711990959425e-01+1.790623484205859928e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (1.677803345507676014e-01-2.571388047081097916e-01j)	 (-4.138157852470123466e-01+1.801864414847252904e-01j)
