Frequency [Hz]	0.0+det[I + L(s)]
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.200921015780796797e+00-4.445736336045178483e-01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (1.012158704475127013e+00-4.280518348980107968e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (8.962897352678416141e-01-3.696858352466918518e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.323749361986950701e-01-3.112224340530395650e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (8.004260016369006969e-01-2.542090429444549549e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (7.798718132229300881e-01-2.037842141395514450e-01j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (7.720897647589129997e-01-1.759267856540349673e-01j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (7.713829481078283701e-01-1.461064507949672020e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (7.747809965654672837e-01-1.259011024280614066e-01j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (7.797094526635107714e-01-1.104851118803893417e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (7.856665636663123786e-01-9.969310880030576860e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (7.918509029042216651e-01-9.271486661272085317e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (7.977666256069718687e-01-8.894348675426348716e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (8.029966153021250719e-01-8.782115924554785569e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (8.072332160640750542e-01-8.878910378248970614e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (8.104266224582856726e-01-9.138233199677520124e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (8.124501369274257367e-01-9.529106242735251031e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (8.133026984657630853e-01-1.002070545601493473e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (8.129708976240226370e-01-1.058318826033184529e-01j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.114810593080665768e-01-1.118438603117361679e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (8.089324374930122463e-01-1.181602250717037478e-01j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (8.053473446712074990e-01-1.246474767022703600e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (8.007693704611575924e-01-1.310785628198425090e-01j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (7.953568620764935870e-01-1.373683116533981341e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (7.891134927673646438e-01-1.434806273137365362e-01j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (7.821555743209041012e-01-1.493826396665679790e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (7.745251105319198581e-01-1.549787960079214155e-01j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (7.662930078000746992e-01-1.601278890030979063e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (7.575419279012087781e-01-1.649255168067507160e-01j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (7.482871052952816404e-01-1.693646061510948875e-01j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (7.385804479897483121e-01-1.733168917331842085e-01j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (7.285444442674999799e-01-1.768212416409590537e-01j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (7.181434612065425993e-01-1.799024986238763890e-01j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (7.074675519813505842e-01-1.826008627523428296e-01j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (6.965324015602898378e-01-1.848725928564241283e-01j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (6.853950305476501637e-01-1.866345359213441857e-01j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (6.740816115411626397e-01-1.880163616211747157e-01j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (6.625809215179813139e-01-1.890335228126185096e-01j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (6.509353995645935642e-01-1.895939904877245730e-01j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (6.392229679864575020e-01-1.897715194850511100e-01j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (6.273813764553266559e-01-1.895910366015401971e-01j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (6.154688631851625846e-01-1.891079819416429386e-01j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (6.034838533936954796e-01-1.882926003574780793e-01j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (5.914705127419584985e-01-1.870922797689120454e-01j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (5.794148442312080372e-01-1.856232330006248321e-01j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (5.672915010394768975e-01-1.838976963617872107e-01j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)	 (5.551319623911379342e-01-1.818493384640756660e-01j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (5.429792179053918311e-01-1.795550197365211320e-01j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)	 (5.307622547131540802e-01-1.770277252775465937e-01j)
 (2.550000000000000000e+01+0.000000000000000000e+00j)	 (5.185109855596187201e-01-1.743180052500220290e-01j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (5.062140874079248398e-01-1.714026056664771647e-01j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (4.939000165889917970e-01-1.682521928284315960e-01j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (4.815319464002174032e-01-1.649547267764596148e-01j)
 (2.750000000000000000e+01+0.000000000000000000e+00j)	 (4.690784618809258344e-01-1.615147373598811165e-01j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)	 (4.565532877161039838e-01-1.578878298213774456e-01j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (4.439713913320266769e-01-1.541425912782534158e-01j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)	 (4.312608540095170806e-01-1.502825432406211803e-01j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (4.184259199489833714e-01-1.463439834441776222e-01j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)	 (4.054444697845932533e-01-1.423110034727185502e-01j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (3.923193091557845569e-01-1.381740377353457283e-01j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (3.790000258693729251e-01-1.339921632419683595e-01j)
 (3.150000000000000000e+01+0.000000000000000000e+00j)	 (3.654486028648695761e-01-1.297652941372847701e-01j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)	 (3.516472488092864945e-01-1.254668815008302130e-01j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (3.375794654074144030e-01-1.211554856955539550e-01j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (3.231661786931196989e-01-1.168328629494016224e-01j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (3.083804225125174048e-01-1.125171143316588962e-01j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (2.931732417161705406e-01-1.082039929409200490e-01j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (2.774962390931320910e-01-1.039021096931808386e-01j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (2.612753191460476243e-01-9.964860791713038568e-02j)
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (2.444447060800425675e-01-9.544708776709683040e-02j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (2.269184047964868389e-01-9.128609716150662412e-02j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (2.086141040772752364e-01-8.721915827631099294e-02j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (1.894055133578682881e-01-8.325618528835182497e-02j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (1.691869756186173968e-01-7.941049077004276591e-02j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (1.251066547584828992e-01-7.212202058961880713e-02j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (1.008752673804345495e-01-6.873548943994034488e-02j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (7.489327577178152284e-02-6.558467660017706924e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (4.688289250511847028e-02-6.266599926499573370e-02j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.662115157043468627e-02-5.783302306342023857e-02j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (-5.315611113416307543e-02-5.596664645459697995e-02j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (-9.356794137429448599e-02-5.468111936205818230e-02j)
