Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.697041568832057123e+01-6.088102362998497341e+01j)	 (1.039938839930222869e+01+8.201284241222457183e+01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (2.901972574651173886e+01-5.957130943828259007e+01j)	 (1.012216702902198584e+01+8.973448863749344184e+01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.963628575828562361e+01-5.793811038783630352e+01j)	 (1.068752336874182163e+01+9.629808986101592438e+01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.946462828848392590e+01-5.550404137465448429e+01j)	 (1.134904897226736686e+01+1.017284178703910982e+02j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.875406958427593196e+01-5.246906997253513083e+01j)	 (1.192507412165119973e+01+1.065003124583118534e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.806159931700972621e+01-4.901215755422306586e+01j)	 (1.227791078597183549e+01+1.109343330628253597e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.751200592834890202e+01-4.491949640944978484e+01j)	 (1.177714748455661464e+01+1.150026544304584206e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.688928959520692885e+01-4.067158225768921653e+01j)	 (1.122517954161303777e+01+1.191571957202931742e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.641462927117847315e+01-3.613340555911647556e+01j)	 (1.046287552014116784e+01+1.232448677653755880e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.603492100535580178e+01-3.148226187743687632e+01j)	 (9.448748497083832021e+00+1.274187596301928949e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.573813350998673855e+01-2.673184803091755413e+01j)	 (8.269502105499721978e+00+1.316645857953198231e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.550454581118037112e+01-2.191255932693036002e+01j)	 (6.958660621672653868e+00+1.359984193587961840e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.531489049061427110e+01-1.704330958330769974e+01j)	 (5.528469191796760995e+00+1.404124470305232251e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.515103287032611945e+01-1.213358842175212615e+01j)	 (3.989833175988438452e+00+1.449099939619733277e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.499661662242907312e+01-7.186729640870051838e+00j)	 (2.359761700373402604e+00+1.495042471765925711e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.483870216891681793e+01-2.202296070142948814e+00j)	 (6.440217029947126193e-01+1.541809984834345357e+02j)
