f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (5.282539508742297718e-01-4.347211289289432123e-01j)	 (-1.786609977721519416e-01-9.635568485185497245e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.505031568387602103e-01-3.798842567924651803e-01j)	 (-2.225069935264895882e-01-1.391137213752093871e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.712721384402473901e-01-3.022076425167701808e-01j)	 (-2.829228186180682836e-01-1.552836063185041304e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.450186797442249764e-01-2.522404505126956686e-01j)	 (-3.355242574662586907e-01-1.423771950679521836e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.349091400907651894e-01-2.168484151157833439e-01j)	 (-3.685718555887348979e-01-1.138067792540175815e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.262216007371382065e-01-1.949417753185311297e-01j)	 (-3.904172898951617787e-01-8.006146662532383218e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.212364077522059880e-01-1.911412815681841904e-01j)	 (-3.994492598642825354e-01-5.511001047046359264e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.132102847874839946e-01-1.835453961745870943e-01j)	 (-3.997400329245671124e-01-2.872394443038580811e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.085190180010215444e-01-1.807223341439108122e-01j)	 (-3.967754968013438299e-01-8.294145862957470403e-03j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.013281567916297976e-01-1.797800637892278397e-01j)	 (-3.902122999068791120e-01+9.331617866337816106e-03j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.933887200118663552e-01-1.799369646228083375e-01j)	 (-3.814788784821357415e-01+2.359772262862785269e-02j)
