Frequency [Hz]	d axis	q axis
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (2.664517204931289385e+01-5.883207692199874117e+01j)	 (1.096992425330039822e+01+8.001322274915240484e+01j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (2.858210860975467682e+01-5.731196262030037758e+01j)	 (1.075875189750444250e+01+8.757069319070859592e+01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.916785892073214015e+01-5.547164630465915991e+01j)	 (1.132087479662445340e+01+9.400595261954808279e+01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.901578174751192307e+01-5.287090958531398144e+01j)	 (1.194590610103263906e+01+9.936112805964212669e+01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.836944851705318271e+01-4.970937195805827713e+01j)	 (1.247472016006962647e+01+1.040934535033358230e+02j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.774644516290424079e+01-4.614799214293587681e+01j)	 (1.278279816903889099e+01+1.085101529036650163e+02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.724507031017331116e+01-4.199561563523015195e+01j)	 (1.226680108268036129e+01+1.125903270225860950e+02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (2.668405036285900778e+01-3.770353392759480471e+01j)	 (1.170225979887710110e+01+1.167542028050613965e+02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (2.625116127918983011e+01-3.314268767311824604e+01j)	 (1.093221266341098641e+01+1.208547971812083119e+02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (2.590375460948969177e+01-2.847587500210405764e+01j)	 (9.918499861620928115e+00+1.250406313694866753e+02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (2.562802281883337585e+01-2.371564735366790089e+01j)	 (8.743195226345088500e+00+1.292963921389539337e+02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (2.540538788595796404e+01-1.888925802606738813e+01j)	 (7.437986134571179520e+00+1.336373117480021904e+02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (2.521793103903614863e+01-1.401324045654973283e+01j)	 (6.013985237062394518e+00+1.380557556338579275e+02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (2.504888947083896156e+01-9.095500220541687497e+00j)	 (4.481138660925649830e+00+1.425549338764591027e+02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (2.488327052663233374e+01-4.138406144731590075e+00j)	 (2.855373196345452058e+00+1.471477095322365756e+02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (2.470940435484500952e+01+8.592295806692983318e-01j)	 (1.141639346144121436e+00+1.518203744642500226e+02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (2.451782918445423576e+01+5.901633434055486127e+00j)	 (-6.664097632979986141e-01+1.565773040725171086e+02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (2.430140183793299968e+01+1.099466008405107686e+01j)	 (-2.571647625859709851e+00+1.614141480020840902e+02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (2.405500779952525292e+01+1.614509411855283005e+01j)	 (-4.572590654157315804e+00+1.663360700574573912e+02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (2.377585584635088622e+01+2.136027902026385306e+01j)	 (-6.663040064470548529e+00+1.713544170257257804e+02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (2.346231152847585477e+01+2.664835515757080486e+01j)	 (-8.863659032076013133e+00+1.764557809786279847e+02j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (2.311393987614328793e+01+3.201717491578104813e+01j)	 (-1.118632410949706824e+01+1.816470082842711236e+02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)	 (2.273260974202764118e+01+3.747402961434836755e+01j)	 (-1.362558075138573699e+01+1.869497346504730615e+02j)
 (1.250000000000000000e+01+0.000000000000000000e+00j)	 (2.232087393313657486e+01+4.302729052368010088e+01j)	 (-1.619413988523606207e+01+1.923493959761955807e+02j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)	 (2.188239189400590945e+01+4.868423126387281030e+01j)	 (-1.891724766913434763e+01+1.978614146011219077e+02j)
 (1.350000000000000000e+01+0.000000000000000000e+00j)	 (2.142237951145656893e+01+5.445100421266906210e+01j)	 (-2.181118947402649866e+01+2.034842312966874545e+02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)	 (2.094700143455362706e+01+6.033352624737899106e+01j)	 (-2.488643048500706811e+01+2.092348929996785216e+02j)
 (1.450000000000000000e+01+0.000000000000000000e+00j)	 (2.046450776997673060e+01+6.633815082862139434e+01j)	 (-2.814549843221883307e+01+2.151368235799433535e+02j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)	 (1.998259376506412366e+01+7.246897819310744637e+01j)	 (-3.163137898036746876e+01+2.211824388231800356e+02j)
 (1.550000000000000000e+01+0.000000000000000000e+00j)	 (1.950996509437530335e+01+7.872774296477150813e+01j)	 (-3.537204158157842215e+01+2.273930033323912028e+02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)	 (1.905909173135192347e+01+8.511543159209716691e+01j)	 (-3.937007872451236068e+01+2.338116725388614725e+02j)
 (1.650000000000000000e+01+0.000000000000000000e+00j)	 (1.864000545322849689e+01+9.163342751879828540e+01j)	 (-4.365761809391685233e+01+2.404309011234378772e+02j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)	 (1.826385891492029145e+01+9.827837444279936108e+01j)	 (-4.828258500095344630e+01+2.472921240272638101e+02j)
 (1.750000000000000000e+01+0.000000000000000000e+00j)	 (1.794344455396457150e+01+1.050429985052901003e+02j)	 (-5.327649482559258587e+01+2.544113425245798510e+02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)	 (1.768881254285800253e+01+1.119194201049325414e+02j)	 (-5.866429259884151293e+01+2.618348648959862430e+02j)
 (1.850000000000000000e+01+0.000000000000000000e+00j)	 (1.751054054021928152e+01+1.189006969649862100e+02j)	 (-6.446035225308223460e+01+2.696161664363306727e+02j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)	 (1.741569817231883377e+01+1.259731321950261957e+02j)	 (-7.073195192183040092e+01+2.777717117066648598e+02j)
 (1.950000000000000000e+01+0.000000000000000000e+00j)	 (1.740776042844654725e+01+1.331200498889190840e+02j)	 (-7.752048542874756265e+01+2.863563731901226674e+02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)	 (1.749198436667440149e+01+1.403267318225244082e+02j)	 (-8.483359165066481467e+01+2.954567940414027589e+02j)
 (2.050000000000000000e+01+0.000000000000000000e+00j)	 (1.766770092408139092e+01+1.475815689412221445e+02j)	 (-9.272275345409485681e+01+3.050843747005479827e+02j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)	 (1.793065244505244138e+01+1.548678763971318801e+02j)	 (-1.012568969050723666e+02+3.153209682507617799e+02j)
 (2.150000000000000000e+01+0.000000000000000000e+00j)	 (1.827722245581363936e+01+1.621682541003258677e+02j)	 (-1.104775159512646781e+02+3.262099723499615038e+02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (1.869805358797798434e+01+1.694720776903453157e+02j)	 (-1.204273624272746019e+02+3.378300991130153648e+02j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (1.918678893178506684e+01+1.767749402266923937e+02j)	 (-1.311482577317561038e+02+3.502663045164294999e+02j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)	 (1.973355116763171679e+01+1.840663160860736411e+02j)	 (-1.427506841438929257e+02+3.635522218650341983e+02j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (2.032589913722589259e+01+1.913391950921310638e+02j)	 (-1.553188749982124079e+02+3.777653801889226202e+02j)
