f	lambda_1	lambda_2
 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (4.868976087875096503e-01-4.001413462624601181e-01j)	 (-1.648133704094316698e-01-8.937236645802783264e-02j)
 (1.500000000000000000e+00+0.000000000000000000e+00j)	 (3.232807947663272063e-01-3.497091168972086273e-01j)	 (-2.048840580236868936e-01-1.290936418290915544e-01j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)	 (2.502273412223281479e-01-2.782676489094259575e-01j)	 (-2.600621259082085412e-01-1.444694509149120620e-01j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (2.259516288959197428e-01-2.322851363276595693e-01j)	 (-3.079864578959931043e-01-1.332003856339713521e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)	 (2.164657740800901564e-01-1.996757627928730794e-01j)	 (-3.379774881522978336e-01-1.076546634277843473e-01j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)	 (2.082855270651808866e-01-1.795471018484109949e-01j)	 (-3.576241653008309651e-01-7.750282604389502339e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)	 (2.035159327977112131e-01-1.760911673226685237e-01j)	 (-3.653845659675358237e-01-5.546782392799891326e-02j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)	 (1.958116461014173804e-01-1.691398941952638735e-01j)	 (-3.652630266330943454e-01-3.229974315661356121e-02j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)	 (1.911648727725889230e-01-1.665294128262742035e-01j)	 (-3.621379869746511049e-01-1.461110316446180210e-02j)
 (5.500000000000000000e+00+0.000000000000000000e+00j)	 (1.841334699731074498e-01-1.656461351518778713e-01j)	 (-3.557508822631156864e-01+3.765958343729279220e-04j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)	 (1.763428560059730477e-01-1.657354426087712107e-01j)	 (-3.474112198442523836e-01+1.220087913551791241e-02j)
 (6.500000000000000000e+00+0.000000000000000000e+00j)	 (1.677792435091760292e-01-1.662947544979078152e-01j)	 (-3.378460505365438737e-01+2.117234044947290811e-02j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)	 (1.585675542518265868e-01-1.669609622777528390e-01j)	 (-3.275744302683019638e-01+2.751693904472313212e-02j)
 (7.500000000000000000e+00+0.000000000000000000e+00j)	 (1.487508197393430931e-01-1.674956908976008296e-01j)	 (-3.170058896363960321e-01+3.149080648513929992e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)	 (1.383474772302960010e-01-1.676985236983016825e-01j)	 (-3.064471475188986771e-01+3.337786901247410953e-02j)
 (8.500000000000000000e+00+0.000000000000000000e+00j)	 (1.275075512176630510e-01-1.673667629516334965e-01j)	 (-2.960551112764140402e-01+3.339360305795757017e-02j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)	 (1.162821768259861832e-01-1.664061396933851911e-01j)	 (-2.859997192239941977e-01+3.167424607691664978e-02j)
 (9.500000000000000000e+00+0.000000000000000000e+00j)	 (1.047607907559680585e-01-1.647283180296642557e-01j)	 (-2.763745178711852768e-01+2.836974218054862454e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)	 (9.299006214322669273e-02-1.621993161580034537e-01j)	 (-2.672616607151935275e-01+2.359334920957138065e-02j)
 (1.050000000000000000e+01+0.000000000000000000e+00j)	 (8.104784067782777601e-02-1.586738750658743813e-01j)	 (-2.587380093310638340e-01+1.747485262083270721e-02j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)	 (6.906720473842459240e-02-1.540701487948202553e-01j)	 (-2.508465317868658895e-01+9.971394523069708818e-03j)
 (1.150000000000000000e+01+0.000000000000000000e+00j)	 (5.713455679030349232e-02-1.482519759716685592e-01j)	 (-2.436862081143795211e-01+1.042491676555656541e-03j)
